name,setTime,star,content
meteor ice,1 個月前,2,沒仔細看評論，實際非常小😅 …
Ut Wu,3 個月前,4,
沈醫師,4 個月前,5,超美的，可能剛好挑到豐水期來
KA H,5 個月前,4,
Ian Lee,6 個月前,5,值得一看 不看可惜
Stanley L.,6 個月前,3,有點被騙的感覺😂實際上就是路邊的一個小小小小流水，天氣好、太陽直射的話應該可以拍出不錯的照片（順便練練拍照騙的能力😍），尚可當作一個休憩的地方（但路邊沒有休息的涼亭或步道，需注意安全）。 …
普鉅,6 個月前,3,
安東尼,7 個月前,1,沒事亂建地標 沒水準
Hyun Park,7 個月前,3,
Siu Sing Lai,7 個月前,5,驚人的
李杵耕,8 個月前,5,感嘆大自然的鬼斧神工
Hungtu,1 年前,1,"真的不需要來的地方
而且是被google太魯閣國家公園導航騙上來之後
不死心往前看到的景點
超級弱….."
Matthew Lee,1 年前,1,這不算瀑布吧
jj “jie”,1 年前,4,不算大，但水很冰涼
陳龍生,1 年前,5,
漫漫,1 年前,3,就是路邊的一個小瀑布
王玉霖,1 年前,4,
Ch Im,1 年前,4,其實就是路邊的一個小瀑布，有經過再看即可
詩酒趁年華,1 年前,5,甚好
Yitsentsen,1 年前,1,"沒有水的小小景點
不需要特地過來"
王文宏,1 年前,4,
陳齊軒,1 年前,1,就只是個路邊的水流罷了 不要浪費時間為了看水開上去
茶緣,2 年前,5,
鄭正信,2 年前,5,很漂亮的小瀑布，目前水少等水多時更具特色
邱奕祥,2 年前,5,
林士捷,2 年前,4,
Lisa,2 年前,3,ㄧ個小小的瀑布景點 但是沒有水
東空,3 年前,1,完全被騙爛
楊世銘,3 年前,3,
c.h. Hung,3 年前,3,
朱博源,3 年前,4,"瀑布依然有
可惜已經被落石擋住了"
許雅婷,3 年前,5,
劉孟勳,3 年前,5,台8線151k
Dino Lu,4 年前,4,
施靜穎,4 年前,5,
古文秀,4 年前,4,不錯的地方
蔡麗雪,4 年前,4,風景優美
工程系聖泰,4 年前,5,"瀑布是漸層式的
留下來的水很像新娘婚紗"
賴鴻璋,4 年前,4,
Hank Sun,5 年前,5,
