setTime,star,content,seg_result
8 小時前,5,櫻花季節來逛很美,櫻花 季節
9 小時前,5,大自然提供的幸福類型是將我們帶入當下讓我們充滿輕鬆平靜和滿足感,大自然 提供 幸福 類型 帶入 充滿 輕鬆 平靜 滿足感
3 天前,5,餵魚,餵魚
3 天前,5,晚上好天氣的話可以來這類逛逛 風景很好 很漂亮 很大,晚上 好天氣 逛逛 風景 漂亮
3 天前,5,,
3 天前,5,休息可以來這走走,休息 走走
4 天前,5,公園老樹維護佳周邊商店街種類多元好停車新穎PU跑道...很喜歡.,公園 周邊 商店街 種類 多元 停車 新穎 跑道 喜歡
4 天前,5,放狗咬人,
4 天前,3,"新竹公園107年928部分開放
雖然拆了老舊的游泳池把公園的邊緣地帶稍微擴寬了一點可是並沒有增加什麼特色只是步道而已
但麗池已不像麗池了原本寬廣漂亮的麗池(雖然邊邊角落會有垃圾)現在卻有點像是頭前溪被盜採砂石亂挖後下了幾天大雨留下的大水窪雖然加了噴水但並沒有比較好看不知道又花掉多少公帑關閉那麼長時間做成這樣現在唯一期待的是櫻花園能如往年一樣的美麗盛開了
108年228乘連假櫻花季再次來到新竹公園雖然遊客還是很多但有些櫻花樹被移來移去花況不如往年的盛況可能要休養幾年才能恢復了",新竹 公園 107年 928 部分 開放 老舊 游泳池 公園 邊緣 地帶 擴寬 增加 特色 步道 寬廣 漂亮 邊邊 角落 垃圾 現在 像是 頭前溪 盜採 砂石 亂挖 大雨 留下 水窪 噴水 好看 知道 花掉 多少 公帑 關閉 做成 這樣 現在 期待 櫻花園 往年 一樣 美麗 盛開 228 櫻花季 來到 新竹 公園 遊客 很多 櫻花樹 移來移去 花況 不如 往年 盛況 休養 恢復
4 天前,4,很特別的公園園區內有座孔廟還有昆蟲館及廳園區內還可以看到動物園內的動物,特別 公園 園區 孔廟 昆蟲館 廳園區 看到 動物園 動物
5 天前,5,假日休閒好去處,假日 休閒 去處
6 天前,5,看得到的動物比動物園多,動物 動物園
1 週前,5,,
1 週前,4,,
1 週前,5,,
1 週前,3,,
1 週前,5,休閒散步的好地方整理的非常好,休閒 散步 地方 整理
1 週前,5,,
1 週前,5,,
1 週前,5,小朋友餵魚可以餵23小時附近有免費昆蟲館(水豚)還有假日市集,小朋友 餵魚 23 小時 附近 免費 昆蟲館 水豚 假日 市集
1 週前,5,,
1 週前,4,,
1 週前,5,來新竹吃吃小吃想要午間休息一下決定停在新竹公園周邊才發現新竹公園好美而且動物園包在公園裡面也太妙,新竹 吃吃 小吃 想要 午間 休息 一下 決定 新竹 公園 周邊 發現 新竹 公園 動物園 公園 裡面
1 週前,1,廁所超臭地方算大卻沒什麼設施八成也是廢土公園,廁所 地方 設施 八成 廢土 公園
2 週前,3,晚上散步很舒適 不過涼亭蓋這樣是等流浪漢來睡嗎,晚上 散步 舒適 涼亭蓋 這樣 流浪漢
2 週前,5,,
2 週前,4,,
2 週前,4,,
2 週前,5,,
2 週前,5,環境舒服植被整體很日本原身天皇的招待所整個公園很有出國旅遊的感覺,環境 舒服 植被 整體 日本 原身 天皇 招待所 公園 出國 旅遊 感覺
2 週前,5,放鬆好所在,放鬆 所在
2 週前,5,,
2 週前,5,,
2 週前,5,有星巴克動物園森林食堂昆蟲館圖書館田徑場假日有假日花市可逛吃喝玩樂放電孩子去處超級推薦重點不怕沒有廁所喔,動物園 森林 食堂 昆蟲館 圖書館 田徑場 假日 假日 花市 吃喝玩樂 放電 孩子 去處 推薦 重點 沒有 廁所
2 週前,5,近新竹動物園及體育場假日市集非常好逛非常適合親子遊,新竹 動物園 體育場 假日 市集 適合 親子
2 週前,5,,
2 週前,5,,
2 週前,5,在家附近 挺漂亮的,附近 漂亮
2 週前,5,很好走的地方 假日旁邊有花市 又有動物園跟玻璃博物館等在附近 很好散心的地方,地方 假日 旁邊 花市 動物園 玻璃 博物館 附近 散心 地方
2 週前,5,有日式公園的味道,公園 味道
2 週前,5,,
2 週前,5,,
3 週前,5,,
3 週前,5,規劃的很好人車分道又有狗狗的遊戲區整個公園貫穿了市立動物園真的體好逛的唯一的缺點是停車太困難了,規劃 好人 狗狗 遊戲區 公園 貫穿 動物園 缺點 停車 困難
3 週前,5,,
3 週前,5,適合親子的地方,適合 親子 地方
3 週前,5,,
3 週前,5,,
3 週前,5,"適合帶小孩來走走季節到的時候有櫻花綻開臨近新竹花市體育場動物園



新竹公園位於台灣新竹市中心區域佔地約有40公頃是新竹市最大的公園之一也是市民假日休閒散步運動的好去處

進入新竹公園可以看到美麗的人造湖湖畔花園和中央噴泉人造湖佔地約有7公頃湖面寬敞湖邊綠樹成蔭成為市民和遊客放鬆心情的好地方湖畔花園經常舉辦各種主題花展四季花卉不斷更迭給人一種靜謐美麗的感覺而中央噴泉每天晚上都會有燈光音樂秀吸引了許多市民前來觀賞

此外新竹公園還有許多適合各種年齡層的設施如親子遊樂區健身步道等等可以滿足不同人群的需求在這裡不管是想運動想休閒想放鬆心情都可以找到適合自己的活動

除了以上的設施新竹公園還有兩個非常有特色的建築物一個是日式風格的茶亭提供茶點和茶水遊客可以在這裡感受悠閒的日式風情另一個是大型露天音樂台經常舉辦各種音樂演出和活動吸引了許多人前來觀看

總體來說新竹公園是一個非常美麗舒適設施完善的城市公園不僅是新竹市民的驕傲也是新竹市值得一遊的景點之一",適合 小孩 走走 季節 時候 櫻花 綻開 臨近 新竹 花市 體育場 動物園 新竹 公園 位於 台灣 新竹市 中心 區域 佔地 40 公頃 新竹市 公園 市民 假日 休閒 散步 運動 去處 進入 新竹 公園 看到 美麗 人造湖 花園 中央 噴泉 人造湖 佔地 公頃 湖面 寬敞 綠樹 成蔭 成為 市民 遊客 放鬆 心情 地方 花園 舉辦 主題 花展 花卉 更迭 靜謐 美麗 感覺 中央 噴泉 晚上 燈光 音樂秀 吸引 許多 市民 前來 觀賞 新竹 公園 許多 適合 年齡層 設施 親子 遊樂區 健身 步道 滿足 不同 人群 需求 這裡 運動 休閒 放鬆 心情 找到 適合 活動 以上 設施 新竹 公園 特色 建築物 風格 茶亭 提供 茶點 茶水 遊客 這裡 感受 悠閒 風情 大型 露天 音樂台 舉辦 音樂 演出 活動 吸引 許多 前來 觀看 總體 新竹 公園 美麗 舒適 設施 完善 城市 公園 新竹 市民 驕傲 新竹市 值得 景點
3 週前,4,,
3 週前,5,,
3 週前,5,,
