name,setTime,star,content
R H,7 小時前,5,真的很有趣，東西都保存很完整，看得津津有味，有三層樓
曾令德,1 天前,4,
鍾芬玲,1 天前,4,是一種回憶
瑪麗亞的奴性生活日常,2 天前,5,"充滿故事的景點，適合細細品味的他人記憶
想拍照的話也不錯，看得出來有認真經營。"
林金鋒,2 天前,4,場地雖然不大.但具教育意義.大約可待30-60分鐘.但無停車場
蘇兒,3 天前,5,拍拍照、溜溜小孩！還不錯
張義錞,5 天前,5,
潘瓊茹,5 天前,5,很多舊物品，還不錯
Angel Lin,6 天前,4,"20230819 單車環島壯麗蘇花 9日D1P4

有別於〝除了騎行還是騎行，環島完只記得路上白色路線指示符號〞。

騎友們「行萬里路，勝讀萬卷書」深刻體驗當地文化。

新竹眷村博物館對於新加坡與香港騎友真是知識量滿滿，對於早期眷村所生活的點點滴滴，眷村爸爸利用報廢飛機零件改良的飲水機以及鍋子；眷村媽媽用麵粉袋縫製成的背心、內褲；舊式鐵馬車以及沿街叫喊的山東饅頭聲的兒時記憶，曾經的糧票、香煙盒、鈔票，都成了眼前歷歷在目的舊式影片回放的景象。

＃單車環島壯麗蘇花 ＃新竹眷村博物館"
Ui To,6 天前,5,"適合全家大小、朋友親人一同出遊的好所在。
冷氣很舒服，物品陳列很有秩序。
童玩小物可以現場玩，認識眷村時期的食衣住行。
彩繪牆面拍照好漂亮，小飛機一整排好可愛。"
羅大鴻,1 週前,5,
楊Lin,1 週前,5,"免費參觀

裡面乾淨舒服

能夠了解之前眷村的生活
值得過來走一走"
林哲宇,1 週前,5,
Afra King,1 週前,5,展品算細膩豐富，值得推薦
謝夏天,1 週前,5,"不用門票 冷氣很涼 路過來逛逛也不錯
而且有廁所跟茶水間"
王慧婷,1 週前,4,"小小的博物館 感覺針對物品的介紹可以再多寫一點
可能因為年代 所以年輕人沒什麼共鳴"
Eric Chen,1 週前,4,免費參觀，可帶全家懷舊的好去處
史維玲,1 週前,3,
西門祥,1 週前,5,"眷村博物館理面展示很多以往的生活器具,還有當兵的裝備等,很多場景都是懷念的感覺,由於我們是平日過來,人很少,所以可以慢慢拍照,慢慢逛,從一樓逛到3樓,這裡有冷氣有廁所,就算下雨天也不怕,建議逛完還可以走過去附近的黑蝙蝠中隊看看,都是免費的喔~~~"
amber chang,1 週前,5,很有意義的地方，有空可以與家人來走走，有電梯🛗可以搭乘，友善空間
James Wu,1 週前,5,"詳細記載新竹市眷村文化的形成 發展 演進
且有實際照片 文物 及相關現身說法及故事分享
最重要的是免費免門票
很值得一去的景點"
鍾鍾貴宏,1 週前,5,
呂柔萱,1 週前,5,
e芳,1 週前,5,長輩很喜歡
JRHUNG CHEN,1 週前,4,了解眷村的生活與軍用品
小程,2 週前,5,
耳東水絜,2 週前,5,"在城隍廟吃完飯後不知道要去哪
就找到這間博物館來看看
從城隍廟走過去真的有點距離...
很多令人懷念的舊物，有3樓可以逛逛
內有冷氣，可拍照，免費"
吳翼丞,2 週前,4,一個免費吹冷氣的場所，裡面有三層樓高有個個以前軍事與眷村文化，雖然裡面待的時間不長，但是也是個不錯的下雨景點！
橙紅,2 週前,5,"裡面保存了很多有年代感的物品
都是小時候的回憶
展場內也有冷氣 很舒服"
楊舜樵,2 週前,4,
賴鴻鵬,2 週前,4,
郭先生,2 週前,5,
連家毅,3 週前,5,
嚕嚕Ru,3 週前,5,"服務人員很親切解說
有3層樓(有電梯/坐式馬桶)
如果是長輩也能輕鬆回味"
meed3006,3 週前,5,"公車站問現場志工,好像沒有到那裏,有點可惜。"
華國龍,3 週前,4,
蕭凱烜,3 週前,5,有冷氣，免費參觀，適合短暫停留躲太陽的好地方
龔聖華,3 週前,5,
陳建宏,3 週前,5,意外的悠閒可逛
Debby Chou,4 週前,5,鄰近市區，有室外、室內可以參觀，免門票，附近有YouBike，對於想了解的眷村歷史的人或想懷舊的人是可以過來看看，除了歷史文物的介紹，也有一些裝置藝術可供拍照。需注意有些可拍照的裝設有重量限制。
鍾淼章,1 個月前,5,
李太太,1 個月前,5,免費室內還有冷氣很讚
李建德,1 個月前,5,
許松棋,1 個月前,5,
ita520 verr,1 個月前,4,
郭瑾蓉,1 個月前,5,
陳玉,1 個月前,4,
CH T,1 個月前,4,館內擺設蠻用心，讓人彷佛回到了幼時的記憶。
林皓雁,1 個月前,4,"這裡有很多古早味的物品！裡面有很多解說員！有問題可以問喔！
有些讓人超懷念的東西但不要亂碰喔
裡面的空間佈置也是有讓人懷念的感覺
空間動線規劃的不錯
很多特別的東西是完全沒看過的但看起來好可愛！也看起來很有質感！難怪很多人會收集古物！真的很有原因！
當你看到台灣以前的紙幣真的會覺得很有感覺
以前的的人都有很厲害的地方很早就有很好的設計概念
可以帶小朋友來玩玩看看以前台灣的文物的樣貌！感覺可以說很多故事！
外面的大鼓是真的可以搖喔！很可愛！"
阿傑,1 個月前,5,
何敏莉,1 個月前,5,很不錯的拍照行程，很適合老小來此地一遊👍👍👍👍 …
Nicole L,1 個月前,4,免門票，共三樓可以來逛逛拍照
謝小依,1 個月前,5,
sc841102,1 個月前,5,一個很chill的地方，滿滿的眷村情懷～適合大人小孩來停看聽❤️
Hsiu Fong Liu,1 個月前,4,"免門票即可入内參觀，共有三層樓，每一樓層陳列眷村歷史文化和當年生活，介紹新竹神秘部隊黑蝙蝠中隊文史資料展覽...還有懷舊眷村文物...留给後入了解觀賞...外面有一大片彩繪牆，綠地有可愛的飛機模型，適合小孩來玩耍。發現一隻鴿子...，牠疑似長了鴿痘，把它移到樹蔭下，再通知錧方...能加以藥物治療，希望這小傢伙能趕快痊癒，祝福牠。
來眷村博物館可以了解到的當年的歷史和文化，政府單位保存得很完整。大人小孩都適合，有空可來參觀。"
Ling-En Huang,1 個月前,3,
A K,1 個月前,5,超好玩
鄭鈞元,1 個月前,5,
游聖煜,1 個月前,5,免門票，有冷氣，👍
yi ting Chen,1 個月前,5,二樓導覽大哥很熱情，知道了很多眷村的生活故事~
陳永慶,1 個月前,3,
66 66,1 個月前,5,
蔡雅君,1 個月前,4,
林清博,1 個月前,5,
龔建成,1 個月前,3,對眷村文化有多點認識
Chilin Garage,1 個月前,5,冷氣很涼，有哺乳室，每層樓都有廁所，一樓的互動設備中獎還能換小禮物（一支筆），工作人員也相當親切，蠻值得來晃晃了解一下眷村文化，不過沒有停車場，附近也不好停車
巫薇芳（巫薇芳）,2 個月前,3,
尤冠偉,2 個月前,4,
Kelly Lin,2 個月前,5,還不錯的室內景點，可以順遊。
許慈慈,2 個月前,5,"謝謝眷村博物館讓我爺爺懷念以前的事物～
很值得一逛👍👍"
戴昭宏,2 個月前,4,
周嘉仁,2 個月前,4,
蕭懷呈,2 個月前,3,
Sandy Chen,2 個月前,4,
周春梅（周周）,2 個月前,4,
陳鼎元,2 個月前,5,"免費參觀 無停車位
介紹眷村 很好拍"
李國珍,2 個月前,5,
Borg Lian,2 個月前,5,好逛的小地方
王美卿,2 個月前,5,
Cherryl Huntley,2 個月前,4,信息氛圍
APOLLO LEE,2 個月前,3,
廖明珠,2 個月前,4,
Elina chen,2 個月前,5,
Wanru,2 個月前,5,"三年前來過一次 今天下雨不知道要去哪又再來一次
免門票還有三層樓可以看眷村歷史的文字說明跟實體東西展示
是下雨備案或是沒去過的人的好地方"
張家瑋,2 個月前,4,
阿貝,2 個月前,5,免費景點，一樓有小飛機、盪鞦韆可以供兒童玩，夏天記得噴防蚊液，對面有收費停車場，附近路邊也有些，總共3層樓的建築，是個長輩能勾起回憶的地方，夏天避暑、雨天備案可以順遊，整體還不錯
黃衍榕,2 個月前,5,
Y . N . CHEN,2 個月前,5,免費入場 工作人員都很親切 可以了解眷村時代的台灣 很復古 很懷舊！
許育宗,2 個月前,5,市政府維護的很用心~~~場地不大，但只要當過兵或眷村子弟，進去一定滿滿回憶!!!!  建議安排一個小時參觀
Zander In,2 個月前,4,"小小的
有冷氣吹
看看歷史
還不錯"
黃瑞明,2 個月前,4,小時候的回憶
張進元,2 個月前,5,
Y Ting,2 個月前,5,
Xing,2 個月前,5,"眷村文物保存紀念館，充滿懷舊風情，有香蕉新樂園的味道！
📸 很適合拍照、瞭解民初歷史。雖有些年代不過處處感受到設計用心，有很多老街佈景，「眷村市場」壁畫也很美。整層逛完約30~40分鐘。

二樓並設有茶水間，哺乳友善。
整體環境維護整潔，廁所五星🌟"
林天明,2 個月前,2,
Ethan Tsai,2 個月前,5,東西不多，但氣氛很足！
盧秀菁,2 個月前,4,
麗卿,3 個月前,5,裡面很好拍
劉奇豪,3 個月前,4,
吳佳芸Emily Wu,3 個月前,5,高中同學帶我們來參觀眷村博物館，裡面的古老的用品、照片，引起大家的回憶，值得來走走看看，回憶美好純樸的眷村生活點滴.
洪龍,3 個月前,4,
