name,setTime,star,content
Sophia,18 小時前,1,每年都會去的新竹動物園，昨天中部朋友們來訪，想說帶他們到動物園、麗池和花市走走，結果動物園環境惡劣，孟加拉虎沒看到，而且雜草叢生，馬來熊的環境也很糟糕，碎竹子和枯草，沒有水池，看到兩隻熊走路都有問題；紅毛猩猩的環境也不優，怎麼跟去年、前年差這麼多？新竹市政府換了團隊以後就不再關心這裡了嗎？ 🤬😡
何恭毅,1 天前,1,近期去了兩次，猩猩沒看到，老虎沒看到，看到的是兩館一片雜草叢生…猴子區猴子看起來也快熱死了！
Ling-Jung Huang,1 天前,1,"動物園禮品店賣的東西品質超差！
動物海盜蛋裡面沒小雞？
小孩回家很開心要玩結果沒得玩！"
胡儷齡,1 天前,4,有歷史的地方～天氣熱動物躲起來了
book Huang,1 天前,5,
白佳豐,1 天前,1,
蔡明芳,2 天前,5,"整體還不錯，
但走道旁的雜草跟食物森林的雜草有點多，希望可以再維護的細緻一點，加油！"
Vivi lin,2 天前,3,
王鐘銘,2 天前,5,看得出來園方越來越重視動物福利。太感謝你們的努力了！不過讓動物過得好永遠值得再更努力！
Kris,2 天前,4,"全票$50  到klook買票$45
規模偏小的動物園 動物數量不多

入口1樓梯下往星巴克方向還有昆蟲館 裡面有水豚 和一些動物互動活動(額外付費）
暑假有個QRCode闖關活動 破關送沙畫一個
昆蟲館闖關活動送明信片"
艾癡,2 天前,5,"非常多可愛動物,但假日人潮較多,建議平日來比較不擁擠!"
smu lin,2 天前,5,園區規劃的很好，人不會太多
Howard Hsu,2 天前,5,
陳柏叡,2 天前,1,適合情侶約會，小朋友的話....就還好，因為改建後跟以前的感覺不同了，假日來車位絕對會不夠，建議市政府可以改善一下，現在去的感覺動物園不像動物園了，動物也沒剩幾隻.....
郭宗榮,3 天前,5,小型的，好逛，棒
莊英宏,4 天前,3,動物越來越少
Irene Chu,5 天前,5,"😅「動物園地下停車場」沒有直達動物園，動線與標示覺得有點奇怪，指示牌不夠多與清晰，另外，有些停車格過於擁擠，消費沒有折抵停車，需要走經過一個大操場。帶小小孩子千萬要留意～
🌱新竹動物園比起其他縣市的許多親子休閒農場，算是很特別又精美型且性價比高的動物園，園區乾淨整潔，覺得感恩管理團隊。
🌱園區部分整修中，老老虎據說似乎生病中不在，服務站阿姨說之後會有小老虎入園，等新聞發布，期待下一次到訪。
🌱總的來說，小孩來就是大驚奇，且平日觀看品質很好，都能在最佳視野看到動物，建議場外昆蟲館務必要納入行程！有些驚喜還是驚嚇。😂
🌱行程時間安排走走看看停停約兩個多小時。"
劉小君,5 天前,4,
一臉嫣紅,5 天前,4,動線規劃還不錯，而且推嬰兒車的家庭也很友善，只可惜當天老虎不在園區，滿可惜的，假日遛小孩的地方
hsing101 hsing101,5 天前,5,新竹地區老字號動物園，園內重新整修，是動物們的養老樂園。
Stanley Hsieh,5 天前,5,小而美、動物🦔種類不少、規劃的不錯！親子活動的好去處⋯⋯⋯⋯
Jenny羅,6 天前,5,佔地不大，但在市區方便
張義錞,6 天前,5,
