name,setTime,star,content
shinan peng,3 個月前,4,小小一片地區物種齊全，兩百多種的植物，演化出多種生態，掩蔽在新竹市繁華之中，鳥語花香，各方設計皆有其特色的森林菜園，種植，池塘，皆有其特別需注意的地方，專業因而而生，有空經過可以與裡面的和藹可親的志工聊聊，對一些種植的資訊非常開放，共享共有。
邱俊華,8 個月前,5,"籃球場還不錯，有鋪pu,"
彭智源,8 個月前,3,
Aditya,8 個月前,5,
蘇維宏,10 個月前,5,
幸福玩家Gluck play,11 個月前,4,
邱正龍,1 年前,5,很不錯的大公園，休憩遛小孩曬太陽的好地方。
邱瑩德,1 年前,4,
余火炎,1 年前,3,
true no-life,1 年前,5,常來池塘邊看蓮花，吃早餐
宸琒,1 年前,5,
Phoebe Chiu,1 年前,4,剛好要在附近停車場等人，路過時結滿纍纍的果實吸引了我，再進一步看，哇，這個環境看起來很有生氣哦。我順勢照了荷花，在這個地方待也是蠻愜意的。
oppositepain 18,1 年前,5,乾淨綠意盎然，清晨寧靜祥和。呼吸新鮮空氣的好地方。
鍾彩月,2 年前,5,
梁Rigo,2 年前,5,有一群用心經營的義工，植物被照顧的很好，環境很好，伯伯人很用心介紹跟經驗分享。
范漢俊,2 年前,3,
蔡鏺煇,2 年前,3,
臣先生,2 年前,5,臭豆腐超級好吃，美味，豬血湯，美味
劉志賢,2 年前,3,
戴國庫,2 年前,5,
Jimmy,2 年前,4,
michael dobe,2 年前,5,
Hank Chang,2 年前,4,
張皓翰,2 年前,3,不予置評
JAGABANDHU PATRA,2 年前,5,
胡添福,2 年前,3,
Andy Peng,2 年前,4,環境清新
葉淑君,2 年前,4,
akbar eka,2 年前,5,
Junan Liao,2 年前,5,
Alex Yang,3 年前,5,發現睡蓮池盛開，旁邊還有老榕樹與遊樂區，對周邊社區很有助益的美麗公園
林逸鴻,3 年前,5,
王洋,3 年前,5,
Sin Wang,3 年前,4,小而精緻的生態區
洪邦楨,3 年前,4,有多樣蔬菜及植物，長見識且療癒。
耘之稻（鬱金香姐姐）,3 年前,4,"社區附近的小景點
可以休憩一下
曬曬太陽
認識一下 蔬菜果樹挺好的💕 …"
劉復盛,3 年前,5,
孫博甫,3 年前,4,
顏文榮,3 年前,5,
Have,3 年前,3,
陳村龍（阿龍）,3 年前,3,鬧中取靜，交通四通八達，市區寬廣公園。
顧台林,3 年前,4,
王勝銓,3 年前,4,環境舒適很棒
Yanger Huang,3 年前,5,小小菜園，水池生態豐富。
戴婉萱,3 年前,4,
Edward WANG,3 年前,3,
Niny Yii,3 年前,5,"三組溜滑梯等組合，還有一個魚池，有鯉魚和吳郭魚可以餵魚，會開荷花，有涼亭和桌子可以舒服野餐
附近有愛買，可以順便採購，還有冷氣美食街。"
initialD Chang,3 年前,3,還不夠完備，應該要更好的
葉里夫,3 年前,4,不錯休閒地方
Kellyy Wu,3 年前,5,"親切友善的城市綠洲
提供親子與自然農作 小池餵魚
欣賞四季花繪的好地方"
孟繁信,3 年前,3,
游金滿,3 年前,3,
Sharon Yang,3 年前,5,在市區裡看到這樣一小方土地，滿滿的豐盛的感受。
海茄苳,3 年前,5,有幾位用心的朋友無怨無悔的在維護。
Hongngoc Nguyen,3 年前,5,
Tomás ñ,3 年前,2,
Jack Sung,3 年前,3,一個帶遊樂場的小型城市公園。
Elsie Cheng,3 年前,4,
明諒羅,3 年前,1,
Sayeem Mobile Playlist,3 年前,4,我愛它
Eric Chang,3 年前,4,
kevin Chang,4 年前,3,
butter,4 年前,5,這裡很美、蠻像大自然的 如果 肚子餓了 附近就有大賣場 很方便唷！
張少典（Taiwania Justo）,4 年前,4,
Peter Zheng,4 年前,5,綠意盎然，清新舒適
潘大,4 年前,3,
林廷軒,4 年前,5,使人迷路
林瑞克 RickLin,4 年前,5,溜小孩，好地方
yang寶冠,4 年前,4,
Mike Lee,4 年前,5,
