name,setTime,star,content
bramasta tata,1 週前,5,
t c,2 週前,5,
吳財富,1 個月前,4,
M F Lee,1 個月前,4,
Maggie Chen,2 個月前,5,有pu跑道，乾淨又美麗，植栽修剪、花木扶疏，鳥叫聲，運動的人不會太多。
吳彩雲,2 個月前,3,
曾佑億,3 個月前,1,上班時間那麼容易停滿的地方也不多派人巡查 真的天才公司 要大家在那邊等停車等半小時 好幾次都這樣 電話人員一點用都沒有 還叫你到更遠的地方去停再走回來 可不可以動點腦用點心注意一下哪個時段哪個地點特別容易滿特別容易沒車啊
Ivan Liou,3 個月前,4,
林球寶,3 個月前,3,對面的工地，，來工作沒進去
KO,4 個月前,5,"昌平公園沒有塭仔底公園人那麼多，是一個鬧中取靜的小公園，沒有太大的遊樂設施，但是有公廁真的不簡單！
目前旁邊還有建案在蓋大樓，未來可能會人口爆炸了⋯⋯旁邊有youbike,機車停車格跟汽車都有一些，出了思源路外面就是紐約傢俱行，附近機能不太好，所以最好自己帶水道公園喔！晚上蚊蟲不少要注意一下。"
林志柔,4 個月前,5,
Vaster (光點嚮導•等級12),4 個月前,3,"1120405今日來此走一走，這公園範圍不大，新莊副都心的建設發展約於10年前完成，時至今日這裏仍有許多建築工程持續進行中，公園周遭的公共設施汽、機車停車格仍嚴重不足，今日我在公園四周繞一圈竟然找不到機車停車格空位，都被停滿了，事實上還有很多空間可以劃設「免費」機車停車格（或汽車停車格），可惜並沒有規劃。
或許市府希望大家去停收費停車場，但與市民搶錢是個爛注意。"
呂冠德,4 個月前,4,
蘇元邑,4 個月前,4,
葉葉,5 個月前,3,
Ben Lin,5 個月前,5,
OP承恩,5 個月前,5,
鍾進霖,6 個月前,4,
查爾斯,7 個月前,4,
曾家政,7 個月前,3,
老馬,7 個月前,5,
Mary,8 個月前,4,
Jeff Cheng,9 個月前,5,
Rrr,9 個月前,4,"在中央路、福壽街、富貴路的中間，中小型的社區型態公園，環境乾淨且鬧中取靜，周圍有汽車跟摩托車的停車格，有腳踏車租借處，旁邊有停車場

磚瓦的走道很漂亮，可以用來散步跟騎腳踏車，能走動的空間很足夠，用來跑步運動也沒問題，清悠的公園，樹木高大而且茂密，花草樹木照顧的很好，有定期在維護，有兒童的遊樂設施，還有簡單的運動器材可以使用，白天可以帶小朋友過來玩耍，還有遮陽避雨的涼亭，休息椅的數量很足夠，有空閒時間可以來這散步或是稍作休息"
Yu-An Chen,9 個月前,5,
Lina Chen,9 個月前,4,很適合兒童的小公園，有跑道、溜滑梯、蹺蹺板，整體平坦好走。
簡筱慧,9 個月前,5,溜小孩的好地方！！
王昱焜,11 個月前,5,休閒散步好公園喔！
駿小,11 個月前,5,
Wisely Wu,1 年前,4,
陳信成,1 年前,5,對小朋友來說有點小空虛，哈，但應該蠻適合大人散步的
林林博元,1 年前,3,好看
清創工程,1 年前,5,
葉展焜,1 年前,5,適合跑步運動！生態豐富！
7575 Yin,1 年前,4,
Jackie Horng,1 年前,4,"等樹大一點
鳥就多一點"
陳琦元,1 年前,5,
王翔昱,1 年前,4,
高翊翔,1 年前,5,
星星媽媽,1 年前,3,
林承君,1 年前,5,
Benny Liu,1 年前,5,
Jim Hsu,1 年前,4,
高明清,1 年前,4,
Loly 1117,1 年前,5,💖💃 …
kerwin Wen,1 年前,5,草皮面積大，乾淨，適合溜狗溜小孩的公園
馮仁科,1 年前,1,樹木多，但長不大，涼亭遮陽遮雨棚做的實在很差，只是下個小小雨，身上就都淋溼了，區公所管理人員，需要多多改進才行！
張榮基,1 年前,4,
何榮裕,1 年前,3,
翁慶樺,1 年前,2,
王智憲,1 年前,5,
王貴和,1 年前,5,運動散步的好去處
任家懿,1 年前,4,
林晉存,1 年前,5,晚上適合帶狗狗去跑跑放風的好地方
張世瑩,2 年前,2,
Lion Jack (Strange),2 年前,3,期中維護站點
黃致凱,2 年前,4,
劉彩,2 年前,4,
Shen Nigel,2 年前,3,有個小斜坡可滑草
一昂賞,2 年前,5,
陳宏祥,2 年前,5,
O Oo,2 年前,4,
黃威勝,2 年前,5,
黃焜成,2 年前,5,
翁德民,2 年前,5,
Tenrivers,2 年前,5,
卓翰林,2 年前,4,
蕭淑如,2 年前,4,
F.H Chang,2 年前,3,
彭崑育,2 年前,4,
