name,setTime,star,content
鍾友諺,1 天前,1,大老遠來這玩，給小朋友玩水，卻看到沒水準的一家人帶兩個狗來這親子戲水池來給狗洗澡，現場都還有其他小孩在水池，不顧他人衛生帶狗入內讓狗洗澡，真無言，到現場看到這一幕都傻眼了，對方也察覺我們用異樣眼光看，隨後就讓狗離開水池，但還交代他家小孩說：泳池水不要喝很髒，你家狗有一支還有皮膚病還帶入內洗澡，沒衛生水準的一家人…..我現場還去查看有公告牌上有註明不能帶寵物入內池，真夠操的
何波波,2 天前,4,停車指示應該更清楚！
簡志宏,1 週前,3,
Elaine Chiu,1 週前,4,
羅先生,2 週前,5,"位置隱密，不太好找
天氣熱好去處"
吳碧雲,2 週前,5,"水很乾淨
設備很好"
mimi Fang,3 週前,5,
戀筱齡,3 週前,4,
程阿諾,3 週前,2,
Jiawei Lin,3 週前,2,上週日特地帶小朋友去體驗，到現場一點水也沒有，也沒有暫停服務的公告，打電話到1999才知道當日暫停，一堆家長都撲空，希望管理單位盡責一點
Christine Chen,4 週前,4,人爆多 水池的水有點髒
Alcola Teng,4 週前,4,今天沒有開。
Jacky Lo,4 週前,2,夜市已收攤
alan Chen,1 個月前,4,可碰觸到河水的堤岸。清涼喔！
Candy Li,1 個月前,5,
Ching-Chih Su,1 個月前,4,
Llao偉,1 個月前,4,夏天最適合帶小孩去的地方
朱凱特,1 個月前,4,"我們大概中午到達，人潮少許，孩子玩水很開心，從滑梯溜進水池讓孩子意猶未盡。
要離開時人潮聚集，水池有點像下班擠捷運。
美中不足是我找不到廁所在哪🥲
建議孩子玩水要穿長袖長褲保護皮膚。"
何崇瑋,1 個月前,4,可以玩水，不過時間開放有點短
Rpt Huang,1 個月前,3,免費，停車方便，但是水實在太髒了....
余晨碩,1 個月前,1,假日人多 水質不佳
Marco Lin,1 個月前,4,
Kiwi,1 個月前,5,"202307
假日玩水，雖然水不是很乾淨因為大家光腳走來走去又進水池，但是小孩玩的很開心！大人也開心！ 噴水區很強水很涼快，地板黃線很滑小孩常滑倒。免費玩水，周圍居民很幸福。停車場又很大。"
吳志宏,1 個月前,5,帶毛小孩散步的好地方
Nancy,1 個月前,5,超好玩，環境乾淨，有警察不時來巡邏提供協助（剛好遇到警察來幫忙找爸媽）
金毛,1 個月前,5,覺得很棒。適合小孩放電的好地方
盧志妙,1 個月前,3,
趙小婷,1 個月前,5,
陳勇全,1 個月前,5,
Y君仔,1 個月前,5,每年都會帶小孩去玩水，免費又好玩，大人可坐在樹蔭下，但蚊蟲有點多（記得帶防蚊），噴水時間是早上9:30-11:00及下午16:00-17:30，然後每週一、五休園管理維護
東兔桀（東兔桀）,1 個月前,3,"水池有點髒，不是很想下去。
更衣室簡陋，畢竟是免費的，下次不太會考慮來。"
陳福星,1 個月前,4,
Wei T,1 個月前,3,水不是很乾淨，就當做是在溪邊玩，旁邊有沖水的
王雲正,1 個月前,5,
張樹然,1 個月前,3,
陳家偉,1 個月前,4,
黃宗禮,1 個月前,5,
Yuu Mike,1 個月前,5,
田慧,1 個月前,3,第一次來，游泳池的水質真的不行又黃又溫的，必經都是小孩子玩水，我一直看到人穿拖鞋直接在泳池邊緣洗還洗腳，我整個傻眼，就叫孩子上來去沖水回家。
林瑜萱,1 個月前,5,
游振哲,1 個月前,5,夏日消暑的好去處
朱美惠,1 個月前,4,
高文卿,1 個月前,5,
小派林,1 個月前,5,適合玩水的好地方～但假日人真的太多～
張卉媗我,1 個月前,4,
王友琦,1 個月前,4,
林寬寬,1 個月前,4,
Wendy Chen,1 個月前,5,無料好玩唷
林秉政,1 個月前,4,
