setTime,star,content,seg_result
8 小時前,4,"以160公分高的本人來說
座位還算是寬敞

可惜最近的廁所沒有尿布台
也沒有親子廁所

需要跑到另外一個角落的二樓
中場休息時間不長
實在是很趕
差點來不及",160 公分 座位 算是 寬敞 可惜 最近 廁所 沒有 尿布台 沒有 親子 廁所 需要 跑到 角落 二樓 中場 休息 時間
12 小時前,5,,
13 小時前,5,,
17 小時前,5,,
18 小時前,5,帶著外國朋友來松菸文創園區原本是來躲雨的結果她們逛逛愛上了一間手工皮包店隔天又來一次價錢合理而且包包品質很優可見松菸文創的東西蠻有特色吸引我的很多外國客人,外國 朋友 園區 躲雨 結果 逛逛 愛上 手工 皮包店 隔天 價錢 合理 包包 品質 東西 特色 吸引 很多 外國 客人
1 天前,4,,
1 天前,4,,
1 天前,5,吧吧餐車的漢堡好吃,吧吧 餐車 漢堡 好吃
1 天前,5,,
1 天前,5,好逛,
1 天前,5,,
1 天前,5,"週末前來逛逛
環境怡人
文創產品豐富
適合找喜歡文創的人人一起來走走
且剛好有不少展覽
推薦大家前來",週末 前來 逛逛 環境 怡人 產品 豐富 適合 喜歡 人人 走走 不少 展覽 推薦 前來
1 天前,5,Dope you get anime exhibitions and Taipei fashion week here,
1 天前,5,文創產業優質的造訪,產業 造訪
1 天前,3,"展覽的內容多元豐富戶外休憇的廣場也很多
有提供防蚊液坐著聆聽街頭藝人彈琴很放鬆是令人感覺舒服的空間喔",展覽 內容 多元 豐富 戶外 休憇 廣場 很多 提供 防蚊液 聆聽 街頭 藝人 彈琴 放鬆 感覺 舒服 空間
2 天前,4,,
2 天前,5,,
2 天前,4,,
2 天前,4,,
2 天前,4,很棒的園區,園區
2 天前,5,藝術類型的好地方有很多值得一看的,藝術 類型 地方 很多 值得
2 天前,4,台北市內難得的綠地有文創展覽有綠意盎然的草皮更有好吃的餐廳及咖啡廳提供餐點喔,台北市 難得 綠地 展覽 綠意盎然 草皮 好吃 餐廳 咖啡廳 提供 餐點
2 天前,5,,
2 天前,5,,
3 天前,5,一個曬太陽放鬆的好地方,曬太陽 放鬆 地方
3 天前,5,有太多值得一看和嘗試的美麗花園和隱藏的小寶石必須適合輪椅和嬰兒車非常適合家庭入住也適合您自己入住愛愛這個地方,太多 值得 嘗試 美麗 花園 隱藏 小寶石 適合 輪椅 嬰兒車 適合 家庭 入住 適合 入住 愛愛 地方
3 天前,5,,
3 天前,4,,
3 天前,4,很棒的文創園區,園區
3 天前,4,,
3 天前,4,,
3 天前,5,,
3 天前,5,,
3 天前,5,好逛展覽多園區大,好逛 展覽 園區
3 天前,4,文創市集展演空間舒適第一次去感受很棒會再次前往都市慢活最美的地方室外林蔭茂密非常舒服逛逛走走沒走完室外沒啥小坐休憩的地方,文創市集 展演 空間 舒適 第一 感受 前往 都市 慢活 地方 茂密 舒服 逛逛 走走 走完 小坐 休憩 地方
3 天前,5,,
4 天前,3,,
4 天前,5,看看展覽散散步覺得很愜意全家的霜淇淋給的很紮實 ,看看 展覽 散散步 覺得 愜意 全家 霜淇淋 紮實
4 天前,5,,
4 天前,5,,
4 天前,3,,
4 天前,5,很多有趣的 DIY 東西可以散步購物整個氛圍非常有文化氣息是年輕人探索的好地方,很多 有趣 東西 散步 購物 氛圍 文化 氣息 年輕人 探索 地方
4 天前,5,"滿滿的歷史文化的氣息
創意市集 看到台灣的創作作品
挑選適合自己的商品we.the Abigails
支持MIT",滿滿 歷史 文化 氣息 創意 市集 看到 台灣 創作 作品 挑選 適合 商品 支持
4 天前,5,,
4 天前,5,,
4 天前,5,飯店景觀佳工作人員態度良好,飯店 景觀 工作 人員 態度 良好
4 天前,5,,
4 天前,4,,
4 天前,4,文創產業園區與松菸舊建築景觀結合,文創 產業 園區 建築 景觀 結合
4 天前,5,,
4 天前,4,戶外可以散步走走 假日戶外有市集感覺還不錯平日可以逛文創區一些手作店跟誠品書店,戶外 散步 走走 假日 戶外 市集 感覺 不錯 平日 文創區 一些 手作店 書店
5 天前,5," 午後好逛 藝文展有水準 建築藏韻味
這裡是原本的松山菸草工場
比鄰台北大巨蛋跟誠品
裡頭很多藝文展覽小市集設計商品一些藝文活動等每次來都有新發現一天內認真逛逛不完但有些商業展品質就很差只是來賣東西那個體驗就不好趕緊改逛下一個即可

園區建築很美還有一個生態大池塘整體綠化整理的很好適合走走拍照可以自己找到喜歡角度跟讓小朋友放電

廁所很乾淨甚至有性別友善廁所也有飲水機跟導引等便民度不錯

旁邊有一個繩網的公共藝術可以爬上去跟他互動小朋友可以玩的很開心太大的大人就不太建議

環境
活動
好拍
總分",午後 藝文展 水準 建築藏 韻味 這裡 松山 菸草 工場 比鄰 台北 巨蛋 裡頭 很多 展覽 市集 設計 商品 一些 活動 發現 認真 逛逛 商業展 品質 東西 體驗 園區 建築 生態 池塘 整體 綠化 整理 適合 走走 拍照 找到 喜歡 角度 小朋友 放電 廁所 乾淨 性別 友善 廁所 飲水機 導引 便民度 不錯 旁邊 繩網 藝術 爬上去 互動 小朋友 開心 大人 建議 環境 活動 好拍 總分
5 天前,4,,
5 天前,5,,
5 天前,5,,
5 天前,5,,
5 天前,5,"有許多大樹竹林巨石噴水池調塑懷古建築物露天木板舖地適合閑閒情逸趣地漫步

松菸文創園區靠近光復南路側的開放式大門已經完工可自由進出該大門位於兩座玻璃帷幕辦公大樓之間非常開闊自該大門進入松菸文創園區後右邊不遠處即是大巨蛋了",許多 大樹 竹林 巨石 噴水池 調塑 懷古 建築物 露天 木板 舖地 適合 閑閒情 逸趣 漫步 文創 園區 靠近 光復南路 大門 完工 自由 進出 大門 位於 玻璃 帷幕 辦公 大樓 之間 開闊 大門 進入 園區 右邊 不遠處 巨蛋
5 天前,5,大都市內的小文青.喜歡,都市 喜歡
5 天前,5,,
5 天前,5,,
5 天前,3,逛逛文創商品的地方週邊停車方便,逛逛 文創 商品 地方 週邊 停車 方便
5 天前,5,,
6 天前,5,,
6 天前,5,,
6 天前,5,,
6 天前,5,,
6 天前,3,,
6 天前,5,這裡是台北市區為數不多 可以放空 看書 看展 購物 聚會 住宿 參加活動 ........... 變年輕的地方.,這裡 台北 市區 為數 放空 購物 聚會 住宿 參加 活動 年輕 地方
6 天前,5,歷史悠久的園區與百貨商場商辦結合周邊有非常大的綠地規畫得不錯,歷史 悠久 園區 百貨商場 商辦 結合 周邊 綠地 規畫 不錯
6 天前,5,,
1 週前,5,,
1 週前,5,,
1 週前,4,可裝水有廁所,廁所
1 週前,5,日式洋樓復古氛圍,洋樓 復古 氛圍
1 週前,5,,
1 週前,4,來賣艸人家  買了青草茶回家煮  好喝,青草茶 回家 好喝
1 週前,4,,
1 週前,5,這麼多有趣的展品和設計精美的產品值得一看如果你喜歡設計那一定要去看看,這麼多 有趣 展品 設計 精美 產品 值得 喜歡 設計 看看
1 週前,5,,
1 週前,5,非常適合您度過創意日的好地方,適合 度過 創意日 地方
1 週前,5,,
1 週前,5,,
