name,setTime,star,content
張秋香,18 小時前,4,
艾小咪,1 天前,5,"好棒的產品😍
下次有機會還想再來❤️ …"
林林祥,1 天前,3,散步購物的好地方！
啊俊,3 天前,4,就是人家生技公司的觀光工廠，買東西比較是重點啦外面園區處理的蠻漂亮的，可以拍拍照有需要買什麼美妝用品or成衣這邊也有。
劉淑萍,3 天前,5,
余遠焜,4 天前,5,
簡玉蘋,4 天前,5,可以購物補貨，又可以與地景藝術美拍，一舉兩得。
吳逸柔,1 週前,5,
楊鎮林,1 週前,5,
劉昱伯,1 週前,3,
許儀陽,1 週前,4,
粘慧如,1 週前,5,
莊神童,1 週前,3,純採購
Stanley Jian,1 週前,3,
黃仲超,1 週前,3,產品還不錯
Jia賈東斯,2 週前,4,可惜造景差一點，其它的地方都很棒，肥皂，特價優惠的可以買比市面上的同級產品算是很值得，參考的商品，量力，
吳冠宏,2 週前,4,
Bill Chuang,2 週前,4,
邱欣怡,2 週前,5,
Fiefie Chang,2 週前,4,園植多樣，多肉植物呈現原始風貌，是個可以輕鬆走走的地方。蚊蟲頗多，可以先到展售區試噴防蚊液後再至園區走走，立即測試防蚊液效用!
Lai Barry,2 週前,5,
Ben Fiy,2 週前,4,吃不習慣的西餐，無關好吃與否
林多多,2 週前,5,香皂真的值得買！本來只是想說買一個試試看，沒想到這麼好用（大推！）
elva sun,2 週前,4,"2023/08/12
2022/
免錢的景點
花照顧的非常好"
油車,2 週前,5,
方大哥,2 週前,5,精油，香水超讚，咖啡冰淇淋也不錯吃
Mia H,2 週前,1,"展示品怕人用，結帳態度惡劣
蚊子超多沒東西可以看
非常不建議前往"
林玉君,2 週前,3,
林明龍,2 週前,5,採購的好地方
陳碧珠,3 週前,5,
張毓雯,3 週前,3,
楊同學,3 週前,5,免費參觀 有室內有室外
何麗珍,3 週前,5,
施雪雲,3 週前,4,
陳思伃,3 週前,5,
蔡芷妤,3 週前,4,
范月琴,3 週前,3,
陳婉吟,3 週前,4,
張凱琳,3 週前,5,
Lin蒂蒂,3 週前,5,結帳速度很快 店員很親切
Yasai Tseng,4 週前,4,很有規劃的園區、還有很多拍照的地方，都好美喔，有空來走走是一個不錯的踩電選擇
黃語柔,4 週前,5,
Table Xu,4 週前,5,
陳志榮,1 個月前,5,非常適合路過的一個景點，廁所乾淨又好停車100分
Chungliang Chen,1 個月前,5,
韋國珍,1 個月前,3,
黎OO,1 個月前,3,
高小姐,1 個月前,3,
石帛洋,1 個月前,5,"下午14:30恐龍出來晃晃很好玩
濾掛咖啡很好喝"
邱紹華,1 個月前,4,
民族救星,1 個月前,4,巴厘島風的庭園造景，免費參觀，館內有展出一些機器，如織內衣或磨咖啡豆等機台，還有雅雯產品賣場
Sally,1 個月前,3,販售商品的價格有點高
羅旺森,1 個月前,4,
宜家廖,1 個月前,4,
魏名宏,1 個月前,2,
洪進益,1 個月前,5,
張全亨,1 個月前,5,
林香君,1 個月前,5,讚
楓宗,1 個月前,5,
黃思賢,1 個月前,2,
