name,setTime,star,content
椰子樹,1 週前,4,
蔡慧貞,3 週前,5,
曾帥氣,4 週前,5,
Li-Ching Huang,1 個月前,5,
唐義凱,1 個月前,5,
Huong Do,1 個月前,5,
張華升,1 個月前,5,漂亮點
Lee leo,1 個月前,5,
施盈志,2 個月前,5,
Chris Tsai,2 個月前,5,
曾啟祐,2 個月前,4,"晚上來散步,很棒"
林淑敏,2 個月前,5,2023.6.16梅雨期，水位還是不多
kevin liu,2 個月前,4,
金大富,3 個月前,5,
陳珍,3 個月前,5,
阿Hippo,3 個月前,5,
賴婉婷,3 個月前,5,
謝信國,3 個月前,2,
蔡文富,3 個月前,4,
歐陽建宏,4 個月前,5,
Maggie,4 個月前,4,
林孟佳,4 個月前,4,鹿港八大景點之一，可以來餵魚晃晃，鹿港走到沒地方可以去的，值得來走走
王惠美,4 個月前,3,
黃美美,4 個月前,5,
張進源,5 個月前,4,
陳志益,5 個月前,5,
胡淑如,5 個月前,4,
潘嫈穎,5 個月前,4,可以帶小孩來餵魚~現場有魚飼料販賣機，池子裏有鯉魚、烏龜和兩隻鵝，假日可以帶小孩來放風。有很大的停車場，不用怕沒地方停車。
張育薰,5 個月前,5,
郭先生,6 個月前,5,
張雅珍,6 個月前,5,"拜拜，餵魚的好地方...🥰

還有廁所乾淨整潔...👍 …"
黃釗翊,6 個月前,5,
show炭,6 個月前,5,鹿港八景、小巧。有神快拜!
施麗珠,6 個月前,5,
Liangyu Huang,6 個月前,3,
志欽黃,6 個月前,5,
Howie Wu,6 個月前,5,心靈沈澱的好去處。
陳俊宏,6 個月前,5,
yu Su,6 個月前,5,"據說是鹿港八景之一
非常厲害的土地公燈籠座
可愛有趣
遇到元宵燈節活繞街活動熱鬧非凡"
賴承歌,6 個月前,5,鹿港的景點..來就要看看....
巫秀婷,6 個月前,5,"在鹿港，很棒的一個點。
剛好元宵節快到了，
所以有“福德正神”騎神龍的燈籠，慈詳又可愛。
重點來了，洗手間超乾凈。"
黃吉民,6 個月前,5,
Lin Inan,6 個月前,5,小時候家長帶來過，長大後常路過但沒進來，這次進來才發現跟自己的記憶不一樣，原來中間有個大池塘
吳進德,6 個月前,5,
楊于萱,6 個月前,5,
電波,7 個月前,4,
蔡永森,7 個月前,5,
R. E.,7 個月前,4,
呂振揚,7 個月前,5,
