name,setTime,star,content
林祐銳,1 週前,4,車停好瀑布就在旁邊
黃晏柏,1 週前,5,
蔣小川,3 週前,4,停車即到達的美麗瀑布
sun tsen,3 週前,4,"7／2下午來的時候人不多
潭整體不大但有深度
如果一兩個人滿夠游的！"
SUN,3 週前,4,"2023.07.02一訪
開車就到的了
停車最裡面大概三個而已
外面有兩個
潭不算大，但蠻有深度的
下水的時候要注意有點滑
假日大概四點半到人沒那麼多
還可以"
莫在講,3 週前,1,垃圾遍地，假日外勞很多不太好玩所以另尋他地
陳德益,4 週前,3,停車空間不多，停車點旁就是溪流，可以泡水玩水，不過玩水的腹地不大，現場也有不少遺留下來的垃圾
陳毅展,1 個月前,5,
Elaine Lu,1 個月前,5,
aB nfc,1 個月前,4,涼爽而平靜
蔡宗翰,1 個月前,5,
王震樑,1 個月前,4,地方很乾淨，空氣很好，水很清涼
Chiaching Lin,1 個月前,3,"很深山，水很深
建議早點去，不然沒有位置"
鍾霓,1 個月前,5,非常棒的地方！適合親子玩水
鄭博升,1 個月前,5,"騎機車直達的美麗祕境
上潭水深需注意
下潭安全許多"
Peilin Pan,1 個月前,5,
王志銘,1 個月前,4,
WAN-QI Cai,1 個月前,5,
Rex,1 個月前,5,悠閒放鬆的好去處
熊大旅遊趣,1 個月前,5,
宗痛好酸林,1 個月前,5,"適合親子踏水消暑的好地方！
但是桌子只有一個，
是在地人提供的。
基本上他們自己會使用，
但是沒有使用的時候可以提供給大家方便使用！
垃圾記得帶走，不要造成其他人困擾。"
藍采羚,1 個月前,4,
珠珠,2 個月前,5,機車可到的瀑布超幸福、都是水泥地好騎、假日會塞車塞人、可選平日玩水的人少、汽車停車位3台不容易會車、地上有鋪棉布可能怕潮濕或地滑這樣才安全、潮濕的環境讓跳蚤生存、我帶著體無完膚的雙腳回家擦藥、被跳蚤咬到極度的癢、癢、癢、瀑布裡面有一個深潭可從旁邊階梯上去、有桌椅可休息吃點心、沒廁所、很多蝴蝶、記得把垃圾帶走。
Johnel Pacatan,2 個月前,5,放鬆
Ho Jimmy,2 個月前,4,
大帅,2 個月前,5,烤肉，玩水，保持環境請帶走自己的垃圾
Nissi Sagastume,2 個月前,5,前幾天我們和這幫人在這裡玩得很開心。我們和一群當地人一起出去玩，那裡也在那裡！我嘗試做一個後空翻，把背拍在水面上，逗得大家笑了😂
Gerry Tampoco,2 個月前,3,
ccc Ho,2 個月前,5,
aaron張,2 個月前,5,"夏天玩水的好地方

注意停車位非常少

垃圾記得自己帶走"
Zero StayNight,2 個月前,5,看起來淺實際很深，跳下去有點危
徐寶萱,2 個月前,5,
劉雅惠,3 個月前,5,冰冰涼涼的，真好
洪然,3 個月前,4,20230523，沒水，哭哭
晴,3 個月前,5,沒有水～～～沒有瀑布可以看🥹 …
quaeee,4 個月前,5,可以開車到瀑布旁，23年4月初到訪，因久沒降雨所以完全沒水
Hsiang Su,4 個月前,3,好可惜沒有水了內～都沒有網美跟偶縮
Apple Huang,7 個月前,5,1月底去，瀑布水很小，人少、空氣好，步行一下子就到，小溪也沒有水，但是蝴蝶🦋好多好多，生態環境很好。 …
Little O,8 個月前,4,沿著東港溪左側車道開到底會看到右手邊有一座小橋，過橋左轉後再往前約一百公尺就可以找路邊較大的空地方便屆時出來時迴轉. 慢慢走到瀑布不到十分鐘. 冬天枯水期水量非常小. 建議夏天再去看看
潘凱恩,8 個月前,5,各位遊客進入『武潭瀑布』請注意自身安全，尤其是請勿戲水及亂丟垃圾，感謝大家
Chris Chu,8 個月前,5,多麼好的一個水坑，但是要小心，它又深又冷，幾乎把我的蛋蛋凍掉了，往返之後我感到頭疼
Sammi Chuang,8 個月前,4,2022年12月10日冬季水量小而秀美。地點不太好找。最後200公尺道路是不規則凸出的石頭泥土路，機車最好下車用牽的進去。汽車不要開進去，裡面沒有停車處。
方博政,8 個月前,5,"開車就可以到的瀑布,不需走太多路cp值高。"
潘慈,8 個月前,5,
陳富明,8 個月前,4,泡水瀑布沖涼；水質良好未受污染
andy shieh,8 個月前,3,
Mharvin Villegas,9 個月前,5,❤️❤️❤️
台日友好,9 個月前,3,
李莉蕙,9 個月前,4,
酥茵茵,9 個月前,5,"騎進去的河道都沒有水
以為看不到
還好 到的時候還是有瀑布😂
景象很美 …"
Aristotle Hsu,9 個月前,5,
劉憲忠,9 個月前,4,
HSUN-YU WU,9 個月前,4,原始 深潭
Khozain n.i,9 個月前,5,好地方
比比,9 個月前,1,
楊英嬋,9 個月前,4,"人煙稀少
風景優美"
惟強張,9 個月前,5,
炎底羅,10 個月前,5,"走路進去就好 很近
在這邊玩水就好 不烤肉會死？"
飛驒貪吃獸,10 個月前,5,開車就可以到，但路有點小又崎嶇，轎車會比較難受一點，瀑布下的小潭可以戲水，當天去沒有人，不知道平常人多不多。
Chang Cheng Huang,10 個月前,4,在185沿山公路旁  離屏東市區不遠 可親近溪水 大自然的河道 真的水啦
吳俐瑩,10 個月前,4,水很涼，消暑
小安Ann,10 個月前,4,週末假日，許多內行人來此地郊遊烤肉，也有來玩水。但其實有許多告示牌標示禁止戲水，所以大家若真的要玩水，請注意人身安全，同時愛護自然環境。
Sam Pu,11 個月前,2,
唐少,11 個月前,5,
李昌霖,11 個月前,5,很棒的還境！而且也維護的很好，所以也希望來遊玩的朋友們好好愛護😍😍😍
Juno Lee,11 個月前,5,"中秋連假吃吃喝喝之餘
來這裡小走一段
消消食 泡泡腳
要游泳還是戴一下護具
自己的垃圾記得一併帶走
讓美好山林大家共享"
sung denny,11 個月前,4,水不會太冰，跳水+滑水道，先下水確認地勢水深再行動才安全。記得帶走自己的垃圾，不要隨意丟棄煙蒂。
Cliff Hang,11 個月前,5,瀑布不大，看起來深不可測。🙄
林芷徽,11 個月前,5,極易到達的瀑布，產業道路路面不平整，底盤低的車輛建議小心進入
邱思瑩,11 個月前,5,
陳昱瑋,1 年前,4,
許春惠,1 年前,4,空氣清新
蕭智銘,1 年前,5,讚👍
郭南廷,1 年前,5,
銅鑼燒,1 年前,2,開車直上 推
FaFa GaminG YT,1 年前,5,遊覽的好地方，只是為了放鬆和放鬆
青文蔡,1 年前,4,
Posee 123,1 年前,5,無意間找到的瀑布，我只能說 這裡真的太神了 超好玩的 還有人自備救生衣 超專業 非常良好的示範 底部的水域很安全可以泡泡腳 上面瀑布區感覺水深很深 要注意安全 很多當地原住民朋友會戲水的地方 汽車不好停 建議停遠一點 徒步走去比較好
魏銘儒,1 年前,4,
胡秀霞,1 年前,4,人多，車多，很多人烤肉，悶熱，瀑布區水很深，再往下游，沒水
劉銘傑,1 年前,1,
揪速嬋,1 年前,5,"從停車處就能看到瀑布了 水有一層樓深
最好要穿救生衣"
李弘彬,1 年前,4,小小的一個瀑布，水很乾淨，但外場停車位不多，大約3-6台。
孫國元,1 年前,3,今天水不多，有點可惜
江ian,1 年前,4,
Ching Chen,1 年前,5,
劉夫人,1 年前,5,"開車幾乎可以到達的迷你瀑布
沒人管理 不用門票 停車位也不多"
Micolet's Better Tv,1 年前,5,
Wu Steven,1 年前,4,
kun-feng lin,1 年前,3,
MIAO JAN Chou,1 年前,3,
林素雯,1 年前,5,
