setTime,star,content,seg_result
5 小時前,4,,
8 小時前,5,難得可以看胡搞會把一個地方經營得有聲有色不過猴子很猖狂(我不是在罵其他遊客)所以可以盡情享受猴友誼,難得 胡搞 地方 經營 有聲有色 猴子 猖狂 其他 遊客 享受 友誼
1 天前,4,,
1 天前,5,台灣高山美麗的武陵農場位於台中市和平區平等村七家灣溪畔的谷地中武陵農場是國寶魚櫻花鉤吻鮭的家鄉以盛產梨蘋果水蜜桃及夏季蔬菜高山茶等高山農場品聞名武陵農場一年四季都有美景可以觀賞,台灣 高山 美麗 武陵 農場 位於 台中市 和平區 平等村 七家灣溪 谷地 武陵 農場 國寶魚 櫻花鉤吻鮭 家鄉 盛產 蘋果 水蜜桃 夏季 蔬菜 高山茶 高山 農場品 聞名 武陵 農場 美景 觀賞
1 天前,5,"露營很放鬆
小木屋相較之下比較推薦去八仙山",露營 放鬆 小木屋 相較 之下 推薦 八仙山
1 天前,5,武陵農場有長達三公里浪漫的櫻花河流2月21日的花況都是櫻花期的高峰很多喜歡拍照可以上山的必拍景點讓你整個櫻花季都好拍,武陵 農場 長達 公里 浪漫 櫻花 河流 2月 21日 花況 櫻花期 高峰 很多 喜歡 拍照 上山 景點 櫻花季
2 天前,5,武陵農場櫻花季在台灣怎麼可以錯過前一兩年都無法出國賞櫻花被網友的櫻花照轟炸了一兩個禮拜這次終於追上櫻花季尾聲跑到武陵農場去賞花這次是35進入武陵農場已經過了管制期但是人依舊挺多的不過櫻花已經掉落了13但是因為範圍很大所以看起來還是粉紅通通的一片第一次在台灣賞櫻花真的頗美耶,武陵 農場 櫻花季 台灣 錯過 一兩 出國 櫻花 網友 櫻花照 轟炸 禮拜 追上 櫻花季 尾聲 跑到 武陵 農場 35 進入 武陵 農場 經過 管制期 櫻花 掉落 13 範圍 粉紅 第一 台灣 櫻花
2 天前,5,"哇..你們真漂亮

早上 5 點和晚上 8 點",漂亮 早上 晚上
2 天前,5,,
5 天前,5,,
5 天前,5,這次來武稜是第四次了入住楓林木屋兩夜很舒服的空間很清爽的空氣用雙腳從北谷的桃山步道走到南谷園區更可以好好的欣賞和觀察這個美麗的地方入住的房間也很舒適溫暖完全放鬆的渡假農場員工都非常親切感謝前人的開發建設也感謝後來的用心維護願大家都珍惜美麗的家園,第四 入住 楓林 木屋 舒服 空間 清爽 空氣 雙腳 北谷 桃山 步道 走到 南谷 園區 欣賞 觀察 美麗 地方 入住 房間 舒適 溫暖 放鬆 渡假 農場 員工 親切 感謝 前人 開發 建設 感謝 後來 用心 維護 珍惜 美麗 家園
5 天前,4,舒服第一次來,舒服 第一
5 天前,5,,
6 天前,5,,
6 天前,5,因爲未列在大陸團準許住宿的名單內所以這裡的一切仍如同我三十年前的記憶自然優雅和清麗晚餐分兩棟房間進食主樓是450元人的自助餐接待中心後方的是團餐桌菜論CP值還是建議選擇自助餐為佳宿房雖然老舊但設施亦有改進次晨建議報名園方的中巴遊園車兩小時慢遊填滿雙目的山林水色還可羨慕一下年輕族群的露營區氛圍中午前還沒有離去的話若無向園方訂餐就只能到販賣部離住宿區極遠買泡麵肉包粽子等裹腹了,大陸團 準許 住宿 名單 這裡 一切 如同 三十 記憶 優雅 清麗 晚餐 房間 進食 主樓 450 自助餐 接待 中心 後方 餐桌 菜論 建議 選擇 自助餐 佳宿房 老舊 設施 改進 次晨 建議 報名 園方 中巴 遊園 小時 填滿 山林 水色 羨慕 一下 年輕 族群 露營區 氛圍 中午 離去 園方 訂餐 販賣部 住宿區 泡麵 肉包 粽子 裹腹
1 週前,5,331上武陵雖然不是花季路途上還遇到起霧下雨但衝破山霧的山景也是有另外一番風景,331 上武陵 花季 路途 遇到 下雨 衝破 山霧 山景 風景
1 週前,5,"很舒服的森林區
可惜真的太遠了
要不然
還想常常去走走",舒服 森林區 可惜 走走
1 週前,5,,
1 週前,5,,
1 週前,4,"四季均適合遊賞的山林農場
園區內步道白天賞景夜晚觀星
雪山登山口更是一定要到訪朝拜
推薦紀念品小屋的馬克杯+冰淇淋",適合 遊賞 山林 農場 園區 步道 白天 賞景 夜晚 雪山 登山口 到訪 朝拜 推薦 紀念品 小屋 馬克杯 冰淇淋
1 週前,5,112415造訪白藤紫藤綻放很美現場一股清香香味撲鼻而來很浪漫說真的白藤的香味本人聞久了頭會暈,112415 造訪 白藤紫藤 綻放 現場 清香 香味 撲鼻 浪漫 真的 白藤 香味
1 週前,5,非常值得一遊的景點,值得 景點
1 週前,5,,
1 週前,4,,
1 週前,5,,
1 週前,5,上一次露營被猴子的數量嚇到這次選擇住國民賓館清幽很多平日一泊二食房價很合理,露營 猴子 數量 嚇到 選擇 國民 賓館 清幽 很多 平日 一泊 房價 合理
1 週前,4,,
1 週前,5,,
1 週前,5,,
1 週前,3,風景很美空氣清新但猴子有攻擊性家人有遭受攻擊,風景 空氣 清新 猴子 攻擊性 家人 攻擊
1 週前,5,很棒可以親近大自然的遊憩區 屬於雪霸國家公園的一部分 四季都有不同的風味. 此次入宿國民賓館很乾淨戶外還有猴子會搶食.  台灣櫻花鉤吻鮭生態中心可以看到活生生的台灣櫻花鉤吻鮭. 桃山步道跟雪山登山口都值得一遊.,親近 大自然 遊憩區 屬於 雪霸 國家 公園 部分 不同 風味 國民 賓館 乾淨 戶外 猴子 搶食 台灣 櫻花鉤吻鮭 生態 中心 看到 台灣 櫻花鉤吻鮭 桃山 步道 雪山 登山口 值得
1 週前,5,櫻花美不勝收,櫻花 美不勝收
1 週前,5,,
