name,setTime,star,content
徐培恩,3 天前,4,傍晚很多鳥在樹上
滕建宏,3 天前,5,為週遭的住家環境大大加分！！
Lee Lawrence,4 天前,4,
梁雅惠,1 週前,4,佔地不大的社區型公園，有水池養很多魚跟烏龜還有鴨鴨，附近很多父母帶小孩來餵魚
曾傑盛,1 週前,5,
Vice Zero,1 週前,5,小孩近距離看鵝不錯。可以在草地野餐
李知,1 週前,4,"散布聊天的好去處，也有涼亭與洗手間，場地也乾淨。
不錯"
燁,2 週前,5,很棒的公園
章雍,2 週前,4,
Pie Pie,2 週前,4,"我們是因為二手市集來的，太晚到達周邊不太好停車，這個算是缺點。

腹地不算大，但整體算是滿舒服的公園，有大草坪，有水池，廁所也算乾淨。

很適合帶小朋友來野餐或是運動，建議自己帶球、風箏，露營帳。"
薛永源,2 週前,4,城市中有這樣一個地方，散步也很適合舒服！
劉自強,2 週前,5,讚
陳和泰,3 週前,4,親子運動皆宜
子杰,3 週前,5,
Franz Lang,3 週前,5,非常適合散步，水里有鴨子。還有一個維護良好的公共廁所（免費）。
Tommy Lin,3 週前,5,有廁所、U-Bike，週邊也好停車
Kenny Liu,3 週前,4,非常適合全家一起散步休憩的地方
anna anna,4 週前,4,喜歡，只是出太陽遮蔽物不多，樹林不夠茂密， 有一團又一團的小蚊子還是小蟲在飛
郭聖馨,1 個月前,5,好漂亮的公園，乾淨又新，周邊都是漂亮的豪宅。
jason chiang,1 個月前,5,
黃亮瑄,1 個月前,5,
Winston Wei,1 個月前,5,👍 …
林裕翔LEO,1 個月前,5,風景優美，生態環境佳，感覺很舒服
莊佩菁,1 個月前,5,
韋全,1 個月前,5,
Kevin Huang,1 個月前,5,
康力心,1 個月前,5,
黃致穎,1 個月前,5,生態豐富的城市森林
竹北房仲 陳依慈,1 個月前,5,有鴨跟鵝還有烏龜，烏龜會爬上岸 好可愛
Su CM,1 個月前,5,
楊凱鈞,1 個月前,5,
Hsinyi Cheng,1 個月前,3,池塘裡動物很多，但不太應該餵食吧？
Sunset Crane,1 個月前,4,很大的公園，可以來運動，也可以來親近大自然，或者有時候會有辦活動，可以看表演。
林裕翔,1 個月前,5,舒服的環境
vio lincc,1 個月前,5,
Ralph Blogg Tv,1 個月前,3,
姜金明,1 個月前,5,
Vivian LU,1 個月前,4,周遭都有樹蔭遮蔽，很適合來走走
Denise Tian,1 個月前,5,位於竹北高鐵站旁的一塊綠地，有草皮可以野餐，也可坐在涼亭裡欣賞池塘裡的魚、烏龜以及鴨鴨，在忙碌的都市裡，在這散散步稍做休息，調整身心的好地方！
Zain Amr,1 個月前,5,"好水鎮森林公園
花園里長滿了樹木
我喜歡"
讓愛微醺,1 個月前,5,
璐豹,1 個月前,5,
徐小崇,2 個月前,5,
Sherry Liao,2 個月前,5,鬧市中的清幽公園，園中有許多生物，生態豐富
Simon Lin,2 個月前,5,
Esther Hao,2 個月前,5,適合溜小孩，草地很大
Dennis Zuo,2 個月前,5,還不錯 適合散步的地方
Ping Shieh,2 個月前,5,
陳葳捷,2 個月前,5,
李京軒,2 個月前,4,
曾乾爐,2 個月前,4,
林信良,2 個月前,5,
MingHsun Wen,2 個月前,5,
Moomin Fan,2 個月前,4,
國騰廣益,2 個月前,1,
冰菁黑杰克,2 個月前,5,"第一印象是水圳公園周邊都是停車格
停車方便
進去園區看到不少人散布跑步
應該是適合廣大年齡層一起
公園核心裡面有頗大片生態湖池
數量驚人的鴨子一群一群的游泳著
伴隨著不少飛翔的鳥類
旁邊車水馬龍的交通聲都消失了
那瞬間真的會忘記現實的步調
純粹感受這愜意悠閒的瞬間

人行步道十分寬敞
洗手間整潔乾淨
大草原也十分吸睛
不少鳥類也其中覓食
甚至有朋友在此露營
想必是種截然不同的體驗
鬧中取靜 在水泥森林中找真正的森林

政府也有不少大型的活動辦在這裡
有時間的朋友
走過路過不要錯過
不論踏青孩子放電
都很適合來走馬看鴨"
彭Nina,2 個月前,4,有很好的步道，都市空間優雅
