setTime,star,content,seg_result
5 小時前,5,,
7 小時前,2,免強給了三顆星周末夜來此兜風發現這的水廁超級..臭還有一群尬音響的業者讓我關了窗還能聽到他們震耳欲聾的音響聲,周末夜 兜風 發現 水廁 超級 音響 業者 聽到 震耳欲聾 音響聲
8 小時前,5,海景步道景觀橋還有一大堆好吃的海鮮,海景 步道 景觀橋 好吃 海鮮
9 小時前,4,炸物新鮮好吃,炸物 新鮮 好吃
10 小時前,5,,
11 小時前,5,,
12 小時前,5,,
13 小時前,5,,
13 小時前,4,,
14 小時前,5,,
14 小時前,4,,
16 小時前,3,漁市餐廳菜色皆類似大量公費建設一個虛有其表的展館無法久留住遊客,漁市 餐廳 菜色 類似 大量 公費 建設 虛有其表 展館 留住 遊客
17 小時前,4,漁貨新鮮,漁貨 新鮮
17 小時前,5,,
1 天前,4,之前常去釣魚這次純粹去看一下海吃方便消費平平停車又方便人不會太多所以感覺很舒適,之前 釣魚 一下 方便 消費 平平 停車 方便 太多 感覺 舒適
1 天前,3,,
1 天前,5,散步的好地方,散步 地方
1 天前,4,過一拱形橋有海螺館有步道 可在海邊走走,拱形 海螺館 步道 海邊 走走
1 天前,4,,
1 天前,5,,
1 天前,4,,
1 天前,3,我那天去那裡買青草茶和苦茶都不錯喝可惜人她娘的多,那裡 青草茶 苦茶 不錯 可惜
1 天前,5,這邊的海鮮很不錯不過建議不要週末來人真的有點過多不喜歡跟刁民人擠人的建議平日來就好,這邊 海鮮 不錯 建議 週末 喜歡 刁民人 建議 平日
1 天前,5,新整理好的公園 值得一遊,整理好 公園 值得
1 天前,5,非假日去攤位雖不多還是可隨意買買,假日 攤位 隨意 買買
1 天前,2,,
1 天前,5,魚貨新鮮好吃,魚貨 新鮮 好吃
2 天前,5,,
2 天前,4,,
2 天前,5,,
2 天前,4,整體還不錯外食種類基本都一樣沒什麼選擇餐廳大多都不錯吃廁所還有進步空間,整體 不錯 外食 種類 基本 一樣 選擇 餐廳 大多 不錯 廁所 進步 空間
2 天前,5,不錯的地方越來越好了,不錯 地方
3 天前,4,停車位太少了最好上午能早點來,停車位 太少 上午
3 天前,5,不錯的觀光漁港,不錯 觀光 漁港
3 天前,5,"入住附近民宿 海產不錯 港口轉角第一家
我推薦",入住 附近 民宿 海產 不錯 港口 轉角 第一 推薦
3 天前,5,,
3 天前,5,,
3 天前,4,,
3 天前,4,親子沿岸騎腳踏車可以健身賞風景,親子 沿岸 腳踏車 健身 風景
3 天前,5,,
3 天前,4,,
3 天前,5,可以散步,散步
3 天前,2,熱炒店都很普通,熱炒店 普通
3 天前,4,,
3 天前,5,,
3 天前,5,"這次來永安漁港
只逛了逛熟食區
沒有去其他景點
人潮有點多
停車位稍微等一下就會有
雖然太陽很強沒地方可以擋
但海邊風蠻大蠻涼的
拍個照頭髮一直亂飄亂飛
不過可以近距離看到海浪
也是非常的不錯
傍晚夕陽很漂亮
很適合情侶來約會
很可惜這次沒有去到海螺館",永安 漁港 熟食區 其他 景點 人潮 停車位 太陽 地方 頭髮 亂飄 近距離 看到 海浪 不錯 傍晚 夕陽 漂亮 適合 情侶 約會 可惜 去到 海螺館
3 天前,3,,
3 天前,5,重新佈置變乾淨漂亮了,佈置 乾淨 漂亮
3 天前,4,身為在地人的漁港我想說它乾淨大部份魚貨炸物都有因此我給予好評,身為 在地人 漁港 想說 乾淨 大部份 魚貨 炸物 給予 好評
4 天前,5,剛好遇到落日,遇到 落日
4 天前,5,公路車常見景點,公路車 常見 景點
4 天前,4,風景優美還有很多不錯的海鮮料理店食材口味手藝都還OK,風景 優美 很多 不錯 海鮮 料理店 食材 口味 手藝
4 天前,3,比起已往改善的很多 大家有空可以再去走走,改善 很多 有空 走走
4 天前,2,,
4 天前,5,裡面的魚很可愛,裡面 可愛
4 天前,3,,
4 天前,4,,
4 天前,5,新鮮的海產生魚片炸海鮮 + 絕美的海景 + 舒適的散步空間,新鮮 海產 生魚片 海鮮 海景 舒適 散步 空間
4 天前,5,,
4 天前,5,"好吃好逛好健康之生態之旅
挺適合帶孩子走走看看的好去處

遛小孩的好地方
iM",好吃 健康 生態 適合 孩子 走走 看看 去處 小孩 地方
4 天前,4,,
4 天前,3,,
5 天前,3,吃的東西還不錯 逛的地方少,東西 不錯 地方
5 天前,4,,
5 天前,3,,
5 天前,4,,
5 天前,4,風景優美乾淨停車方便值得去的好地方,風景 優美 乾淨 停車 方便 值得 地方
5 天前,5,海鮮多元化,海鮮 多元化
5 天前,5,,
5 天前,5,,
5 天前,5,,
5 天前,4,停車方便,停車 方便
5 天前,4,,
5 天前,4,景觀真的好平日完全不敢進去美食餐廳老闆服務人員比客人多很多,景觀 平日 進去 美食 餐廳 老闆 服務 人員 客人 很多
5 天前,4,,
5 天前,4,,
5 天前,4,,
5 天前,5,可看,
6 天前,5,,
6 天前,5,讚,
6 天前,4,,
6 天前,5,,
6 天前,3,假日休閒的好地點,假日 休閒 地點
6 天前,4,應有盡有就是賣鮮食魚類區比我想像小了一點嘍,應有盡有 鮮食 魚類區 想像
6 天前,4,,
6 天前,5,,
1 週前,5,,
1 週前,4,漁產新鮮景色美,漁產 新鮮 景色
1 週前,3,東西好貴,東西
1 週前,3,風景優美海鮮料理炸物有點貴,風景 優美 海鮮 料理 炸物
1 週前,5,"永安漁港週邊有卡丁車騎自行車沙灘沙灘還有螃蟹洞都玩完還有新鮮的漁貨魚市可以用餐
是個很能讓大人小孩放電的好地方",永安 漁港 週邊 卡丁車 自行車 沙灘 沙灘 螃蟹洞 玩完 新鮮 漁貨魚市 用餐 大人 小孩 放電 地方
1 週前,5,不管單獨來散心或是帶家人來走走都不錯食物也新鮮好吃,散心 家人 走走 不錯 食物 新鮮 好吃
1 週前,5,很大也有魚市場和腳踏車道假日適合來的地方這裡也有舉辦過馬拉松,魚市場 腳踏車道 假日 適合 地方 這裡 舉辦 馬拉松
1 週前,5,,
1 週前,5,釣沒魚,沒魚
1 週前,4,熱炒炸物好吃採買海鮮方便,炸物 好吃 採買 海鮮 方便
1 週前,4, ,
1 週前,5,,
1 週前,5,,
1 週前,4,風景很漂亮,風景 漂亮
1 週前,5,,
1 週前,5,,
1 週前,5,,
1 週前,5,好地方,地方
1 週前,5,,
1 週前,5,,
1 週前,5,人多但乾淨的魚市場生熟分離,乾淨 魚市場 生熟 分離
1 週前,5,,
1 週前,5,,
1 週前,4,我去參加馬拉松的....,參加 馬拉松
1 週前,5,,
1 週前,5,,
1 週前,5,帶朋友從中壢練檔車一路騎過來,朋友 中壢 檔車 騎過來
1 週前,5,,
1 週前,5,"假日開車車位比較難找
有新鮮魚貨乾貨熟食區
可以吹吹海風看看海再吃魚港買的海產
也可以去綠色隧道租腳踏車騎 讚讚 ",假日 開車 車位 難找 新鮮 魚貨 乾貨 熟食區 吹吹 海風 看看 魚港 海產 綠色 隧道 腳踏車 讚讚
1 週前,3,車位偏少炸物還不錯,車位 炸物 不錯
1 週前,5,美麗的海灘孩子挖沙抓螃蟹,美麗 海灘 孩子 挖沙 螃蟹
1 週前,4,海鮮很便宜停車方便,海鮮 便宜 停車 方便
1 週前,5,,
1 週前,4,好吃好玩小孩放風好地方,好吃 好玩 小孩 放風 地方
1 週前,5,假日休閒好去處魚港美味品嘗人文地理的介紹網美照取點之一,假日 休閒 處魚港 美味 品嘗 人文 地理 介紹網 取點
1 週前,4,,
1 週前,4,,
1 週前,5,海產新鮮好吃價格便宜風景漂亮又可租腳踏車遊玩,海產 新鮮 好吃 價格 便宜 風景 漂亮 腳踏車 遊玩
1 週前,4,,
1 週前,4,環境乾淨,環境 乾淨
1 週前,4,,
1 週前,5,魚有新鮮,新鮮
1 週前,3,,
1 週前,3,,
1 週前,4,,
1 週前,1,"一棟房子設計的很好但是樓上連坐的地方都沒有半張椅子沒有休息的地方可以坐也沒有涼亭
幹",房子 設計 樓上 地方 沒有 椅子 休息 地方 沒有 涼亭
1 週前,5,,
1 週前,5,,
1 週前,5,提供新鮮海鮮可惜沒帶魚竿,提供 新鮮 海鮮 可惜 魚竿
1 週前,5,,
1 週前,5,夕陽很美美食區有分魚貨熟食餐廳區規劃的不錯觀海大橋走走很棒,夕陽 美食區 分魚貨 熟食餐 廳區 規劃 不錯 觀海大橋 走走
1 週前,5,,
1 週前,4,,
1 週前,5,"假日全家出遊的好地方視野開闊景色簡單而美好看天看海望潮汐踩沙灘坐草地等夕陽吹吹海風聞聞海的氣息非常愜意

海螺館美得乾淨清新帶有文化意義且不落俗套港邊羅列著一艘艘各有特色的漁船鄭文燦規劃得很好

整排的快炒店不算好吃只是便宜而已每一家差不多希望店家們加油雖說假日才有人潮的情況下確實經營不易但風景區餐飲業的宿命是如此看看能不能以特色取勝而不是薄利多銷",假日 全家 出遊 地方 視野 開闊 景色 簡單 美好 海望 潮汐 沙灘 草地 夕陽 吹吹 海風 聞聞 氣息 愜意 海螺館 乾淨 清新 帶有 文化 意義 俗套 羅列 一艘艘 特色 漁船 規劃 快炒店 好吃 便宜 希望 店家 加油 假日 人潮 情況 經營 不易 風景區 餐飲業 宿命 如此 特色 取勝 薄利多銷
1 週前,4,兩年前的訪問現在只是過去的回憶,訪問 現在 過去 回憶
1 週前,5,,
1 週前,3,東西很貴,東西
1 週前,4,,
1 週前,4,有點髒亂沙灘也是一堆垃圾缺乏規劃可惜了一個好景點,髒亂 沙灘 垃圾 缺乏 規劃 可惜 景點
1 週前,5,無論是採買漁獲或是看景都很推薦舒適度高於南寮漁港,採買 漁獲 看景 推薦 舒適度 高於 南寮 漁港
1 週前,3,魚貨快炒不錯,魚貨 不錯
1 週前,3,,
1 週前,5,有生熟食海鮮可購買 及海鮮餐廳,生熟食 海鮮 購買 海鮮 餐廳
1 週前,5,,
1 週前,5,,
1 週前,5,這裡的地方非常好食物也很美味,這裡 地方 食物 美味
1 週前,5,吃新鮮漁獲的好地方環境有改善較少魚腥味,新鮮 漁獲 地方 環境 改善 較少 魚腥味
1 週前,3,,
1 週前,5,海鮮新鮮價錢公道,海鮮 新鮮 價錢 公道
1 週前,5,,
1 週前,4,,
1 週前,4,,
1 週前,5,,
1 週前,4,,
1 週前,5,,
1 週前,4,,
1 週前,5,有戲,
1 週前,5,应有盡有(我是說餐廳內想吃的海鮮蛤貝類物美價廉了,应有盡有 餐廳 海鮮 蛤貝類 物美價廉
1 週前,5,,
1 週前,3,,
1 週前,4,,
1 週前,1,海螺文化館蠻怪的...,海螺 文化館
1 週前,4,,
1 週前,5,"2013413 相當好的體驗
1餐飲區分熱食乾貨及鮮魚區區區分明
2熱食區所有店家熱情介紹及引導客人入坐並端上鮮美的餐點
3整體園區乾淨停車位含大車數量足夠又免費適合開車前往旅遊",2013413  體驗 餐飲 區分 熱食 乾貨 鮮魚區 區區 分明 熱食區 所有 店家 熱情 介紹 引導 客人 入坐 端上 鮮美 餐點 整體 園區 乾淨 停車位 數量 足夠 免費 適合 開車 前往 旅遊
1 週前,5,風景好環境佳,風景 環境
1 週前,5,,
1 週前,5,很懷念的一個地方很美很舒服,懷念 地方 舒服
1 週前,2,食物變得還好,食物
1 週前,5,,
1 週前,5,,
1 週前,5,全家郊遊踏青的好地方,郊遊 踏青 地方
1 週前,4,,
1 週前,4,新鮮海產現煮美味可口值得品嚐,新鮮 海產 美味 可口 值得 品嚐
1 週前,4,,
