name,setTime,star,content
Rom Shih,6 個月前,3,近興達電廠的小村落，有氣派的媽祖廟，和鹽產業彩繪。
范心怡,6 個月前,4,巷子內的彩繪，畫的很好。
李添盛,8 個月前,3,
熱心助人,10 個月前,3,純樸小漁村，村內有座媽祖廟，彩繪不多。旁邊是永安濕地，可以欣賞水鳥。
黃建勝,10 個月前,2,
簡子祥,10 個月前,4,
温于芝,1 年前,4,是個很整潔寧靜優雅美麗的彩繪村，值得探訪
曾榮泉,1 年前,4,
陳春香,1 年前,3,
Chun-Hung Pan,1 年前,4,恬靜的午後，連在假日來都完全沒有遊客，順手幫這小村落留個紀錄。
MING KUN LIU,1 年前,3,巷內兩旁有彩繪
林新全,1 年前,5,
Yu Wang,1 年前,4,簡約樸素的彩繪
王貴坤,2 年前,3,很好
紫羅蘭,2 年前,5,拍照打卡小景點
Jay Mac Isaac,2 年前,5,
邱光輝,2 年前,4,環境衛生整理的很乾靜
Wen Ke Weng,2 年前,3,主要集中在一條巷子，作品不多很可惜。
王玉雪,3 年前,4,
王玫瑛,3 年前,4,很有特色.創意.復古懷舊的鹽田彩繪村。永安自然濕地與鹽田古厝，隔著一條馬路。昔日的烏樹林鹽田，有著豐富歷史之人文。
Tsai 蔡 Spring,3 年前,4,
Ruby Lee,4 年前,2,
劉文松,4 年前,4,很安寧，清靜的小村落，感覺很舒服。
