name,setTime,star,content
Vivia,1 個月前,5,美
廖婉妤,2 個月前,5,
戴鏡湖,3 個月前,5,美
林進旺,3 個月前,5,"懸崖峭壁 絕處逢生
堅韌挺拔 百岳揚名"
盧凱,4 個月前,5,帥氣的一顆名樹
林明輝,7 個月前,5,
Jummmp,9 個月前,5,不是民宿喔xd
corrina yang,9 個月前,5,結伴同行，一步一腳印慢慢地走到池有山，小心謹慎。請山友幫忙拍照，務必小心步伐。
蕃薯,10 個月前,5,往新達山屋必經之地，小休拍照一下
Hsieh Ting,1 年前,5,👍 …
林芳蘭,1 年前,5,盤踞在岩石上獨特身影的鐵杉，是登山客必經之處，你是堅強的代表，幻想著與你相依偎，靜靜地凝視著你❤️
張哲榮,1 年前,5,
Jiasi,1 年前,5,喔 原來是你，很棒啦是一棵樹🌲 …
Lin Jeffrey,1 年前,5,
hc,1 年前,5,可惜是霧裡看樹
shi-ing Chang,1 年前,5,漂亮的名樹配上壯觀的背景，此生必來
陳炳順,1 年前,5,必拍池有鐵衫
何肇基,1 年前,5,
Joy.Taiwan Fang,1 年前,5,
Eric Lin,1 年前,5,很美，很壯觀的山壁，只有親眼看到才能有人生體悟與感動！
常瑋,1 年前,5,如詩如畫的地方
林馬拉邦,1 年前,5,真的有窈窕曲線美女般的感覺
A man man (曼曼),1 年前,5,第一次爬池有品田山看見美麗的池有名樹很開心老天給了好天氣
張嘉元,1 年前,5,死命的拉繩 腳酸的步行 只為了見你一面～
Jeffrey Chan,1 年前,5,不過就只是顆樹，但是是一顆很美的樹，搭上大景一定更美
Charles Lai,2 年前,5,
Richie Huang,2 年前,5,生長在一個對的地方的鐵杉！要從品田方向看，才有出眾的感覺。
Daniel Lu,2 年前,5,
曾英琄,2 年前,5,池有明樹 前往新達山屋 必經之路
諾諾林,2 年前,5,"【武陵四秀的奇思異想】上集
1.「如何讓我遇見妳，在這最美麗的時刻，為此
我已在佛前求了五百年
求佛讓我們結一段塵緣
佛於是把我化做一棵樹
長在妳必經的路旁。
陽光下，慎重地開滿了
花，朵朵都是我前世的
盼望。當妳走近，請妳
細聽，那顫抖的葉，是
我等待的熱情。
而當妳終於無視地走過
在妳身後落了一地的……那不是花瓣！
那是我凋零的心！」
噢~【池有樹】呀！你以雄偉之姿，傲立垂崖~擄獲無數人為你駐足，爭
相留影~
將此景化為永恆~就算
等不到心儀之人~也千
萬別凋零喔！"
李孟賢,2 年前,5,很美的一棵樹。
Luck CHU,2 年前,5,要看到真難，要走很久很久
林銘達,2 年前,5,百岳名樹之王
J.C. Huang,3 年前,5,"樹型挺拔蒼勁,比合歡、玉山、向陽等名樹更是英挺!"
李信發,3 年前,5,看見名樹風采，辛苦的過程，值得。
黃尚文,3 年前,5,"最美麗的拍照時間～
早晨7，8點
下午3，4點"
崔景文,3 年前,5,坐落於斷崖邊，太美了!!
張泰傑,3 年前,5,美 …就是古典美 ！
Ming Lee,3 年前,4,
Chung-Yu Lee,3 年前,5,
娥媽媽,3 年前,5,為了看池有名樹，一切辛苦都是值得的。
劉樹明,4 年前,5,蒼芎名樹，悠哉仙境，高山景象，好不快哉。
Sean Yu,4 年前,5,非常美的一棵樹
Yu Chi Chen,4 年前,4,漂亮
Andre Yen (Yahoo),4 年前,4,
小成,4 年前,5,
秋晨卓訓章,4 年前,5,
Hsu Yiche,4 年前,5,
詹明潤（Allen Zhan）,4 年前,5,很可愛的一顆樹，路過記得跟他行個禮
胡胡名輝,5 年前,4,暫時停留換囗氣拍拍照片，轉換心情的好地點
fu Hwa hsu,5 年前,4,四週景色優美，往品田山及新達山屋必經之地。
tom lu,5 年前,5,
洪信俊,5 年前,5,走過千山萬水就是為了看她，永遠毅力不搖的鐵衫，值得遠眺或近拍。
David Lin,5 年前,5,不只是那棵名樹，整條步道都那麼美。
Sz-ming Chen,5 年前,5,
Ruei-Chung Wang,5 年前,4,
沈世明,5 年前,5,
Pachingo Chen,5 年前,5,
謝阿翰,6 年前,5,三叉營地到新達山屋上上下下頗折磨，回望此樹與岩壁併立，頗為感動
smart LIFE fantasy,6 年前,5,一定要停留的地方，很有禪意的樹~~~^___^
