name,setTime,star,content
裘裘肉,5 天前,5,
阿嘎,1 週前,5,裝備自己帶 團費放口袋
song so,1 週前,5,
林珏俐Lily Lam,1 個月前,5,"受颱風外圍影響，水比平常濁，但也有很多珊瑚，可惜有很多珊瑚因為水太熱都死了

魚被餵慣了都不怕人，還圍住你，有點誇張，建議不要餵好了"
ten ten,1 個月前,2,到底有多少人能達成呢？有一定的深度喔！
老晁,1 個月前,5,能感受到澎湖地方政府在珊瑚復育上的用心，當天下水的能見度不錯，能看到各型各色的珊瑚與熱帶魚，建議可以攜帶一些吐司，享受被魚兒包圍的感受，各類活動都有風險，請先做好功課評估自身能力後前往
jason yeh,1 個月前,4,在海灣中 風浪不大 海灣還有珊瑚種植 環境復育不錯
郭明玉,2 個月前,5,好玩
Youan Nieh,2 個月前,5,"生態多樣，珊瑚礁很大片，熱帶魚、河豚等都看的到。（左側為珊瑚礁，右側為沙地。）

能見度低比較可惜，約五公尺。"
周維坤,2 個月前,3,"進入鎖港的道路，都沒指標.
促進地方觀光，實在不用心."
Meow Meow,2 個月前,5,
Sung Thomas,2 個月前,4,
張治平,3 個月前,5,
李榮峰,3 個月前,5,
赤赤放攝,3 個月前,4,海底郵筒算是自潛幼幼班、退潮約3-4米、漲潮約5-6米、澎湖普遍水濁、所以不要要求太高、魚很多、到郵筒途中可以看到很多東西～不錯👍
陳龍,3 個月前,5,
許庭瑜,3 個月前,5,其實澎湖南部有很多潛水與浮潛的店家有提供服務，起初以為需要相關證照才能夠參加這類型的活動，沒想到只要有教練帶就可以體驗，費用大約$2300/人，其中包含：蛙鏡、防寒衣、溯溪鞋、氧氣瓶、除霧噴霧、餵魚飼料還有幫你寄送油票的服務，重點是有專人幫你不斷拍照！我們這次選擇的是海獺，會有行前衛教的活動，相關人員都相當專業與親切，大部分都是居住已久，很多關於澎湖的歷史、風景、美食及在地文化他都很樂意分享，接下來就是安全的享受這趟海地旅程，但是要注意天氣變化，安全第一！！！
ㄈㄅㄌ,6 個月前,5,
Diana Lee,7 個月前,5,"波賽頓海洋俱樂部真的超讚，兩位教練帶著我們，先跟我們解釋下水後要比的手勢（例如可以、不太舒服、想上去）讓我們坐在發財車上哈哈哈哈超可愛，開進去草叢密巷裡，途中還遇到浮潛完回程的1組人（5、6台機車吧）

下水後水面較混濁，但可以看到海參，以我這個初學者來說，潛到郵筒真的有點遠🥹但幸好海底給人平靜感，教練們專業度也很足夠！很讓人安心🥹

預約時間是上午，剛好可以避開下午時段人潮，可以跟熱帶魚群合照，真的太浪漫💕可以跟魚群合照，也是教練辛苦還躲在我們身後好讓我們合照🥺

如果對自己身體評估狀況ok
推薦到海底郵筒📮拍照呦👍🏻👍🏻👍🏻"
101,10 個月前,5,"這裡是真的漂亮
但一樣
請勿自身前往
凡事還是與朋友一起去比較安全
有個照應"
decca se,1 年前,5,雖然水質不如七美清澈，但能完成自由潛水下去寄信還是很滿足。
Paul 楊 (阿森),1 年前,5,浮潛🤿或潛水初學者的好地方，建議一定要教練帶比較安全，也可以學到一些技巧。另外會暈船的人，浮潛也比較會暈，因為浪會起起伏伏！ …
Eugene,1 年前,3,
江左鄭郎,1 年前,3,20220701在一個偏僻的角落，一條約兩公尺的小路蜿蜒曲折沿著海邊，路邊還有前人的永眠處，在一個小海灣，萬一兩台汽車相會，那真是個技術問題。
Tsao Sherlock,1 年前,5,記得吃暈船藥
劉威廷,1 年前,5,浮潛勝地
蔡水,1 年前,5,好玩
苑鈴莊,1 年前,5,
Dennis Lee,1 年前,3,水質稍微嫌不夠透，但是個浮潛的好所在
Alice (旅行ing),1 年前,5,"浮潛🤿好所在～超多海大便（海參
沖澡可以去山水沙灘投幣式！"
陸椿萍,1 年前,5,
PE Lin,1 年前,5,
Leung Kit,1 年前,5,剛好適合初學者
chihwei,1 年前,3,有少量停車位
立,1 年前,5,
林鏸綺,1 年前,5,在這邊浮潛人好多，有教練專門的帶領下，看見魚兒的種類會解說，也有看見家長帶著孩子一同下水，小孩子因害怕一直尖叫，家長也不勸孩子任憑他尖叫。好在教練很有耐心，請孩子放手他也會漂浮在水面上不會吃水喔，小孩子才停止尖叫。浮潛的時候看到好小透抽在水面不規則排列裝真是可愛極了。看見紫色的珊瑚小小隻的還沒長大，但下水的遊客一直擦防曬油，真怕來不及長大的珊瑚就已經白化了。海底郵筒真的可以寄信喔！
KOEI JJ,1 年前,4,適合初學者體驗潛水
Amy Wang,1 年前,5,可愛，有趣！
行雲志,1 年前,5,極佳的風味與氣氛
陳若甄,1 年前,5,
沈威奇,1 年前,5,幸運看到綠蠵龜!
阿傑,1 年前,4,還不錯
小馬,1 年前,5,
Yang ken (A Ken),1 年前,4,踏浪 ⋯玩沙 ⋯放空⋯曬太陽的好地方！
Mandi小涵,1 年前,5,
小涵Mandi,1 年前,5,
苡伶廖,1 年前,5,
Heng-Yuan Lin,1 年前,5,很美的小海灣
蔡莉蕓,1 年前,4,"真的可以寄信，海域安全
今天去還有其他業者在這帶活動
有問題請教他們也不吝社的協助我們"
Pan祥,1 年前,4,路上 崎嶇 但風景很美
Archie Zichi,1 年前,5,兩天前我也看到了可愛的海龜。哦對了😂😂
張朝,1 年前,5,很幸運在郵筒附近看到海龜
公主病大頭症Princess disease & Big head syndrome,1 年前,5,
Joanna Jiang,1 年前,5,
王金河,1 年前,4,"位於鎖港南方往山水交接地、峽内彎、空廣陸地、潮流穩定\安全海域\浮潛最佳觀賞地\也是初學者的勝地。😍
空氣新鲜😊可賞曰出海景、美麗海弯、周邊是火山熔岩。值得拍照賞景之勝地😍😍 …"
Luna,1 年前,5,
JD (刺蝟),1 年前,5,很美的海景～雖然我都在看海膽😂 …
Gerry Huang,1 年前,5,第二次來還是很奇特，但是水有點濁
顏文彬,2 年前,1,污染海洋而已
沈勇廷,2 年前,5,先人環顧照護，當下徐風吹來，小浪輕踏，風光明媚。
Su Sunny,2 年前,4,
Kuo,2 年前,3,水蠻濁的，沒什麼生態，浮潛可達，水深約4.5米
星宣崇,2 年前,5,我去浮潛了！許多魚！並且很容易進入。多岩石的地方，魚很多，但是地基比較差，建議帶小孩。您可以騎自行車或乘汽車到達那裡。
樵,2 年前,4,可以自由浮潛的地方～ 珊瑚和魚不多，但有看到人工復育珊瑚長得很好🤣 …
Kelly Wang,2 年前,5,"這是一個如此美麗的地方，可以與海洋生物一起游泳，還可以在水下郵局投遞郵件！
海上的郵局其實距離海岸不是很遠，所以浮潛就可以看到著名的郵局（而且你可以買明信片，因為真的有人收集和寄明信片！）"
Gary/小蝸 Xu,2 年前,4,"餵魚很好玩，但是要小心大一點的魚，被啄到會有點痛，我發誓我完全不會游泳，完全靠救生衣、救生浮標跟面鏡。
不會游泳的只要不緊張就還好，太陽🌞很燙，要小心後頸部會曬傷，為了保護環境請勿塗防曬。 …"
Kaining Yu,2 年前,5,遺憾的是我不知道如何在水下自由潛水。我希望有一天我能親自把一張明信片投進郵箱。
張力行,2 年前,5,不錯。
宏昇陳,2 年前,5,
Yung-Chou Chen,2 年前,5,好地方
