name,setTime,star,content
David,3 小時前,4,
李真意,10 小時前,5,從深澳漁港旁的沙岩海岸即可步行至象鼻岩，沿途有許多蕈狀岩、蜂巢石遍佈整個海岸，隨處可見奇岩異石之美，經漫長時間而刻鑿的海蝕拱門，就好像長長的象鼻伸入水中，形成獨一無二的巨獸景觀。
Cheng-Hao Chen,13 小時前,3,
劉josh,1 天前,4,
Jessica Xie,1 天前,5,
楊傑瑞,1 天前,5,
吳姵蓉,2 天前,4,十分鐘
見心,2 天前,4,
DD LEE,2 天前,4,
ho jasper,2 天前,4,建議早上一大早或黃昏來，避免曝曬中暑。沿途垃圾不少，請大家要愛護自然環境，另新北市觀局要加油。
洪曉雲,2 天前,4,為了這隻象翻山越嶺的，終於見到尼😂😂，象鼻岩還有一個是趴著的象鼻兩個岩石都很逼真
莊智謀,3 天前,5,
Alan Tsao,3 天前,4,
鍾馨顬,3 天前,5,
蘭嶼國小施浩宇,4 天前,4,👍🏻 現場看還蠻像的，但拍照需要找角度才能拍攝到比較像大象的畫面，現場有拉線，不能太靠海，可以遠遠的一起拍照
許啟斌,4 天前,5,"深澳象鼻岩是一個位在瑞芳區深澳漁港旁的特殊地質景觀，在由於長期受到東北季風侵蝕與海浪拍打，成就出深澳象鼻岩特殊的景觀。至於為什麼此地叫做象鼻岩呢？因就像一隻伸長鼻子的大象佇立在懸崖岬角故得名。在北海岸象鼻岩岬角，還可以看到因差異侵蝕和軟硬質地不同而形成的蕈狀岩，看到這些奇形怪石不經令人讚太大自然的鬼斧神工。

從深澳漁港旁的沙岩海岸即可步行至象鼻岩，沿途有許多蕈狀岩、蜂巢石遍佈整個海岸，隨處可見奇岩異石之美，經漫長時間而刻鑿的海蝕拱門，就好像長長的象鼻伸入水中，形成獨一無二的巨獸景觀。近幾年因避免破壞原本景觀與生態，加上安全性考量，周圍已用繩子圍起，遊客若想造訪，請務必小心留意。熱愛水上活動的你，別錯過近年熱門的水上活動「SUP立槳體驗」，踏在板上自由在滑在海面上，享受碧海藍天，還可以用不一樣的角度欣賞北海岸的獨特美景，親近壯碩的象鼻岩海蝕洞，到此必遊的項目喔!"
王大慶,5 天前,3,停車場地不很大，假日人多車多，岩石有沙會滑要注意
曾博彥,5 天前,5,
Richard Chou,5 天前,3,
Bruce Wu,5 天前,5,在風平浪靜的夜晚划著SUP到象鼻岩看夜空，然後等待黎明的到來，看到天剛亮的時候真是漂亮
Rosemarie,5 天前,5,"有一種心情，叫突然想去看海。
因為想看海，所以我又來了。。"
穎,5 天前,5,
Debbie Sung,6 天前,5,
評論美食,6 天前,5,
wang young Ting,1 週前,5,雖然天氣很熱，也走了一段路，但看到很像大象的懸崖，感覺很爽，不虛此行
易偉忠,1 週前,5,
CY Chang,1 週前,5,"一個不難抵達的景點，從最近的停車場出發到象鼻岩單程約15分鐘內。
全程無明確路跡，需自行走出最佳路線。此區可一覽海岸風光、各式奇岩及象鼻岩。
沿途會有不少海蟑螂，但他們會躲。
另有小山丘需爬，算輕鬆，但須注意沙地會滑且相對曝曬。
輪椅嬰兒車不可行，剛學會走路的小朋友也不適合前往，也不建議抱小孩來。"
STARS,1 週前,5,第二次到此，這次已經無法登上象鼻岩上，拉上封鎖線，現場有人站崗管理，雖然無法親近到景色依舊美，這景點好停車，但都是石頭路，崎嶇不平，行動不方便者不適宜。
風世釆,1 週前,5,
H.C Huang,1 週前,4,
帆立貝,1 週前,5,
Olivia Chien,1 週前,5,不錯的好景點
呂小崴,1 週前,5,
田志章,1 週前,5,
ston3300,1 週前,5,
戚得志（宏偉）,1 週前,5,
sh lam,1 週前,5,奇怪外形有趣既岩石 ，對小戶外活動的人要小心高低不平
Samantha Huang,1 週前,5,
楊國威,1 週前,5,需要更多的經驗才能下水，安全第一。
Rick Liu,1 週前,5,
Cheng-Lien Chu,1 週前,5,舊地重遊
何宗禧,1 週前,5,
陳昌禹,1 週前,5,停車場旁的攤販沒了，廁所也移動了，前往象鼻岩的入口也乾凈了，不過現在無法站在象鼻上拍照了，現在有圍籬無法靠近了
Learnhu,1 週前,5,
寧寧,2 週前,5,
黃雅茹,2 週前,5,
Max Kao,2 週前,5,"大象的鼻子！！
不過外圍已經被圍起來了！！"
tina,2 週前,5,"要看這個象鼻
要先走大概7~10分鐘的路
一路上是岩石  不是很好走
海蟑螂爆炸多 小孩看到很開心
不過整個風景很不錯～～～"
游弱魚,2 週前,3,象鼻岩圍起來了，不能就近拍攝，周邊也圍起來了，大大降低觀賞價值和吸引力。
金華蔡,2 週前,3,地方不大，岩石漂亮海景美
吳宇,2 週前,5,壯闊精彩的景色
Kamlesh Soni,2 週前,5,最好的參觀地點。完整的 2 小時套餐供您享受
L NNE,2 週前,5,非常棒的地方，秋天來一定更讚👍 …
謝其良,2 週前,3,海岸岩石經海水年久侵蝕造成的自然風景，擁有世界級的岩石景觀，周邊有漁港、飲食店，行走景觀區要注意濕滑路面。
014amy 014yen,2 週前,4,很多海蟑螂 完全不敢走過去
劉冠毅,2 週前,5,"北海岸特色景點之一
停車場很大
過去的路上沒有這麼好走
還有可能滑倒！要穿著包腳的鞋子較佳"
Perlman Chen (Perlman),2 週前,3,
YIJU CHO,2 週前,4,以為下車就可以看到，結果要走跟爬一大段有點陡的礁岩地形，建議要穿鞋子走，穿拖鞋不好爬。
蘇文妮,3 週前,4,
Lin,3 週前,5,"路不太好走
海蟑螂很多
風景不錯
適合傍晚時過去"
胡焱森,3 週前,5,風景優美
王祥昌,3 週前,5,
皓正（pgfang）,3 週前,5,很熱，拍完速速離開
ivy lee,3 週前,5,"免門票
假日停車每小時30元
先走過一段石頭路
再來一小段爬坡 就抵達象鼻岩
那裡有管制人員  怕你有危險動作
超壯觀的石岩 被海水長期沖刷累積
造就今日美麗的象鼻形狀"
Hao Chiang,3 週前,4,要走一段海邊才能看到象鼻岩本人，務必穿好走的鞋子。風景非常漂亮，可以眺望整個北海岸，從三貂角到鼻頭角都能ㄧ覽無遺，也可以看到對面的九份。值得造訪。
pen tsai,3 週前,5,過停車場後要注意，剛開始因颱風過後有不少的枯樹枝在岸邊，不好走，過後就可以走，不過仍要小心走風化的岩路，走上去後，視野開闊，很漂亮，可利用早晨或黃昏時後去較不會曬傷.
Ianwang,3 週前,4,"位於深澳漁港，附近有一個蠻大的停車場，步行約十分鐘可以抵達象鼻岩
風景優美，適合所有人前來"
Karyl Zheng,3 週前,4,
李文亮,3 週前,5,"天然的景觀，要走一小段路。
行動不便或小小孩，會有點不方便走。
景色優美，現在為了遊客安全有圍起來，感覺圍的不美觀。"
YW C,4 週前,5,
Tom Ethan,4 週前,5,"整體走下來算是合宜各年齡層來走走看看風景很不賴，但是對於喜歡跑跳的小朋友家長就要稍微注意一下，礁岩邊邊角角有的算是蠻鋒利的。
建議： 穿著布鞋
停車： 入口處有停車場一旁也有廁所蠻方便"
Li may Wu,4 週前,5,"風景優美
從入口步行約10分鐘即可到達
但途中經過礁岩地形
建議穿防滑步鞋前往
避免意外發生
戴帽子🧢  不要撐傘
天然地質資源 適合親子同遊"
鄭Allen,4 週前,5,
黃同學,4 週前,5,假日遊客眾多，海景風景優美，可以下水玩更好
Hoai Do,4 週前,3,
吳彥緯,4 週前,4,
李姿逸,4 週前,4,
C L C,4 週前,5,讚啊 不錯
林欽銘,4 週前,5,
欣瑜張,1 個月前,5,
陳宏偉,1 個月前,5,從深澳漁港旁的沙岩海岸即可步行至象鼻岩，沿途有許多蕈狀岩、蜂巢石遍佈整個海岸
蔡燦宏,1 個月前,5,"為什麼此地叫做象鼻岩呢？
因就像一隻伸長鼻子的大象佇立在懸崖岬角故得名"
熊北極,1 個月前,5,
余建興,1 個月前,5,由於長期受到東北季風侵蝕與海浪拍打，成就出深澳象鼻岩特殊的景觀~~
丁依歆,1 個月前,5,"適合帶小朋友來走走拍照玩水
但沙灘上很多海玻璃建議穿著鞋子
旁邊有漁港可以用餐"
Guobao Lee,1 個月前,5,
LoveEat LoveTravel,1 個月前,5,美麗、壯麗、周圍景色優美
Steven Tsai,1 個月前,4,風景悠美.
蕭雅惠Carol,1 個月前,5,景色美得像網路上才看得到的電腦桌布
haussmann CHIOU,1 個月前,5,
호그와트출신,1 個月前,2,
Kathy Huang,1 個月前,5,
彥翔學長,1 個月前,2,"不要為了安全
所以封起來
人應該要有安全意識
媽的好好的風景
被醜醜的禁止進入遮住
政府到底在想什麼
自然景觀不該加入人工的東西
很醜
然後煙蒂一堆
政府應該加派打掃人員"
Clifford Chiu,1 個月前,5,水深危險！珍惜生命，愛惜大自然。
wawa,1 個月前,5,"安全起見有圍起來 能拍到的角度有限
沿路礁岩不好走 但美景很值得"
鄭雅云,1 個月前,5,
蔡明輝,1 個月前,4,
嘉吟,1 個月前,3,
張中南,1 個月前,5,
陳汶熏,1 個月前,5,
Jim Huang,1 個月前,5,停車方便，周圍美食好吃
賴湛棋,1 個月前,5,
李其昌,1 個月前,5,大自然的力量，鬼斧神工！
陳柄良,1 個月前,4,
Ryan Hsu,1 個月前,5,老少咸宜，有廁所，好停車。
chungjen chen,1 個月前,5,
莊Annie,1 個月前,5,很推薦的無料自然景點，需沿海岸線走一小段路邊欣賞特殊岩石景觀才能一睹象鼻岩的風采，建議穿好走的鞋子及戴遮陽帽，防曬不能少，旁邊的停車場收費在觀光區來說很貼心，不到半小時不收費喲👍
Dan Yao,1 個月前,5,
葉俊巖,1 個月前,5,海濱岩石仔細找，也許會發現生痕化石！
清芬張,1 個月前,5,
自由騎士孤獨旅人（自由旅人）,1 個月前,4,前往象鼻岩時不要為了拍美美的照而忽略自身安全一定一定要注意安全！！
顏聖育,1 個月前,5,
Chandrashekhar Tasupalli 強度,1 個月前,5,這個寧靜而令人驚嘆的目的地為尋求安慰和恢復活力的人們提供了非凡的體驗。憑藉其迷人的日出景觀，它提供了非凡的環境，給遊客留下了持久的印象。我強烈推薦這個地方給任何尋求寧靜祥和氛圍的人，在那裡可以目睹日出的壯麗美景。
Liu Eric,1 個月前,4,第一次造訪深澳漁港，這裡有條步道可以看到酋長岩、象鼻岩，因為是自然景觀，需要找到合適的角度加上點想像力，才有辦法體會。
蔡昭緯,1 個月前,5,
鄭明德,1 個月前,5,天然景觀大自然的鬼斧神工👍 …
劉妍希,1 個月前,3,
Peggy Yu,1 個月前,4,
吳新季,1 個月前,4,
陳靖耀,1 個月前,4,
曾柔舫,1 個月前,5,"很有特色
只有一字可形容
就是美"
許義和,1 個月前,5,
張巧榆,1 個月前,5,
黄彥銘,1 個月前,5,
蔡明宏（Richard）,1 個月前,5,
林怡君,1 個月前,5,
Wang Jin,1 個月前,4,
Jill Tsai,1 個月前,5,很美，但走去的路上要小心，拍照也要小心
SUNG-CHING Lai,1 個月前,2,從停車場步行約20分鐘可抵達，沿路風景海天一色還不錯，可看到對面的金瓜石，只是有奇岩怪石，腿力不佳者較不適合前往。一般人應該都靠岩石走，路較陡峭，其實可以沿著海邊走應該會平緩一些...有關單位或許可以增設指標，方便民眾選擇路線。到達象鼻岩後，因為安全考量，所以有圍線，但同時景觀也大打折扣...現場有保全人員，大太陽底下辛苦了，但希望有觀光客來時請勿抽煙，以維護不吸菸者權益...
陳意淳,1 個月前,5,"好漂亮的地方
沒下雨天的我們走
有一小段上坡有點沙滑沙滑的
不太適合老人跟小孩
下雨天更不適合"
李春雨,1 個月前,4,為了安全著想有圍欄不能靠近
天佑,1 個月前,5,蠻特殊的地質景觀，天氣好，適合參觀。
Minh Phuong N. Truong,1 個月前,5,
林育霆,1 個月前,5,
江淑美,1 個月前,3,
黃嫊惠,1 個月前,5,
mai maruko,1 個月前,4,走了很長一段路，又是在很熱的時期來的，差點暈倒。
jy “darktrial”,1 個月前,5,"深澳象鼻岩是一個位在瑞芳區深澳漁港旁的特殊地質景觀，在由於長期受到東北季風侵蝕與海浪拍打，成就出深澳象鼻岩特殊的景觀。至於為什麼此地叫做象鼻岩呢？因就像一隻伸長鼻子的大象佇立在懸崖岬角故得名。在北海岸象鼻岩岬角，還可以看到因差異侵蝕和軟硬質地不同而形成的蕈狀岩，看到這些奇形怪石不經令人讚太大自然的鬼斧神工。

從深澳漁港旁的沙岩海岸即可步行至象鼻岩，沿途有許多蕈狀岩、蜂巢石遍佈整個海岸，隨處可見奇岩異石之美，經漫長時間而刻鑿的海蝕拱門，就好像長長的象鼻伸入水中，形成獨一無二的巨獸景觀。近幾年因避免破壞原本景觀與生態，加上安全性考量，周圍已用繩子圍起，遊客若想造訪，請務必小心留意。熱愛水上活動的你，別錯過近年熱門的水上活動「SUP立槳體驗」，踏在板上自由在滑在海面上，享受碧海藍天，還可以用不一樣的角度欣賞北海岸的獨特美景，親近壯碩的象鼻岩海蝕洞，到此必遊的項目喔!"
葉國楨,1 個月前,5,
Ann Chang,1 個月前,5,
范氏草,1 個月前,5,風景優美，海水清澈乾淨
Kevin Kuo,1 個月前,4,夏天無遮蔽物會很熱，沿途路不太好走
Frank TR,1 個月前,5,當你厭倦了城市的時候，這是一個非常適合遊覽的地方。
