setTime,star,content,seg_result
1 小時前,5,,
1 小時前,3,這地方不錯只是他座椅很少座椅不什麼乾淨這是美中不足地方,地方 不錯 座椅 很少 座椅 乾淨 美中不足 地方
3 小時前,5,"平日來訪遊客還是不少
入場停車費50元蛋現在一盒6顆需要100元了
帶小朋友體驗溫泉蛋玉米很甜很好吃",平日 來訪 遊客 不少 入場 停車費 50 現在 需要 100 小朋友 體驗 溫泉 玉米 好吃
4 小時前,5,像冰島一樣只有氣溫較高你會遇到不錯的新朋友而且還沒有吃飽,冰島 一樣 氣溫 遇到 不錯 朋友 吃飽
5 小時前,4,,
6 小時前,4,,
10 小時前,1,曾經看過工作人員拿過濾的清潔杓在把水中把食物殘渣撈起下一秒竟然是敲在地上的水溝蓋地上的水溝蓋地上的水溝蓋上是人來人往的水溝蓋清潔杓再放到水裡繼續撈一時食慾全無太噁心了拜託清水地熱的工作人員不要再這麼做了希望只是偶然,看過 工作 人員 過濾 清潔杓 食物 殘渣 撈起 水溝 蓋地 水溝 蓋地 水溝 蓋上 人來人往 水溝 清潔杓 放到 繼續 一時 食慾 全無 噁心 拜託 清水地熱 工作 人員 希望 偶然
11 小時前,5,,
13 小時前,5,,
13 小時前,4,,
18 小時前,4,,
22 小時前,5,好玩,好玩
1 天前,5,走走看看多體驗,走走 看看 體驗
1 天前,5,,
1 天前,5,,
1 天前,5,,
1 天前,4,假日人非常多可惜座位太少遇到很多沒禮貌的人亂搶位置,假日人 可惜 座位 遇到 很多 禮貌 位置
1 天前,5,,
1 天前,5,棒棒,棒棒
2 天前,4,"很高興作為一個家庭去
需要運輸
異國情調的體驗",高興 作為 家庭 需要 運輸 異國情調 體驗
2 天前,4,,
2 天前,5,比以前乾淨非常多非常好的景點,以前 乾淨 景點
2 天前,5,裡面賣的食物套餐蠻划算的尤其玉米煮完好好吃,裡面 食物 套餐 划算 玉米 煮完
2 天前,5,,
2 天前,5,,
2 天前,5,,
2 天前,5,假日來人很多,假日 很多
2 天前,5,自行在山下準備一些食材 再上去租借籠子 非常非便且好吃,準備 一些 食材 上去 租借 籠子 非便 好吃
2 天前,5,,
2 天前,5,沒有體驗過的建議去體驗不錯,體驗 建議 體驗 不錯
2 天前,5,,
3 天前,5,地熱溫泉煮蛋的樂趣地,地熱 溫泉 樂趣
3 天前,5,,
3 天前,5,很值得到訪小孩泡腳玩得很開心有日式風格感覺(可以待1個小時左右,值得 小孩 泡腳 開心 風格 感覺 小時 左右
3 天前,5,,
3 天前,5,,
3 天前,5,好的,
3 天前,5,,
