name,setTime,star,content
蔡順紘,10 個月前,3,"若再乾淨一點，二點，三點，會更好！

需要志工整理整理了"
Joe yang,1 年前,4,今日誤打誤撞再次來到這個外婆家附近的湧泉，小時候曾經來過一次，參看之前的評論大多是負面的。今日（2022／04／12）到訪，環境已有整頓過，水源清澈可見底下的魚兒悠遊，可惜牆壁邊緣仍是滿滿福壽螺的蛋，只能遠觀…
錫楷陳,1 年前,5,
邱宗翰,1 年前,2,"1.在水泥和柏油間突然出現一處天然清泉，確實讓人驚訝。
2.即便水質清澈，但所處位置和現場景象，實在讓人沒有勇氣下水消暑。"
Angel Lee,1 年前,3,有點和荒廢的感覺
shu safina,1 年前,4,"聽說每年只有夏季才有水，水質是真的相當清澈、還有許多小魚優游~

比較可惜的是乾枯期的時候沒有保養，導致水底燈是泥沙跟垃圾，但還是相當受到附近居民的青睞~如果有來到清水也不妨下去踏踏湧泉透心涼，旁邊還有傳統的洗衣廠，常常可以看見居民在這裡洗衣服呢！"
Zheng edmond,1 年前,3,小地方順路可以去看看
陳志岳,2 年前,3,專程來到此地一趟，只見湧泉裡滿滿的福壽螺以及卵，非常可惜，有機會再來探訪。-2021/07/18
里長出任務—-杰哥,2 年前,4,可能是枯水期，今年乾旱，完全沒有水，但如果滿水應該會很棒
黃普義,2 年前,5,
羅小小,2 年前,1,沒水!沒有水!竟然沒有水~不值得前往~
黃建瑞,2 年前,5,
TORO Chen,2 年前,1,"已經變得連他媽都不認得他了....
感覺已經荒廢很久的假景點"
Jousir Chang,2 年前,4,
林錫賢,3 年前,5,"今年（2019年）比去年（2018年）提早有水。昨天5/4去看，水滿了，但卻是一堆草，還有沒公德心人在枯水期亂丟的垃圾！（去年2018年到6月底才開始有水，也一樣很髒，直到7月下旬再看，水乾淨多了，就下去玩水）。今年（2019年）希望6月份就能玩到乾淨的水！（目前去遠些的日南冷泉玩水，已4次了。今夏若通霄海水浴場仍未開放的話，大概還是跟去年一樣，清水湧泉、日南冷泉及大安海水浴場是3個玩水的地方）

2020年，因新冠肺炎疫情影響，假日很少出門。趁5/30週六休假，到台中市逛逛（騎機車），到這兒還沒有一滴水！跟去年2019年比，已經較慢了。現在7月要下旬了，不知道有沒有水且比較乾淨了。希望今年有機會到此玩水一番！（今年2020年5月30日，就是因清水湧泉還沒有水，就到較遠的日南冷泉，那兒全年都有水，冬天不會有人下水，夏天也是滿好的戲水地。可惜被立了「水深危勿戲水」的告示牌，也不是很深，還沒有像清水湧泉還有個「蜘蛛網」下方那個更深的地方，為何會立這牌？有點納悶！）"
劉宗恩,3 年前,1,一滴水都沒有
ming-sheng liu,3 年前,4,風景很漂亮
楊文龍,3 年前,3,
ntckent,3 年前,1,感覺荒廢了
黃水源,3 年前,4,
米BERSERK,3 年前,4,
曾志賢,3 年前,5,
Hongyu Lee,3 年前,3,
姵嘎,3 年前,5,
王仲謀,3 年前,5,
avier X,3 年前,4,
milk .G,3 年前,1,疏遠治理，水質敗壞，應封鎖不讓洗衣
劉坤鑫,3 年前,3,
張雅菁,3 年前,3,自然生態區
雅惇莊,3 年前,5,
白庭瑋,3 年前,5,
黃柏熏,4 年前,4,清澈見底。還能看見魚類等生物活動。雖然不大。但非常沁涼，十分消暑
ALEX HONG,4 年前,5,
王致理,4 年前,5,水清凉。有很多小魚
小米,4 年前,4,泉水很冰涼 很適合夏天
果糖咪,4 年前,5,
管文中,4 年前,3,
林榮杏,4 年前,4,
王慧菁,4 年前,5,
王文祺,4 年前,3,
吳秉原,4 年前,4,水滿清澈的
許藝薰,4 年前,3,
王鎮國,4 年前,4,
Shixian Zhang,4 年前,3,沒進去看過
Albert Lin,4 年前,5,
賴孟廷,4 年前,5,
廖俊宇,4 年前,5,
林承璋,4 年前,5,
曾澄,4 年前,3,
楊順惟,4 年前,4,這是意象
Jim Fu,4 年前,3,
施富珠,4 年前,5,
劉哲銓,4 年前,5,
王彬綸,4 年前,5,
陳佳琦,4 年前,3,
Sheng-jie Chen Chen,4 年前,2,水溝很髒 建議不要下水
丹賈斯汀,4 年前,5,
Hsin昕,4 年前,5,水泥建築的覆蓋導致湧泉水消失，可嘆!
洪金雯,4 年前,4,
Jessie Gilo,4 年前,3,
游永滄,4 年前,5,
林冠佑,4 年前,5,
劉國壽,4 年前,4,
王文彬,4 年前,5,
迷鹿,4 年前,4,
吳桂彤,4 年前,4,
洪丸子,4 年前,5,
吳六角itaiwan6,5 年前,5,就是...愛~清~涼~熱熱的天...不要再喝清心了...來玩清澈潔淨的大度山湧泉...更能涼透心霏唷~
傅暉閔,5 年前,5,
潘帥哥,5 年前,1,
