name,setTime,star,content
劉宓宓,7 個月前,5,讚！
Ajied Amages,8 個月前,5,很好
Jyun,9 個月前,3,路過瞧瞧即可
Jeter Chen,1 年前,5,中港溪河堤，相當棒的自行車及人行步道。尤其在日落時分，更是迷人
劉大尾,1 年前,5,
Kiankiong Ng,1 年前,2,
林政賢,1 年前,5,
陳錦榮,1 年前,4,夕照豐沛，四季變化多端
lieh chen wu,1 年前,4,
林豪翔,1 年前,5,
韓德森,1 年前,5,
陳威,1 年前,5,視野遼闊，山景河景盡收眼底，美麗的家鄉❤️
Alea Bismaraga,2 年前,5,👍👍👍 …
Steven Yeh,2 年前,5,美麗的
Jiands Liu,2 年前,4,
陳嬿如,2 年前,5,
鍾得水,2 年前,5,乾淨美麗，是心靈沈澱的好去處。
Yang ji Chung,2 年前,4,發呆的好去處
陳錫議,2 年前,5,
吳小云,2 年前,4,很棒的自行車道，筆直路況又好。吹著涼風看著中港溪緩緩流過，還有白鷺鷥覓食~非常的愜意唷
杜文勝,2 年前,3,
Henry Ow,2 年前,4,
hensen Shen,2 年前,5,
宏文,2 年前,4,站上去幾個角度景觀無價..
莊家倫,2 年前,5,
張部長,2 年前,5,乾淨～自行車道很棒～
RAE H,2 年前,3,很乾淨，可以遙望苗栗的山形，雨後雲的堆積，很美。
Yi Lin,3 年前,4,
許肇國,3 年前,4,
林碩恩,3 年前,5,
曾桓勇,3 年前,4,
蔡東奇,3 年前,3,
林修鋒,3 年前,5,
風風,3 年前,3,
Peggy Peng,3 年前,3,不熱時散步的好地方
黃小跳,3 年前,4,還好適合黃昏散步
蔡大緯,4 年前,4,在夏天這裡可說是風最大最涼快，景觀最好的地方，可惜沒有設置太多座位可以休息。
謝宗霖,4 年前,5,
H ev,4 年前,5,
家祥張,4 年前,5,
陳福榮,4 年前,5,
李祐承,4 年前,5,
有線電,4 年前,5,
潘安堂,4 年前,4,值得賞玩
CNT G,4 年前,4,
陸珮瑜,4 年前,5,
黃宗庸,4 年前,5,
胡國揚,4 年前,4,波光粼粼 氣候舒適 可遠眺二高及鄭漢紀念碑
甘文金,4 年前,3,
林文煌,4 年前,4,
Terry Lin,4 年前,3,
Charles “NRS” Lee,4 年前,3,還行 適合散步
潘金英,4 年前,5,
Eason Lee,4 年前,5,
Leon Wang,4 年前,5,
JY Liao,4 年前,5,
ylxuekimo,4 年前,4,
Frank Hsueh,4 年前,4,視野遼闊，適合賞鳥
pohsun,4 年前,4,竹南划龍舟競賽的地方！
李澔韋,4 年前,3,是個聊天散步的好地方
蔡宗羲,4 年前,2,
李采翎,4 年前,5,
黃麗敏50,4 年前,3,竹南龍舟觀賽台
蔡炳聰,5 年前,4,這裡的風景很漂亮
陳信義,5 年前,4,中港溪出海口，台灣海峽沿岸一望無際!
黃麗敏,5 年前,3,
精誠中學陳英杰,5 年前,5,
林民盛,5 年前,1,
邱振達,5 年前,3,
盧接旺,5 年前,5,看筏龍船的好地方
