name,setTime,star,content
宋雲懿,2 天前,5,
SJ “跟著阿仁去旅行” Sung,3 天前,5,親子遊憩好地方，可以騎腳踏車，還有小孩子遊戲設施
Ruby Lai,4 天前,5,
Radhikesh Barman,4 天前,5,
2580 aa,1 週前,4,風景優美
Jian Leo,1 週前,4,
郡森,1 週前,4,
James Chan,1 週前,3,遮蔭不多 遊具有特色但項目不多
Hsien Yu,1 週前,5,
LIN Sophia,1 週前,5,好多動物適合親子旅遊的好地方
Terry,1 週前,4,
朱裕宏,2 週前,4,
陳茂雄,2 週前,3,
799,2 週前,5,玩SUP的好地方🥳 …
Jian Zhou,2 週前,4,
Yao-Yu Li,2 週前,4,
葉尚碩,3 週前,5,走走，看看！
李定豪,3 週前,4,
Sherry,3 週前,5,"出遊散心或運動的好選擇！
離新竹東區不會到太遠，假日可以來看海，也可以沿著運河騎車，有多人電動車可以租，也有Ubike站點，騎著騎著就騎到賞蟹步道，只好再原路騎回來，建議放置路線圖的看板～
也有一些給小孩玩的設施，可以帶小孩來放電，整體來說是很不錯的景點👍"
Huntpyng Kant,3 週前,5,
周沛紳,3 週前,5,
Kevin Shih,3 週前,5,
李詩,4 週前,4,
簡銘成,4 週前,4,
Lin Michael,1 個月前,5,
Victor Magtambol,1 個月前,5,風景不錯，日落時會再回來。
加恩影印社,1 個月前,5,小孩玩到瘋掉的地方
廖YC,1 個月前,4,
蔡耀全（威岳運動行銷有限公司）,1 個月前,5,
林智勇（紅鴿）,1 個月前,3,人工景點
8蕭斐文,1 個月前,5,
李世湧,1 個月前,4,
Cheng-Wei Chang,1 個月前,5,休閒看夕陽的好地方，但除草後要把草清掉啊
川武,1 個月前,4,停車方便，散步以及腳踏車動線明確，風景很漂亮，適合假日放鬆的景點
晞,1 個月前,4,
劉宇皓,1 個月前,5,
羅旭壯,1 個月前,5,風景優美
Sophia Lan,1 個月前,5,晚上去大概會因為很暗而有些危險，但日落時分看夕陽還是很棒的
阿賓,1 個月前,5,整修後比較漂亮，停車場免費，適合騎腳踏車
Daniel,1 個月前,4,
軒軒,1 個月前,5,環境不錯
Mr. G,1 個月前,5,臨近海邊 人潮不會太多 可以在接近日落的時候來看夕陽
張雪惠,1 個月前,5,
Tsung-Yu Hsieh,1 個月前,5,
魯先盛,1 個月前,5,
lyte tseng,2 個月前,4,
yorklee Lee,2 個月前,4,
文彬鐘,2 個月前,5,
FISH FISH,2 個月前,4,
yu-tang tai,2 個月前,5,
楊舜絨,2 個月前,4,
龍魂趔矨,2 個月前,5,
Sam MAN,2 個月前,4,
李耀武,2 個月前,5,港南堤防步道風景優美
Darren Ou,2 個月前,5,
YS Chen,2 個月前,5,有超大的停車場真的很讚
yiu yiu,2 個月前,2,荒廢了！沒什麼好看！
Shokun Pom,2 個月前,5,不錯
李彥諭（魚魚）,2 個月前,5,很舒服
