setTime,star,content,seg_result
42 分鐘前,3,有點遠,
6 小時前,5,,
1 天前,5,小孩很多,小孩 很多
1 天前,4,,
1 天前,5,,
1 天前,4,,
1 天前,3,,
1 天前,5,小孩放風的好所在,小孩 放風 所在
1 天前,4,很漂亮的地方水池有綠頭鴨跟很多魚,漂亮 地方 水池 綠頭鴨 很多
1 天前,5,,
1 天前,4,,
1 天前,3,很是合老少閒宜公園地大寬敞,合老少閒 公園 寬敞
2 天前,4,,
2 天前,5,,
2 天前,3,,
2 天前,5,廁所很多間綠地與樹木水池造景很棒家人老人家來運動都很好,廁所 很多 綠地 樹木 水池 造景 家人 老人家 運動
3 天前,5,,
3 天前,5,很棒的公園適合小孩玩樂餵魚,公園 適合 小孩 玩樂 餵魚
3 天前,4,,
3 天前,5,,
3 天前,3,,
4 天前,5,,
4 天前,4,,
4 天前,5,,
4 天前,5,讚賞,讚賞
6 天前,5,,
6 天前,4,,
1 週前,1,高鐵在旁邊南北來往太吵了這麼大的公園真可惜,高鐵 旁邊 南北 公園 可惜
1 週前,5,,
1 週前,5,,
1 週前,5,"漂亮的公園寬廣乾淨令人放鬆自在園區還可租電動三輪車帶老小也方便風景很美適合放空每個角落都是美景
後門有芬多精步道很棒",漂亮 公園 寬廣 乾淨 放鬆 自在 園區 三輪車 老小 方便 風景 適合 放空 角落 美景 後門 芬多精 步道
1 週前,5,森林步道的花旗木盛開還有紫籐花晨昏來這兒走走心情身體都舒暢,森林 步道 花旗木 盛開 紫籐花 晨昏 這兒 走走 心情 身體 舒暢
1 週前,4,,
1 週前,5,,
1 週前,5,,
