name,setTime,star,content
張Owen,1 個月前,5,
王明盛,3 個月前,3,
Chih-wei Hung,3 個月前,1,車輛太多且許多駕駛開車速度過快，並不是個能放下心情慢走的地方。
劉宇謙,4 個月前,5,花季來臨時兩篇櫻花盛開好美
智凱張,4 個月前,5,
李俞慧,5 個月前,5,
Lee Wei,5 個月前,5,
shuyuan lin,5 個月前,4,
CHI MING CHEN,5 個月前,4,淡水區鄧公路路邊有很多櫻花樹，只是來的時間不多只有局部開花。
任秋鴻,5 個月前,5,
Brian Lin,6 個月前,1,搭輕軌來，推嬰兒車一出站就得過馬路才有無障礙坡道；往櫻花道方向走，道路狹小又沒有人行道，推著嬰兒車得一直閃避高速行駛的汽機車，為了孩子的安全，沒走幾公尺就打道回府了！這是一個非常危險、不適合老人及親子來的地方！
林維中,6 個月前,5,
建明,6 個月前,4,
Bing,7 個月前,3,
胡立武,8 個月前,4,
吳木喜,8 個月前,5,散步好地方
潘慧美,11 個月前,4,
潘語菲,1 年前,5,
Jimmy Liu,1 年前,5,很好！很棒！
SHENG TIEN LEE,1 年前,5,整潔又漂亮的櫻花大道
高聯瑞,1 年前,3,讚！
大哥高,1 年前,5,
Winston Yang,1 年前,4,交通方便 坡度微陡 很適合年紀大的長輩郊外賞花休閒走路
鄭小豪（綠豆）,1 年前,5,"100％的下雨機率，迎來元宵與#Triple dates ,辛苦爸爸的大車，讓大家初次見面就擠成一團，好在櫻木花道沒被雨打一地，反而增添春日青草芬芳，山櫻、白梅、炮杖花在三空泉間恣意開放，還是不知所以、笑個不停°
既然無雨不樂，下次可以來個邊走邊洗頭行程，嚇唬三代同堂。
#valentines #tripledate #山櫻花 #櫻木花道 #三空泉 #家鄉園 #100%降雨機率"
Minyo Gan,1 年前,5,每年2月份，上班必經之路。10多年來，心中美好的回憶。
陳慧容,1 年前,4,
Andy Lo,1 年前,5,2022年2月4號花朵已盛開……美極了！
陳雨晨,1 年前,2,延路兩旁櫻花漸開，應在2月底3月初開花，但道路小並無行人道走路要小心車輛，且電線及電線桿超多，要拍美照有點難度，無論那個角度都無法 避免他
DEREK CHEN,1 年前,4,
鄭士浩,1 年前,5,
陳淑秋,1 年前,4,
汪薛德,1 年前,5,
許宗隆,1 年前,4,很漂亮的櫻花步道，但櫻花樹缺少適當修剪，還有長的歪歪斜斜的有點美中不足。建議區公所要定期修剪。
陳文鶯,1 年前,5,初秋來還不錯 景色宜人
王楌淞,2 年前,5,悠閒步道
Allen Chien,2 年前,3,從輕軌站緩坡散步上山，大約要走上卅分鐘左右，櫻花季時可以賞櫻，平時就當做踏青，親近大自然。
蔡佩貞,2 年前,5,"交通方便
只要輕軌鄧公站下車
值得一看"
盧謙,2 年前,3,
柯金波,2 年前,3,
aven chiu,2 年前,2,
s stone,2 年前,5,
沈金慧,2 年前,4,很清靜:很舒服:我喜歡
魔王剣,2 年前,4,路邊有山櫻花 走路要多注意來車 沒有行人專用道
翁健堡,2 年前,4,"現在開的還不夠多，但228會下雨。
要看要快。"
Chih-Wei Huang,2 年前,3,如果沒有汽車通行，是相當適合散步的路段。2021年2月15日，多數櫻花已經掉得差不多，只剩幾棵樹仍然是滿開狀態。從輕軌站往鄧公路的出口，全程緩上坡，整體來說是好走的路段。
王一清,2 年前,5,
Sakurs Wu,2 年前,5,"雖然都謝的差不多了😅
呼吸新鮮空氣也很好的 …"
Alice Teng,2 年前,5,一整排的櫻花樹，看得我心花怒放，不亦樂乎。
王珮璇小姐,2 年前,5,
Chenghsiao Hsu,2 年前,3,
楊繼祖,2 年前,5,
吳淙琤,2 年前,5,
林家賢,2 年前,3,2021年1月31日櫻花 只有三分之一
wawa wu,2 年前,5,很舒服的步道，紅樹林的規劃很棒
王悟廣,2 年前,4,
許正陽,3 年前,5,
李魁恭,3 年前,4,到淡水一定要去的地方 特別是櫻花季 滿滿的櫻花 賞心悅目
Holiday Vivid,3 年前,5,
黎金鳳,3 年前,4,
Hungkai Chiu,3 年前,3,停車不便。扶輪社計畫弄出來的小步道
tony lin,3 年前,3,
ERIC LUE,3 年前,3,
Luke So,3 年前,2,
Hanks,3 年前,4,"在捷運淡水線的紅樹林站轉搭輕軌，
到淡金鄧公站下車即可，
可能是來的時間點不對，路上花開得不多；
到2020年5月31日為止，
憑Line裡面的「乘車碼」，可免費搭乘輕軌"
claire chuang,3 年前,5,
唸曉瑋,3 年前,5,
PEARL HSU,3 年前,4,少了櫻花🌸的大道 …
HSU Emily,3 年前,4,
xander yang,3 年前,3,
張家修,3 年前,5,
