name,setTime,star,content
林平川（川哥）,1 天前,5,
Jeton Feng,3 週前,1,
Kevin Lu,1 個月前,1,根本沒有參觀工廠，只有介紹走廊上的文字，做DIY也沒介紹清楚到底什麼是什麼，做DIY加介紹總共不到30分鐘。
su PETER,1 個月前,5,有機會可以去看看~
林麗雯,1 個月前,4,
Marcus S,1 個月前,1,我們參觀了這個地方，他們的浴室裡沒有肥皂。這讓我覺得這個地方不衛生，當我告訴在那里工作的人時，他們很粗魯而且不在乎。為什麼有人會因為購買你放入體內的東西而感到高興？肥皂是基本的健康必需品，他們甚至不提供它，而這個地方據說是賣保健品的。我不建議購買他們的任何產品。
Linda,2 個月前,4,
Guizhi,2 個月前,4,
Chinghsiung Wang,2 個月前,3,
ᄒᄉᄒ,4 個月前,1,
羅兆英,4 個月前,2,
唐淑珍,5 個月前,5,
賴逸林,5 個月前,4,生技觀光工廠，介紹各種保健食品。
Valenti Kiseki,5 個月前,1,旅行團的購物行程，不用三分鐘就調好的DIY精油收費100元會不會太貴？好笑的是一堆人出來都不知道這精油的用途和保存期限就被帶去購物了
芯瑜張,5 個月前,4,有專業的藥師講解健康概念，如何選擇正確的保健食品和怎麼吃才正確，會給試吃但不強迫推銷
林金盆,7 個月前,5,"遊客報名方式：

團體採事先預約方式，請於5工作天前來電預約洽詢，

•若有行程或人數異動，敬請提早通知本館

•全廠區及全館禁菸及攜帶寵物入館

•全廠區禁止攝影，請勿攝影，除健康文化館與花圃造景區之外

本公司保有所有活動變動及解釋之權利"
Leon Huang,7 個月前,5,只接團體，散客只能進來買東西，別白跑一趟了喔！客服蠻有禮貌的
sophia shih,7 個月前,1,買的保健品罐上的建議用量與小叮嚀上寫的差很多，譬如蔓妃鐵錠罐上寫每天3-5粒，小叮嚀則為一天1粒，太不專業了，魚油更誇張罐上為每日2次每次3粒，小叮嚀為一天2粒，真是罄竹難書
sophie Chen,8 個月前,5,有很專業的藥師解說，台灣本土優良製藥公司，轉型發展的觀光景點，人員服務藥品品質都很好。
Judy Lin,8 個月前,4,產品說明詳細，價格合理，也清楚說明要如何使用保健商品，可以與市面上廣告的產品比較，選擇合適的保健食品。
蔡莉莉,8 個月前,4,就是買啊!!
洪菀庭（홍완팅。LALA）,9 個月前,5,主要是參加跟團旅遊安排去觀光的購物站，才知道有這家公司，濟生製藥廠開放參觀，有人員簡報解說介紹，很有專業感及說服力，還有問答贈送產品試吃包以及人人都有的維他命C錠試吃，產品都是針對各種不同需求的保健食品，不強迫購物，但是反而很多人購買，產品不貴，還有滿額贈品。
李佩佩（米粒）,10 個月前,5,多次跟旅行團來參觀，環境路線分明舒適，導覽人員親切不強迫推銷，專業介紹生技了解保健食品及價格透明不怕貨比三家，促銷組合真的很划算，推推～👍     米20220725粒
Bo-中原,11 個月前,2,"來兩次

第一次感覺不錯，講師也蠻會講的（年長的人）
第二次什麼東西，難得這麼難聽，爛！（一個年輕的）
請工廠檢討"
梅,11 個月前,5,
蘇柏華,11 個月前,5,很好 非常棒
王炳忠,11 個月前,5,很棒的觀光工廠，服務很好，介紹的很詳細
Queenie Tseng (野口),11 個月前,5,
許文馨,11 個月前,5,"濟生觀光工廠
和創業創新協會
理事長 黃騏蔓
財務長 力慈"
Zoe Liu,11 個月前,1,
Jill Sa,11 個月前,1,幫父母親報名参團來到這邊，又不是不買，只是未免講太久了。。聽媽媽說倒楣的領隊還被店家罵，店家請來個好大的官威主管，嚇死人
羅甄甄,11 個月前,1,如果趕時間要離開，現場的女主管會先語帶威脅，然後再罵人沒教養，沒水準，好兇哦，我好怕！自己先開口罵人，回罵妳B也是剛好而已，自己更沒教養沒水準，憑什麼罵人做人身攻擊？自己一付跩歪歪的樣子先瞪人挑釁，又先開口罵人，是怎樣的觀光工廠會有這樣的女員工？整個毀了濟生的品牌形象，看到此篇google評論應該又會來留言罵人開戰了！我懶得理了
小薇,1 年前,5,是因為跟團來到台北，剛好有這一個景點，聽了很多的醫學知識，身為護理師，然後聽完講解後也有去法律的法規查詢真的有這些知識，而東西實在便宜，先買了很便宜的維他命C+鈣，很便宜100粒才200，下次可以考慮來買葉黃素，感覺不錯，先吃看看觀察看看不錯的話再考慮回購其它商品
嘉逍遙,1 年前,4,"新竹縣第一家以美容保健為主題的觀光工廠「濟生beauty健康文化館」現任董事長蘇東茂認為健康須從平時身體保養做起。因此積極投入保健與保養品開發。
透過專人深入淺出的解說導覽，讓遊客了解美容產品和保健食品的相關知識，找到最適合自己保養方式，讓您買得開心，吃得安心。"
eddy LIN,1 年前,5,讚
王騰鋒,1 年前,5,透過解說更加了解生技的偉大，健康的活著真是不容易，保健食品更是不可缺乏，坊間很多保健食品價格成份都值得顧慮，但在這邊經過解說及相關研究的文獻數據，會讓人覺得吃的健康，產品價錢也是能讓大眾普遍接受的。
楊振榮,1 年前,4,了解很多有關葉黃素食品的資訊！
米,1 年前,3,"參加便宜旅遊團帶來的地方。
疫情期間促銷價位参考：
維他命c200元1瓶、紅麴2瓶1200， 蔓越莓維他命c、鐵350。~賣保健食品的地方~至少是台製藥廠相對來路不明的保健食品安心多了。
團體旅遊的置入性購物行程。散客不接
評論說有DIY很推。
==========================
紅麴
肝病、痛風不宜
抗血压脂藥4小時不要吃萄葡柚
晚餐吃
==========================
Q10
血管硬化適用
==========================
魚油
降三酸甘油脂30-67%
Omega3,
天然純度30-50%(>50%化工)
rTG>80%天然型態(化工)吸收較好 但是安全性認證，治療
TG天然，保養。
治療非酒精性脂肪肝
空腹吃
==========================
葉黃素
含量不得超過30mg
吃多肝負擔？
複方：玉米黃素(黃斑)更棒"
1Ning,1 年前,5,保健食品的觀光工廠🏭
Sam Huang,1 年前,5,第一站就剁手了。講師太會講
Jay Chen,1 年前,5,
Leno Chen,1 年前,4,殺戮戰場 2022.02.20
楊建祥,1 年前,3,參觀觀光工廠
Sundra Wei,1 年前,4,詳盡介紹產品成分內容，價格非常非常的合理，算CP值高的產品，照顧自己從健康開始，除了運動也要輔助產品來加強延續身體機能。
陳宜慧,1 年前,4,跟團必需來的景點
Jia,1 年前,4,維他命C一瓶200元，蔓越莓+鐵+維他命C一瓶350元，紅麴王兩瓶1200，不貴，買來吃吃看。
陳秀芬,1 年前,2,跟團遊覽車來的 西藥化學製藥觀光工廠
陳秋月,1 年前,5,簡報內容清楚，態度親切。
雙子星,1 年前,3,需事先預約
羅婉甄,1 年前,4,
馬先生,1 年前,1,現在不接待散客，網站也沒說清楚
CHUN-FU Hsieh,1 年前,1,保健品大推銷
幸福,1 年前,3,"是一個賣保健食品的工廠
裡面有互動的機台可以玩
還不錯"
Annie惠珍,1 年前,3,"之前散客免預約 現在要預約
下午沒有預約 直接前往 被擋在門口
不能參觀 也不能進賣場 白跑一趟
難怪整個停車場空的 都沒人"
林俊宏,2 年前,5,
Jc Lin,2 年前,5,
MATT,2 年前,1,"睜眼說瞎話，到門口說要預約，剛走兩步路，後面來一票人說 之前來過都不用預約，就直接進去還同一個人接待，騙鬼呀。
自私接待。要馬一視同仁呀。
有這種員工。真是可憐"
晴玥雨荷,2 年前,4,"這個地方算是醫藥生技業的觀光工廠吧！
借著先讓我們DIY一個護手凝露，開始一個落落長的知識講解。看著穿白袍的年輕男士，振振有詞的在臺上解說。
我是來旅遊的，雖然加減聽一些知識也不錯，但是知識要正確啊！
因為當我聽到……糖尿病的盛行率44%……簡而言之，兩個人有一個人是糖尿病………
說實在話，不知道是我聽錯？還是怎的，我覺得我腦袋好多問號???說實在……後面就就聽不下去了。
不過，關乎健康的保健食品，大家還是買的不亦樂乎。說是可以試吃，趕快去吃。結果原來是吃維他命C+鈣。"
鄭董,2 年前,3,就是一般國內坐遊覽車旅遊會去的花錢的地方。
安竹&暖暖,2 年前,5,
Yovela Liu,2 年前,1,注意⚠️現在未滿20人不能參觀，不要白跑一趟！！！
Yuhuei Wang,2 年前,1,只接受21人以上團體預約，害我白跑一趟。
Hao Hao,2 年前,2,"自己疏忽沒預約到不能怪別人，但門口人員態度也太差一副要趕人走

股票4111被年線壓著上不去 還不空一波"
李志修,2 年前,3,2021/3/1，到濟生健康文化參觀，館方產品等解說明白，展示區都是健康食品，明示價格。
黃雅雯,2 年前,4,"有專業人員解說，
各項保健食品的用途及成分。

是台灣，已有70年以上歷史的製藥廠，
愛台灣，當然要支持台灣貨！

立馬買了顧眼睛的葉黃素，
還有很好吃的女性保健-蔓妃鐵錠。

下次還想買膠原蛋白，
以及很厲害的魚軟骨素！
益生菌也很推～
（咦～我是不是該來這裡上班）"
林小圳,2 年前,5,
jennifer ch,2 年前,3,
Yu-Heng Tai (lovesea),2 年前,4,
陳建翰,2 年前,4,位置在交流道旁，可停留休息，參觀完工廠，離開前可投罐10元飲料喝。
鄧X布,2 年前,4,😊 …
