name,setTime,star,content
Xin wei “吃吃吃”,3 週前,1,
張映懷,5 個月前,4,
許不了,5 個月前,5,雖櫻花數量不多 但環境乾淨自然空氣好
Hsieh Simon,5 個月前,4,"三月多才去 櫻花大部份已長出綠葉了
倒是瀑布還是奔流如昔 在陽光下竟然出現了一抹彩虹"
林昱婷,6 個月前,4,"現在有一些櫻花開了
走在路上很舒服"
陳慶仕,1 年前,4,
H.Z. CHENG,1 年前,5,
朝政黄,1 年前,5,
STEVE JIM,1 年前,5,
Kuo Chih Wang,1 年前,4,環境不錯，空氣很好，櫻花步道（目前還沒全開），商店街，很適合全家走走。
呂岳霖,1 年前,4,櫻花尚未大開
Ivy,1 年前,5,搭乘台車沿途可以欣賞到壯觀又秀麗的風景
yiwen hsu,2 年前,4,
張豪歐,2 年前,5,
地球怡,2 年前,4,
鄭Arthur,2 年前,4,
Miki (77),2 年前,5,"櫻花很漂亮！適合來踏青賞花，還可以順便去逛烏來老街跟看烏來瀑布，是假日一日遊的好去處！
⋯
⋯
但櫻花差不多要掉光了，所以明年請早吧🤪 …"
Gordon Chang,2 年前,3,烏來往信賢 福山路上櫻花更多
H_H,2 年前,4,"山間與瀑布的視覺享受
但此處稱不上什麼賞櫻大道
櫻花數偏少"
Ning Xing,2 年前,4,櫻花沒有很多，開車前往瀑布的路上可以稍微停一下拍個照。
Glen Lu,2 年前,5,
mori LIN,3 年前,5,充滿負離子的饗宴
EdwardChen Vastytex-Edward Chen,3 年前,5,
Eason Hu,3 年前,3,目前還沒綻放喔…
呂雅菁,3 年前,4,雲霧仙境
李淑珠,3 年前,3,
柯老,3 年前,4,
Sammie Ho,3 年前,4,沿途都是櫻花樹，2月初已有很多花苞，預計2月中旬到月底會盛開
陳弘桔,3 年前,3,
bradshaw wu,3 年前,5,
陳清秀,3 年前,4,
黃永和,4 年前,4,
召吳,4 年前,4,
Eva Hu,4 年前,3,櫻花🌸沒有很多 如果可以再多種植些會更好 …
楊振銀,4 年前,5,櫻花還沒有開，大約是十二月下旬與一月份才會開。
鍾煌煌,5 年前,4,
陳志忠,5 年前,1,
陳育祺,5 年前,2,
jerry chan,5 年前,2,
世界有趣,6 年前,3,風景優美可以泡湯跟吃山產賞櫻花走步道坐纜車看瀑布
