name,setTime,star,content
Jes,6 天前,5,放鬆的最佳場所。
蔣秉豐,1 週前,5,
康景翔,2 週前,5,有溜滑梯 看高鐵的好地方 距離非常近 震撼力很強
國華,3 週前,3,
xuxu xu,1 個月前,3,
Jerry “陳重” Chen,2 個月前,3,
侯霽芸,2 個月前,5,優雅的步道環境
Chong yow Chen,3 個月前,5,
劉睿升,3 個月前,5,拍高鐵超讚
政賢,3 個月前,5,
Willis Wu,4 個月前,4,下雨天跟大太陽時溜小孩的好地方，缺點是沒廁所，路邊停車位不好找。
vivini young,4 個月前,5,不會曬太陽的好地方
吳WU,4 個月前,5,
Devan Liu,4 個月前,4,溜滑梯本身不會被雨淋到，但要爬上去的樓梯會被雨淋到，所以如果下大雨還是不適合，如果是雨後的話就還可以，因為其他地方溜滑梯可能都濕掉了，溜滑梯蠻長的，小孩會喜歡，往上爬可以看到高鐵
kaikai LI,5 個月前,3,上次晚上來被後面的墳墓嚇到= =
Kelly Chen,5 個月前,4,
Ling Hsiang,6 個月前,4,公園不大就高鐵橋下一個小區域，若想近距離觀看高鐵行駛是可以來走走拍照📷還有兩個大概2層樓高的溜滑梯可給小孩玩耍，有一塊小草地也可帶狗狗來蹓躂！覺得是一個很適合住附近帶小孩寵物出來放風的小公園🌞 …
李惠平（喬）,6 個月前,5,
陳聖徳,6 個月前,5,
李素貞,6 個月前,5,
Peter Hsiao,6 個月前,4,寧靜的室外桃源
王皓,7 個月前,5,"這是我朋友在這裡拍的照片 這裡超棒的
風景超好 很適合帶寵物或小孩來這邊"
wilGen lUis vLoG,10 個月前,5,好的
陳建憲,10 個月前,5,
陳俊良,11 個月前,3,
Liu TomTom,11 個月前,5,
DiGo Cho,11 個月前,4,
李萬春,11 個月前,4,乾淨
WONDER LIN,11 個月前,5,
童澍恩,1 年前,4,
馬莉娜,1 年前,4,
TSAI QUEENA,1 年前,1,不好停車，高鐵經過的聲音嚇到小朋友了！
Timothy,1 年前,3,位於南崁區某高鐵橋下的一座小公園，算是空間利用的小地方，對親子不是非常友善（小小朋友及爸媽須爬一段長坡道才能抵達溜滑梯跟小木馬區，沒有廁所及洗手台。溜滑梯後方有一小區石頭區域。再往上走約五分鐘的木階梯可以抵達觀看高鐵的草地斜坡（可以清楚地觀看高鐵出隧道以及遠方奔馳而來的高鐵全貌。但旁邊就是接著墓地⋯⋯如果有忌諱的人就別來了。看高鐵的區域沒有遮蔽物，如果是好天氣及夏天來記得防曬用具。公園入口附近有一些汽車及機車停車格，但為數不多。如果是為了看高鐵可以來，但是為了公園溜滑梯大可去附近的台茂公園。
Mars Yu,1 年前,5,設備不錯，可惜沒廁所
Ted CHEN,1 年前,5,適合帶小孩子放電的小公園，爬樓梯、溜滑梯、看高鐵，基本上高鐵橋下綠化與休閒設施，冬天賞櫻的好地方，溜滑梯和地墊剛完成整修，安全性大增。
b0977005165@gmail.com雁雁,1 年前,5,
Jeff Lin,1 年前,3,健走運動的地方
tony shih,1 年前,2,小黑蚊多，皮膚敏感的小朋友不宜！
戴良,1 年前,4,清淨
林哲偉,1 年前,3,有待整理
畇澔walker,1 年前,3,目前溜滑梯在維護中無法使用喔！
照片記錄美麗旅程,1 年前,5,
梁信盈,1 年前,5,
育進林,1 年前,4,
蔡振瑋,1 年前,5,溜小孩 孩不錯 還可以看到高鐵🚄經過 …
蔡良政,1 年前,4,
陳阜忠,1 年前,4,優閒散步的好地方
姜金棋,1 年前,4,沒有變更
一一,1 年前,5,
柯佳瑤,1 年前,3,
gnaF uyhihs,1 年前,4,桃園看高鐵通過的最佳景點
Yuan Hung Lin,1 年前,5,新開發的小公園，可以就近看到高鐵呼嘯而過，也有不錯的遊樂設施，不過入口的坡道陡，不知是否有防滑措施。
Morgan Wu,1 年前,4,
徐進福,1 年前,5,
劉翰霖,1 年前,4,靠近家，散步的好地方
馬莉蘭,1 年前,4,
Shih-wei Hsu,1 年前,5,小而美的公園，有長長的水管溜滑梯，還可以看高鐵哦
陳弘照,1 年前,2,這裡不錯散步 。
黃素如,1 年前,5,棒
楊素華,1 年前,5,蠻安全的溜滑梯、很棒的觀景平台。
李玖融,1 年前,5,
宋銘峯,1 年前,3,
林夆柏,1 年前,3,
C.C. Kuo,1 年前,4,"據說此處是全台可最近觀看高鐵的位置,特地開車帶了兒子孫子前來看高鐵,果然孫子最想看的三樣東西全有：高鐵列車  鐵軌  隧道。且列車就在正前方轟隆駛過震憾力够大,孫子樂的大叫,高鐵橋下還有兒童遊戲設施,是一處老少咸宜之休閒空間。"
Joshua Tei,1 年前,5,"爬一段小樓梯可以到高點上捕捉高鐵的往來。有椅子可以坐著欣賞，只是觀景台前方有棵小樹擋著，實在有點礙眼。也可以拍到高鐵從山洞出來的照片，但需走到旁邊草地鐵絲網那側，建議穿包鞋跟長褲，不然會有小蟲爬到你身上的可能。
後面有碉堡遺跡，再後面會看到私人墳墓，不要再走過去。
公園中段有兒童溜滑梯等。"
吳室橫,1 年前,5,
蔡華智,1 年前,5,
ANN LIN,1 年前,5,舒適自在
Darren,2 年前,3,
Jasper Chen He,2 年前,4,沒廁所，沒洗手台
