name,setTime,star,content
陳明仁,1 天前,5,
王珮螢,2 週前,5,
潘宣名,1 個月前,5,
李秀敏,2 個月前,4,"聽林老師講古
講七字言
很有趣"
憲哥,3 個月前,3,
沈英才,3 個月前,4,
劉柏宏,3 個月前,5,
Ching Hao Hsu,4 個月前,5,雖然沒什麼人 但就是可以輕鬆走一圈 看看風景 不過地形關係樹木不多 要下午晚點去比較不會那麼熱喔！
王琇怡,4 個月前,4,"隱藏版景點
小小月世界"
謝士煌,4 個月前,4,"這位於台南龍崎區的自然水土保留園區。湖中外圍有惡地地質，長年都有著美麗夢幻的倒影，非常漂亮。
由台南市到甲仙或去寶來溫泉或走南橫或去錫安山時，走台20千萬不要錯過這自然美景喔～
入口處有一隻牛地標往下走即可到達。在停車處的洗手間旁有間很像草屋的房子，哪裡有位草地博士-林仙化老師主講四句聯。非常有特色及生動。如有時間多個半小時可以聽他說說四句聯絕對不虛此行。假日聽講時間場次多，費用完全免費喔～
來此建議總停留時間要1.5小時，6-9月很熱的天氣不建議來此，尤其有帶小朋友的。不然就是停留短些，上上廁所，聽場四句聯，這樣的安排也是可以。"
李小慧媽,4 個月前,5,
TsungTa Li,5 個月前,5,
22 Soul,5 個月前,5,水中涼亭！經典！
E Lin,5 個月前,4,"Cp值滿高的步道，很快就可以走完，風景還不錯，水中涼亭的設計超酷的
小黑蚊比較多，建議春秋天來"
Mark Lai,5 個月前,5,
王俊清,5 個月前,4,
Jones Huang,6 個月前,5,多點原生種植物的生態營造會更好
Kelly Wang,6 個月前,4,
Brook Li,6 個月前,5,"位於牛埔泥岩水土保持教學園區內，從入口處循步道一路是下坡，但坡度緩整體好走，可一路走至優美的牛埔夢幻湖畔，周遭環繞著灰濛濛的惡地泥山，恍若外星異世界，景致相當獨特。

湖邊有座低於湖面的水中涼亭，設計極具巧思，坐在涼亭中以與湖面齊高的角度欣賞夢幻湖，又是另一種全新的視角體驗。

牛埔泥岩水土保持教學園區能飽覽獨特的惡地泥岩地形，園區步道規劃完善，慢慢走逛遊賞完整一圈約40-60分鐘。而且不用門票，也好停車，值得來走走、認識台灣不一樣的風貌。"
Pei Yi,7 個月前,5,
鄭博宇,7 個月前,5,我在這裡巧遇大學學長跟他老婆🤩 …
施文仁,7 個月前,5,很特別的湖。涼亭很棒。
Hu Daniel,7 個月前,5,風景優美，很適合攜家大小出遊。大推
李碧雲,7 個月前,4,
moyan Hou (Eric),7 個月前,5,很棒的地方
蔣小川,7 個月前,4,寧靜美景
Andy Andy,8 個月前,5,：）
曾貴月,8 個月前,5,
緯,8 個月前,2,"沒有夢幻的感覺所以自己加了夢幻進去…
有停車場，平日蠻冷清的，雜草叢生。"
chihming lin,9 個月前,5,湖光山色. 非常寧靜.真的很美.
郭志輝,9 個月前,4,
Luka Don,9 個月前,4,尚可
james shih,9 個月前,4,景色還不錯，利用取景視角，可以拍出很美的照片。
林憶欣,10 個月前,5,"清閒的好去處。
風景美，空氣佳，還可以認識水土保持方法。
人不多，走走看看也不太熱。
涼亭有特色，值得來走走。"
西狼孤逃,10 個月前,5,很漂亮
小慧慧,11 個月前,5,"一個不大.但很清幽的景點
步道樹木林立.曬不到太陽
整體環境算乾淨.且景致優美
矗立在湖裡的涼亭.不僅美觀且有排水功能
相當的特殊.有來月世界賞景的
可安排前來看看走走"
羅明志,11 個月前,3,
郭秉宜,11 個月前,5,幽靜的景點
葉忠田,11 個月前,1,
