name,setTime,star,content
吳小鈴,9 小時前,5,這邊有很多美麗的天人菊，跟牛心山一起拍超美，還有一個石滬，旁邊也有一個觀海涼亭可以稍作休息
鄭順銘,5 天前,4,
蘇文妮,2 週前,5,
俊強黃,1 個月前,5,不錯的地方
jesse lu,1 個月前,3,
李素華,1 個月前,5,記得看石滬
abopa lin,2 個月前,5,
歐福吉,2 個月前,5,
Louis,3 個月前,2,完全是個取景跟角度美化出來的場景，拍攝角度對了，會覺得很寬廣，某些角度甚至有電影裡美國西部荒野礁石感，實際看起來其實沒這麼寬廣；單純來解鎖踩點
呂忠諺,4 個月前,3,
Rand Tsai,4 個月前,5,"非常有趣的地形，
突然凸起的地方，上方還有柱狀玄武岩。
非常適合拍照留念。"
辰泰鋁窗,6 個月前,4,
羅國銘,9 個月前,5,
Aiya Gz,10 個月前,5,滿普通的 行程上的時間很充裕再來
薛婷方,10 個月前,5,很漂亮
kevin chen,10 個月前,3,
林鑫緣,10 個月前,5,海邊優閒，凈化心靈好去處.
偉章丁,10 個月前,4,
許元達,11 個月前,4,造型很特殊
Rose CHU,11 個月前,4,如果順路的話可以去拍一下 大約停留五分鐘搞定。如果不順路就不用特地安排了，蠻空虛的。
SVL ES (SVL),11 個月前,5,奇石+縣花天人菊的絕妙搭配
蕭美莉,11 個月前,5,8月底來，可能時間點對了，天人菊開得很多很美。穿白色衣褲的話，要小心別碰到，會染色。四周毫無遮蔽物，很好拍但也很曬。
chì hiông Gô͘,1 年前,5,水喔
WESLY Chen,1 年前,1,我朋友被蜈蚣咬了
jan chan,1 年前,4,可以借位拍網紅照片
蘇又暉,1 年前,5,石滬生態
李麥克,1 年前,5,
林錦鳳,1 年前,5,
游高驊,1 年前,5,景觀奇特 旁邊有一個美麗的石滬 參考完潮汐表之後可以順便安排行程造訪
Sophia樂食趣,1 年前,4,很美的地方，雖然偏遠，但經過可以繞過去看看
高曉雯（KK）,1 年前,3,開發中景點，有涼亭，有石滬
詹志松,1 年前,4,
Iris Huang,1 年前,4,"覺得蠻美的 但沒有滿滿的天人菊
蹲低還是可以拍的出來一些
牛心山有國外風景的感覺
在旺季的夏天
也沒有人潮
海邊也很美 如果在附近可以順遊"
陳輝仔,1 年前,5,
薪水小偷,1 年前,5,觀光客超少超爽
陳去骨,1 年前,4,
ShuYi Hung,1 年前,5,"很棒的地方，氣勢雄偉壯闊，遠方有石滬，退潮時可以走在石滬上，欣賞石滬的生態。
周圍有些天人菊，但數量並不如預期，如果有刻意栽植，一定會變成超多人的網美點，所以目前這樣很棒。
有小涼亭可供停車遮蔽，有當地漁人在這裡閒話家常，感覺愜意。"
陳東明,1 年前,4,
洪Crystal,1 年前,5,摩托車好停，人少，一邊可以看到節理柱狀玄武岩地質狀態的牛心山，另一面接海，一片一片的岩石跟一顆一顆的岩石感覺真的很奇特……推薦走一趟
吳小綠,1 年前,4,"挑選天人菊盛開時可以拍到花海美照
旁邊還有超美沙灘可以散步
此處即使是觀光旺季人潮也不多
適合想遠離人潮的人"
Wendy Chao,1 年前,4,好快停！
卓天仁,1 年前,5,牛心山外的石心
Andrew Huang,1 年前,5,人不多的景點  氣勢不錯
許新旺,1 年前,5,週邊有很大的停車空間!海灘是珊瑚礁石。
Chou球,1 年前,4,"空曠的空地上一座隆起的山丘，
附近其實天人菊也不多，
要湊到一叢花叢前面才能拍出好看的照片。"
