name,setTime,star,content
Chris Benoit,1 週前,5,
Chi Chi,3 週前,2,沒有好好維護可惜了
Min Chen,2 個月前,5,
Kenny Tsai,2 個月前,3,
Ka Iong Phoann,3 個月前,3,
常先志,4 個月前,3,步道維修很久沒開放 最上層野狗盤踞
Jacky Wu,4 個月前,3,
朝政黄,4 個月前,5,
唐如誠,5 個月前,3,
Eddie Chan,5 個月前,2,原本是可以擁有無敵河景的公園，但因為景觀平台沒有維護、廢棄，浪費了一個好的拍照地點，可惜了。
最誠實評論,6 個月前,2,"希望可以在建設一些設施
景觀台也封起來
不知道這個地方有什麼意義
不然環境真的很乾淨"
shih chen,6 個月前,5,風景宜人
Howard Chiang,7 個月前,4,有點可惜的是觀景台上不去，不然看出去的景色應該很漂亮
黃瑩德,8 個月前,1,"空中步道失修封閉,上坡均為樓梯無扶手,怕潮雨打滑,旁有墓地,"
梁山伯,8 個月前,5,"自從看了YOUTUBER 山野人生之後馬上就注意到了位於這邊山頭的西子頭山！！
在往上騎一點就會發現登山口
西子頭山海拔74公尺 三等三角點982號
非常適合探險 有勇氣的人可以去挑戰一下～
但是要保持著莊嚴的心喔！！
這次順利登頂真的是太開心了😁"
王俊傑,8 個月前,5,"路再往上面一點點騎
就是西子頭山了
海拔74公尺 三等三角點982號
此地是一個很適合登山探險的地點
看了YouTube頻道「山野人生」的描述
我也去登頂了一趟😎 視野風景真不錯
如果想遠離人群一個人靜一靜很適合👍🏻
感謝YouTube頻道「山野人生」分享！！"
張哲榮,9 個月前,2,
Choo Chi Yen,11 個月前,1,景觀台已關閉
俊雄葉,1 年前,5,乾淨，環境好，停車方便～空氣好
鍾東喜,1 年前,2,
葉俊雄,1 年前,2,目前缺乏管理，景觀天橋目前封閉中，雜草叢生，連椅子都髒死了，不建議目前去～
林達立,1 年前,2,"是一直爬樓梯的公園。
有一個天空走廊，可以看見淡水河、基隆河交匯的美景，適合愛爬山看美景的人。
但是天空走廊樓梯兩側入口都封閉，景觀公園不景觀了。
孝義路在進去就是五股區公墓連通到八里，還是從五股端進出比較不會心裡不舒服。"
周宜德,1 年前,2,墳山
汪建池,1 年前,5,
Ed Lee,1 年前,5,
LI Tsai,1 年前,4,舒緩身心的好地方 全家都適合來走一趟
洪仰禹,1 年前,4,地方太小
Binson Shea,1 年前,3,
趙億超,1 年前,1,竟然沒有修好，白來.....地方不大.....
吳淑嬌,1 年前,5,重新整修中
劉洛維,1 年前,3,
盧郁文,1 年前,4,散步放空的地方
為善最樂,1 年前,5,美拍
Anson Lee,2 年前,3,
張成傳,2 年前,4,
Bright Su,2 年前,4,
阿峰,2 年前,3,
恐龍桑,2 年前,3,
蘇信吉,2 年前,4,
Edison Yeh,2 年前,4,很棒
洪邦定,2 年前,3,主要的觀景臺上下兩邊的出入口都封閉了，應該是年久失修的緣故，但周邊的環境卻還是整理得乾乾淨淨的，這觀景公園依山而建，是故年幼愛跑動的孩子不適合來，因爲有太多地方不設欄杆，一不小心可能掉落幾米深度，而且這地方周圍也算是墓區，很多人是忌諱到這類地方休閒觀景的，如果路過這裡，可以登上高處看看山水之景，但小孩要看好，以免發生跌落事故。
wen ching Hou,2 年前,1,天空步道每個入口都封起來，沒有開放，白跑一趟。
YouTube RayTV,2 年前,5,"位於五股成泰路三段與四段交界
從安全帽店旁邊巷子進入即可
然後就會看到一座籃球場
經過籃球場順著路往上走大約5分鐘
就會看到右邊有一個公立托老中心
本來以為這邊就是，呵呵
實際上
左邊斜對面就可以看到獅子頭景觀公園
底下大約可以停五台汽車
順著階梯往上走，大約有三層左右
最上面有個高空玻璃步道
可惜步道目前沒開放
好像是因為損壞沒有修理
蠻可惜的，如果有開放的話
景觀會更加漂亮

期待下次來的時候，維修已經完成
再來跟大家分享五股美麗的城市風貌"
林培德,2 年前,3,
呂書賢,2 年前,3,感覺年久失修了，天空步道的木棧道，有些地段腐壞，兩側步道的玻璃帷幕破裂，所以不能再上去觀看關渡方向的景色，可惜
陳力仁,2 年前,4,蠻適合踏青的地方，沒必要來很久但很適合下車休息下的地方
林修明,2 年前,2,不好沒停車位
泉松團體服,2 年前,4,獅子頭景觀公園是非常高大上的觀景高台，視野極佳，淡水河江面廣闊，可惜少人知道，就像關渡大橋北岸及南岸的觀景塔，平時幾乎都沒人，荒廢非常可惜。
查爾斯,2 年前,3,獅子頭景觀公園是個觀看八里河岸風景的好地點，可惜環境缺乏維護，連興建中的觀景台也尚未完成。對了，山上旁邊就是台灣傳統的公墓區，假如有忌諱的人要注意喔！
孫立,2 年前,1,爛
陳麥克,2 年前,1,不好，有壞事沒有人傳真
卓家威,2 年前,2,
釋賢子,2 年前,5,
楊鎮宇,2 年前,1,沒有夜燈，沒有開放，沒有人
林子茗,2 年前,1,設施老舊沒維修
米紗,2 年前,3,空中步道沒有維修，非常可惜
李佳儒 Thera,2 年前,3,"景觀蠻好但只可惜並無人養護
高架觀景台走道已經封閉
公園內沒停車場遭附近居民佔用"
洪梓祐,2 年前,2,
潘飛力,2 年前,1,已經荒廢 可惜
琍姆露,2 年前,5,
林瑞隆,2 年前,1,每次來到這裡停車位都固定是那幾部車停在那無法停車只好作罷直接開走，從未上去過
小原兒,2 年前,1,這裡是政府亂花錢的寫照，中間拿多少回扣自己說😡👎👎👎 …
林家成,3 年前,3,環境設施可，唯一的天空景觀步道目前是關閉禁止進入中。
洪欽銘,3 年前,5,
林鴻藝,3 年前,5,好玩
Kevinkao Kao,3 年前,4,
陳彥志,3 年前,4,在地人觀景的場所，週邊墳墓多
bird Big,3 年前,3,
陳蘋果,3 年前,4,
ChienFeng Su,3 年前,3,公園範圍不大，可短暫停留
