name,setTime,star,content
林怡萱,1 個月前,5,
CC 洪 (機車洪),1 個月前,5,很棒的一個輕鬆景點！值得大家來走走！
Jiun-Kuei Jung,1 個月前,5,
Steven Huang,2 個月前,5,還可以走到海邊喔
陳世傑,2 個月前,5,
Cherry Chen,2 個月前,5,公園步道總長不到1公里，坡度平緩很好走，沿途可以觀看海岸線的美景。
AB LiN,2 個月前,5,
Sunny Shiao,3 個月前,5,"*** 四月時經過, 發現改建的廁所 已有新面貌, 應該會更乾淨, 好使用.  附上幾張圖.

今天跟老公去爬 獅頭山公園步道.  這裡是 金山很有名的 登山步道. 風景好, 路徑好走, 有廁所, 也算好停車.
同樣的 路口就有地圖, 拍下來就對了.  沿著步道走, 很快就會到 介字亭, 這裡就有廁所, 可以洗臉洗手, 清涼一下.   過了這裡,  再往前走一下, 就有無敵絕佳的視野 可以俯瞰 整個 磺港漁港, 非常美.   再往前走一下, 就看到 涼亭跟燭台雙峙, 目的地就快到了.
當然 到了這裡 一定要到 地標 給它好好拍照一下. 今天不打算下去海邊, 所以拍完照後, 就選擇往回走了.  看著美麗的海邊, 漂亮的漁港, 忍不住又多拍了 幾張.  回程途中, 順手也往野柳的方向拍了一張照."
張芳誌,4 個月前,5,
Derek T.Y. Wu,4 個月前,4,
adam lee,4 個月前,5,
林丸子,4 個月前,5,很好走的步道❤️
邱惠芳,4 個月前,5,
李好命,4 個月前,5,很棒的步道，環狀線不重複，有爬山、有走海岸，汽車停車免費，風景特殊，執得一遊。👍 …
呂建國,4 個月前,5,
郭志仁,5 個月前,4,獅頭山公園鄰近金山老街，沿著幽靜的步道前進，爬到制高點可眺望燭台雙嶼
Pearl Huang,5 個月前,5,我去過的最好的小徑之一！近距離帶你領略絕美海景！！真正隱藏的寶石！
范琇茹Mascot Fan,6 個月前,4,"金山吃完大碗粥後，來這走一走很舒服呦
聽聽海浪拍打的聲音
很舒服
道路有一些上坡外，很好走
散步吸收芬多精遠離塵囂放空一下"
Vicky Chen,6 個月前,5,"2023/02
平緩好走又有停車場方便停車，老少咸宜，不過如果要去水尾漁港的話建議反向而行，不然都是下坡"
蘇天樂,6 個月前,5,
Uu,7 個月前,5,輕鬆的步道，眺望燭臺雙嶼，需注意部分道路溼滑。
依娜,7 個月前,5,很親民適合鉻年齡層的到此散步，步道盡頭有海景，沿途會有下切到步道可通到漁港或海邊，有石椅可休息，及兩個流動廁所，走完還可到老街去吃美食泡湯。
林碩哲（Joseph Lin）,8 個月前,3,
陳炎能,8 個月前,5,"（在退潮時分，這裡有一條海岸秘境步道）

「獅頭山公園步道」不是「獅頭山登山步道」，使用谷歌搜尋「獅頭山公園步道」，它會導航到民生路巷號208，路經員潭溪景觀橋、水尾漁港與水尾漁港安檢所，抵達漁港的末端，這裡有一個直上的木棧道，可以從這裡向上走到底，然後，向右轉，先經過公廁，接著就會抵達「中正亭」、觀景亭，然後從觀景亭旁邊小徑陡下，可以一直下到海邊，這裡是最靠近「燭台雙嶼」的地方，另外，這裡有超多的奇岩怪石與懸崖峭壁，還可以遠眺基隆嶼與野柳，真是拍照的天堂（不過，請注意自身安全）。
若是退潮時分，可以再繼續往海邊走去，我們選擇右轉，這邊有兩處秘境，「水怪岩」與「一線天岩洞」，而且，沿途怪石嶙峋美不勝收，對於愛拍照的人，可是很燒手機的記憶體喔！
最後，可以完成環狀旅行，回到「獅頭山公園步道」的入口處。
（我們是倒過來走的，在退潮時，我們先繞一線天、水怪岩……。）"
徐偉清,8 個月前,4,
HUNG YI LEE,11 個月前,4,
Rita Chen,11 個月前,5,
李小紅,11 個月前,5,平緩好走的步道，風景很美，可以清楚看見燭台雙嶼 👍 …
Hoo Ricardo,11 個月前,5,健行的好地方，可看到燭臺雙嶼，風景優美
サ.ファンリ（Ming）,1 年前,5,海景美~讓心情愉快放鬆的地方
chen lihtern,1 年前,4,適合全家一起去的地方。
Chy C,1 年前,5,"舒服明朗的公園，
不過岸邊可能要注意漲潮時會有點危險(?)"
Robert lin,1 年前,5,很漂亮的地方，還不用門票。附近停車也方便。
吳tina,1 年前,5,景色很美，區域不大，進入岩石區要小心，有人滑倒受傷哦。
Truman Sun,1 年前,3,雜草很長，阻礙步道通行
黃源池,1 年前,3,
陳則瑋,1 年前,5,
Wu Joe,1 年前,5,
ann teng,1 年前,5,水浘漁港～神秘海灘
周慶祥,1 年前,5,
陳建華,1 年前,5,海風好香！古蹟小徑！鳥語花香。
阮如軒,1 年前,5,
Shih Richard,1 年前,4,
卓德力,1 年前,4,"金山相當有歷史的公園,燭台雙嶼更是台灣有名的勝景之一,生態豐富,設施完善,停車方便,海岸奇岩異石,景色極為幽美。。大推"
甄立民,1 年前,5,
張富淵,1 年前,4,整體走起來平整，沒什麼階梯，風景在最後磯岩區特別美，但往磯岩區的小路雜草叢生，有點危險。
曾崧庭,1 年前,4,"乾淨好走的步道,沿途設有多處涼亭,路旁有多處小徑可進入,適合全家大小到此健行,免門票喔😂 …"
王顥羢,1 年前,5,能夠俯視漁港的風景
姜仁佳,1 年前,5,
Michael Kao,1 年前,5,一個小公園，您可以與孩子和家人一起參觀，欣賞迷人的景色。
吳翰昌,1 年前,4,
BC A,1 年前,5,風景秀麗
davie wu,1 年前,5,
Echo Ku,1 年前,4,"稍微溼滑，
偶爾需要用手攀爬，
不要穿太難走的鞋子會開心很多❤️"
chen martin,1 年前,4,"2022.02.28,天氣晴。
公園步道不高,登頂後可遠眺基隆嶼,適合老少漫步。"
羅濟豪,1 年前,5,好爬適合全家人
ratt su,1 年前,4,
Luke,1 年前,5,朝聖 Hello Kitty 石
only way,1 年前,5,享受
黃翔,1 年前,4,
蔡大緯,1 年前,5,跟南庄獅頭山比起來簡單多了，坡度不大，不需要花太多時間跟力氣就可以欣賞美景。另外還可以跟充滿奇岩怪石特殊地形地貌的海濱步道形成一個環狀路線行程連結水尾漁港，再加上免門票，可以說是相當值得推薦的親子健行景點。
陳美玲,1 年前,5,
于小民,1 年前,4,步道規劃完整，環境整潔乾淨空氣新鮮，適全年齡休閒活動的優質公園。
hc,1 年前,5,平緩好走，可抵達燭台雙嶼觀景區。
Chang Tony,1 年前,5,
葉靜怡,1 年前,5,很美又好走，適合全家、親子，很快就攻頂了，可以將燭台雙嶼、神秘海岸美景盡收眼底
曹育豪,1 年前,5,景色優美，步道也不會難走，適合約會
Karl Wilson (Karl),1 年前,5,沿岸步道避開漲潮去的，建議避開夏天，太陽很大，有一線天、神秘海岸、遠眺燭臺雙嶼等風景，從水尾漁港起步可以走O型回到起點，路程約一小時。
古Joe,1 年前,4,適合健行且乾凈的步道
楊博因,1 年前,5,海邊步道很漂亮
