name,setTime,star,content
苗氷語（冰語）,11 個月前,5,
夷家,1 年前,5,視野開闊👍 …
林宇桐,1 年前,5,View很棒❤️
狐狸糊塗,1 年前,4,
Tiffany Zheng,1 年前,1,施工中
Chen Jo,2 年前,4,雖說小小⛰️，但確是大視野，唯獨電塔臨近，台電公司有設立警示牌，但如此超高壓線路貼近有頗大的壓力！
YC L,2 年前,4,視野開闊
Thomas Ko,3 年前,4,適合健行、登山
CHEN ERIC,3 年前,5,視野很好…可惜山頂有大電塔有壓迫感
Curtis Ke,4 年前,5,視野遼闊，能見度好的話可看到101。算是一個祕境，知道的人不多。夏季可拍銀河
CHING HUA FAN,4 年前,4,地點不錯，人少，視野極佳。很適合來這邊看日出或是拍照。車子可以直接開上來，再爬上階梯即可到達。旁邊還有茶園，適合路過閒晃與拍照。
陳松惠,4 年前,5,
Michael C (MIC),4 年前,4,位於106乙跟台9之間，稍偏僻，風景還不錯
光之劍,4 年前,4,很好的日出攝點，人不多
Antony Ren,4 年前,5,
chen chin,5 年前,5,
ㄚ鴻遊趣,5 年前,5,不錯的山景
賴鈺婷,5 年前,3,上山看風景，前提天氣好，風景亭木頭有些腐爛未定期整理維護
沈筱柔,5 年前,5,拍照的好地方
王彥文,6 年前,3,觀景台旁有高壓電搭可惜，無法久待。
vic wang,7 年前,5,
玉印簡,8 年前,4,
黃有志,9 年前,5,
