name,setTime,star,content
Cathy Liu,5 天前,5,
何玉堂,1 週前,4,
Amanda Hu,3 週前,5,
洪小紋,1 個月前,4,
Yan Johnny,1 個月前,5,
梁士明,2 個月前,4,一定不會錯過的拍照熱點
鄭秉軒,2 個月前,5,震撼的景緻
Yoko日常,3 個月前,5,"玉山大峭壁

拍照的好景點

其實離排雲已經不遠了

玉山第一天到排雲其實不累

第二天才會比較硬🤣

地層隆起的砂岩和板岩層

高山原本都在海底

原來我們愛的一直都是同樣的東西

都是喜歡發現對自己來說的新事物

難怪上山又下海

每次都期待不一樣的新發現

#台灣 #南投縣 #信義鄉  #旅行 #爬山 #yoko日常 #yoko揪旅行  #台湾 #景點 #travel #tour #爬山 #登山 #玉山 #玉山大峭壁"
愛上自由行的Ryan,3 個月前,5,
楊錦芳,3 個月前,4,
吳佳琪,3 個月前,5,
劉冠廷,3 個月前,5,
Chiata Lai,4 個月前,5,
洪國喨,4 個月前,5,
陳政祐,4 個月前,5,
廖宜常,4 個月前,5,距排雲山莊約1.8公里處，其構成的岩層為板岩夾變質砂岩，大峭壁上尚滯留海生物化石及波紋狀痕跡，即是台灣經歐亞大陸板塊及菲律賓板塊互相擠壓自海中隆起最好的證明。
賴顯文,4 個月前,5,仙境般的地方
開膛手老達,6 個月前,5,
KC Chao,7 個月前,5,台灣第一高峰 值得來一趟 只可惜排雲餐真是不好吃啊！
Alen Huang,9 個月前,4,美景壯觀
Sean Yang,10 個月前,3,
Sean Ho,10 個月前,5,到達排雲山莊的必經之路，獨特地形必需拍照！
Yu Jack,11 個月前,4,
文晴,1 年前,4,
苗昌盛,1 年前,5,
林士捷,1 年前,5,
彭玉澤（Cupid）,1 年前,5,壯觀
許時銘（tsaobau）,1 年前,4,
喬喬,1 年前,5,很輕鬆，不該吃高山症的藥，一路頭手腳都在麻，搞的好像要中風了
Edison LIN,1 年前,4,
shuhui chen,1 年前,5,"大峭壁是在排雲山莊前的景點(還有孟祿亭及白木林)之一,玉山主峰步道6.7公里，距排雲山莊約1.8公里，構成的岩層為板岩夾變質砂岩，大峭壁上存有海生物化石及波紋狀痕跡，是台灣經歐亞大陸板塊及菲律賓板塊互相擠壓自海中隆起最好的證明．但壯觀的畫面存有落石的危險,可以在前後安全步道讚嘆大自然之美,可別在峭壁多逗留"
蕭于軒,1 年前,5,
劉玉麟,1 年前,4,大眾化路線
Jacky Chen,1 年前,5,
陳妤安,1 年前,5,奇特的峭壁，令人在行走時不知覺得駐足觀賞，拍照留念
Yi Po Lin,1 年前,5,大自然的鬼斧神工
anni,1 年前,5,拍照景點
Tea milk,1 年前,5,
葉晉瑋,1 年前,5,
Tony Kuo,1 年前,3,
Bucks Ten,1 年前,5,到排雲再40分鐘
林芳蘭,1 年前,5,前往東北亞最高峰-玉山，走到這裡表示接近排雲山莊了，可以認識台灣形成的地理環境，宏偉的山壁，令人敬畏！
Tzuchiu Huang,1 年前,4,登山小樂趣.跟同學們比試登山鞋的好壞.或是飛岩走壁的功夫在斜壁上可走越多遠.
吳淑娟,1 年前,5,驚而不險
林育舟,1 年前,4,
Seasons,1 年前,4,通往排雲山莊必經的景點、可以來拍個網美照👍 …
陳俊翔,1 年前,5,
江城,1 年前,5,
邱麗珠,2 年前,5,
金風神,2 年前,4,很高聳入雲，壯觀
吳佳珍,2 年前,5,壯觀的大峭壁
許珮琳,2 年前,5,排雲前的一個休憩點～好拍！很美
wu kun Chung (ANDY CHUNG),2 年前,5,
Extreme Tarantula Co. 極致大蘭多,2 年前,4,
Wayne Snyders,2 年前,4,
Chien Hsi Chen,2 年前,5,
TsungTa Li,2 年前,5,
賴志堅,2 年前,5,很壯觀的大石璧，值得拍照留戀的地方
Vincent Yang,2 年前,5,
Erickson Liu,2 年前,5,"爬上去！（沒，不要真的亂來
也是個拍照點"
Tien-shou Lin,2 年前,4,
陳彥辰,2 年前,5,
Tarvis Yang,2 年前,5,
KEVIN KUO,2 年前,4,大峭壁非常雄偉，目測約有至少三層樓的高度以上，是個照相休息不錯的中途點
Hsienhao Chiu,2 年前,5,
Yu Chi Chen,2 年前,3,造山運動
郭奕杰,2 年前,5,壯麗的大自然景觀
jin,2 年前,5,
黃金瑩,2 年前,4,
Yingjie Guo,2 年前,5,很壯觀~~
