name,setTime,star,content
nobu awata,1 個月前,3,
賣悶架追,2 個月前,3,"一日體驗活動
果然大熱天的，還是躲蚵棚，烤烤蚵仔蛤蜊就好。
玩水玩沙就給小孩子去就好😆"
Nina Lee,3 個月前,5,很棒的體驗，小朋友玩得很開心，老闆人很好，值得推薦!
阿文,4 個月前,5,"雖然沒有挖到很多 可能被前面客人哇了不少
可是整體服務 老闆的應對上很舒服👍
也希望大家可以透過網路分享
推薦此店家"
郭書豪,5 個月前,5,老闆人很好很親切，這是我第二來王功坐，很喜歡這次的挖蛤之旅。也不用人擠人，下次我一定還會選這家，也謝謝老闆拿了一袋蛤蜊給我們。
ChunWei Lin,8 個月前,5,玩到天黑才回家
皮漢文,1 年前,5,全程感覺很舒服，雖然蛤蜊沒挖到多少，但蚵仔吃了不少，小朋友說下週還要再來。
粉紅肉肉成長日記,1 年前,5,"真的很划算！大人才200幼稚園不用錢！
雖然根本挖不到蛤蠣！但小孩玩沙！大人吃牡蠣才是重點！回程時以為老闆會等滿車才把我們載回去！結果一上車老闆就馬上載我們回去！包車的概念！超棒的！除了挖蛤蠣的鏟子有點難挖！不是耙子類的！建議帶小孩去就幫他們帶玩沙的工具！比較不重！小孩比較有興趣！"
李羿函,1 年前,5,"剛退潮的時候應該可以挖到比較多糧食
小朋友看到收穫就很開心了
挖不到不用怕老闆有很多牡蠣可以烤來吃
怕熱的我們四點多去一直玩到老闆下班😆
回燈塔老闆會帶大家到沖水點下車"
Hsiao,1 年前,5,"第一次來王功就遇到好老闆😍
👍🏻體驗挖蛤仔
👍🏻沒人的時候老闆還會幫忙烤鮮蚵
👍🏻蚵仔吃到飽～超肥美！很新鮮 …"
溫書樵,1 年前,5,價格便宜 環紋蛤躺著給你撿
葉筱婷,1 年前,5,
Charlene Chen,1 年前,5,"很推薦這家
老闆人很好，會解答你的疑問
小孩玩得很開心
大人吃得很開心
蚵很好吃，下次來玩還要預約這家~"
許奕洋,1 年前,5,
段前翠,1 年前,5,這是我一次很開心的旅游😄，老闆ㄚ瑋親切認真的解說，提供牡蠣🦪無限吃，還會幫忙我們烤，海邊風大，看到棚子，慶幸它能擋風，又能遮陽。老闆是當地土生土長的孩子，得知我們還有時間，便開著採蚵車載我們去看 小風車，及一大片的蚵田，説著牡蠣🦪的生長史，超級放鬆之旅，才剛離開，就想著計畫下次幾月要再來，而且來的時候，一定要再找ㄚ瑋，老闆實在太貼心了。
zwellin,1 年前,5,老闆人好、蚵鮮甜、小孩玩的開心
