name,setTime,star,content
黃小新,3 週前,5,好玩
謝建基,3 週前,5,
chung tsai yang,1 個月前,5,涼   爽
陳朝成,2 個月前,1,
Reeka H.,2 個月前,4,
BlueS,3 個月前,4,2023年2月28日是「萬金杜鵑」的活動期間，現場有許多花卉、農機、漁具在實體與意象上互相結合的作品。乍聽之下好像是個新奇的歧異發想，實際欣賞展覽所佈置的創作，會發現農產原本就不只局限於糧食，花草樹木都需要種植栽培，尤其是在自然資源缺乏的地區。
Etc 洪,3 個月前,5,"簡易的小公園，滑梯可以全家多人一起滑，河風吹來時很舒服
在洗手台還可以看到螃蟹，還真好玩"
顏國隆,3 個月前,4,
tungyang,3 個月前,5,瑪鋉運動公園位在新北市萬里區，在瑪鋉溪步道旁，這裡有溜滑梯、成人體健設施、洗手台，公園內也有親子友善公廁，瑪鋉溪步道風景非常優美，也很適合散步、跑步和騎自行車，最近幾年2-3月間也會在這裡舉辦萬金杜鵑花展，展區從瑪鋉運動公園，順著瑪鋉溪步道往上，跨過灣潭橋一直延伸至萬里觀光公園，真的非常美麗，值得帶全家大小一起來走走喔！
簡佳峰,4 個月前,5,
陳梵珠,4 個月前,5,
洪振隆,4 個月前,4,"應該說~萬里區居民專用😅.
位在省道另一邊、所以外地人少知.一個乾淨不錯的公園.
無停車位、但車也不多. …"
Elan TSENG,4 個月前,4,
語默然,4 個月前,5,
盧瑞鳳,4 個月前,4,"好山好水卻非常人工的一個生態公園，只有小溪裡的魚兒游的自然，幾乎都是人造的。
附近“亞尼克蛋糕“是唯一的安慰，么壽貴卻么壽好吃。不來嘗鮮可惜。"
楊榮富,5 個月前,3,
吳圳明,5 個月前,4,
jiunlin chen,5 個月前,4,
Otto Lu,5 個月前,3,
王曉英,5 個月前,5,整潔乾淨空氣清新風景優美，
Sheng-Mou Tsai,5 個月前,4,清澈見底的河水 在河邊散步，讓人覺得很舒服😌 …
jenny su,5 個月前,4,"20230313週日
112/2/25~3/19有萬株杜鵑花展示，以移動花聚落為主題，運用10輛農車2艘漁船，邀請設計師花農們以杜鵑花盆栽打造別具巧思的花車與花船，是打卡的好景點。
展區腹地雖然不大，但因位於瑪鋉溪步道且聽說在萬里觀光公園也有六台車，搭配山河美景漫步到觀光公園去，也算休閒好去處，運動公園內有大型溜滑梯、兒童遊具、運動器材，有涼亭、廁所，也適合親子共遊、野餐等...
萬里國小前有美味的米琪淋乳凍蛋糕很適合買來野餐，推薦芋頭乳凍蛋糕$199、原味泡芙$40。

歡迎追蹤IG:lynn._.foodie
#美食評論老實說#小資美食"
Carol T,5 個月前,5,這裡有很長步道散步，風景非常好，現在還有杜鵑花展覽，休閒的好去處
張冠誼,5 個月前,4,
Sunny Shiao,5 個月前,5,"新北市萬里區 的 瑪鋉運動公園 經常有活動.  今年 從 2/25 到 3/19 推出的活動 就是  萬金杜鵑：移動花聚落.

今年的 萬金杜鵑花展以「移動花聚落」為主題，加入象徵在地人耕耘一甲子的農用車、漁用船，打造別具特色的移動杜鵑花車、花船，讓民眾回憶中美好的花聚落  動起來.

這裡 平時就是 大家喜歡來 運動 遊玩的 好地方, 有了 移動花聚落 活動, 勢必 吸引 更多人 來玩. 你來過了嗎?   展期有限, 心動 卻 還沒行動 的朋友, 要 加快 速度囉! 錯過了, 又得等一年."
Apple Lin,5 個月前,5,公園很小，剛好遇上杜鵑花季，很多造景可以拍照
劉建國,5 個月前,5,
