name,setTime,star,content
50J,10 個月前,5,很美，很舒壓
lin lily,10 個月前,5,很美，開車要從玄中路旁邊的小路進去
XU XU,10 個月前,5,
Yaya Mi,10 個月前,5,機車腳踏車走高鐵下的小路進來，可以更近距離看芒草。
oooliveooo,10 個月前,3,
佩佩,10 個月前,5,
Chia Liu,10 個月前,5,拍照練功好地方！
林志哲,10 個月前,3,"初訪.
🌿秋天就來拍拍...甜根子草~~
1.若中路橋要入鏡的話...就得從台39線拍.(約在台39線16公里處...不過是在慢車道拍...要注意安全.)
2.若要到中路橋拍的話...台39線15公里處的紅綠燈(十字路口)處...有小路可以通往.
3.若高鐵要入鏡的話...個人覺得拍往北有車頭的景...比較好看.(可以查一下左營發車的時間...再概抓到拍照地點的時間.)"
張家維,10 個月前,5,
KEN LEE,10 個月前,4,
流浪小孩,10 個月前,4,
Blackal Li,10 個月前,5,可多開一段從高鐵橋下台南段道路行駛至前方便橋，便橋兩端有些許空地可停汽車，機車常見停於便橋上
Andy Yang,10 個月前,5,
曾煒筌,10 個月前,5,
Jolo Chang,10 個月前,4,
水田郭,10 個月前,4,"青年時的回憶
中路二仁溪魚很多
更有些地方傳說，今成拍照景點！！不可思議😆"
Yu,10 個月前,5,10/2早上前往，大概9：20之前不太有人，想拍空景可以早點來，不過有些地方還沒那麼多甜根子草，要稍微找一下角度看起來比較壯觀。
盧宏文,10 個月前,4,
Junch Liu,11 個月前,5,台南、高雄交界高鐵與二仁溪交叉處，九月的秋芒看夕陽的好地方～
Cid Kuo,11 個月前,4,
朱大常,11 個月前,5,
