name,setTime,star,content
紀 羚 Lisa房地產,1 天前,3,
胡維平,2 週前,4,
陳宜君,2 週前,5,"沒有溜滑梯了！！！🥲
但可以看看風景😉"
庫克提姆,3 週前,3,原為日治時代的神社，後來被國民政府改為忠烈祠，但還是看的出神社的遺跡。照片有拍到鳥居，石燈籠，石段，參道，獢犬還有本殿，記得還有個御手洗，可惜已經遺失，應該還有其他的遺跡；之前還有懷舊的遊具及全台最長的磨石子溜滑梯，可惜不符合法規皆已拆除
賴淑華,3 週前,5,
張守都,3 週前,4,"112.8.6 溜滑梯已經拆除
散步 是一個不錯的地方
還可以看市區風景"
herry C,3 週前,2,"整修中，我們已經白袍一趟了。
不知道什麼時候修好。
希望有人能及時分享。"
shih hui chang,1 個月前,4,
黃寶賜,2 個月前,3,
郭茂全,2 個月前,3,
陳忠志,3 個月前,4,
Chih-Wei Chiu,3 個月前,1,
Alice Chang,3 個月前,4,"腹地廣闊的山坡遊憩區，擁有歷史遺跡。真可惜歷經多任地方首長摧毀與濫建，缺乏整體規劃。
比方說老樹被砍伐 整建水泥板步道 栽種新樹苗 林蔭不再 珍貴的歲月遺產被破壞 令人唏噓！我給回憶裡的百果山遊樂園五顆星 管理單位欠我五顆星"
謝英蒼,3 個月前,3,
張晉耀,3 個月前,1,蚊子🦟爆多！不建議來，不管大人、小孩 …
Han-uei Lin,3 個月前,4,
馬楷鈞,5 個月前,4,
林夏芊,5 個月前,4,
Chen Tony,5 個月前,4,
黃炳昌,5 個月前,1,只是一個公園
鄭秀霞,6 個月前,4,
Bomi Ei,6 個月前,5,"散步好地方
沒燈會了"
劉宇皓,6 個月前,5,
李崇益,6 個月前,5,
粘慧娟,6 個月前,4,
謝東燁,7 個月前,4,燈海很美，氣氛很好，沒有擁擠人潮
蕭惠蜜,7 個月前,5,2023員林副燈區
徐培財,7 個月前,5,幸福員林美麗城市
janyi chu,7 個月前,4,彩兔迎春，員林旺兔水!
林誌嘉,8 個月前,5,
施小豬,9 個月前,5,看夜景的好地方！
陳家軍,10 個月前,1,越改越爛，改得比以前差，而且是不會想再來的景點。
吳美鳳,11 個月前,3,運動的好地方
Steven Chiang,11 個月前,2,"多數員林人童年遠足的回憶，前陣子公所與交通部觀光局花了幾千萬重新更新，說真的，改得比以前差，而且是不會想再來的景點。

到處都是水泥混凝土澆灌鋪設的地面，溜滑梯區還鋪設了人造草皮，到處都是未完工開放的設備，說復舊的員林神社牌樓搞得四不像，看了吐血，真的蠻差的。

以前的百果山是地磚與石頭堆砌，是非常自然的自然公園，現在就是一個四流鄉下公園。"
許金龍,11 個月前,5,"適合大家出來走走
好地方"
莊世鈺,1 年前,5,
林瑞德,1 年前,3,不大，爬爬山，樹蔭下步道還不錯，有蚊子要帶防蚊。
江三榮,1 年前,4,2022年百果山元宵節花燈
J White,1 年前,3,比較適合在地人遊憩小所在。如果是外縣市開車，停車就不太方便，附近除了幾家蜜餞商店，幾乎沒店家了，多數人潮都往員林運動公園，就名稱來說已經沒當年盛況。
真卿,1 年前,1,
寒凌,1 年前,2,"基本以前一到假日 百果山就有人潮

自從攤販消失後 人真的只剩一些

基本以前到的都是大人帶孩子去玩遊樂設施 旁邊攤販也是有一定吸引力
只能說是相輔相成

真心希望攤販能再次回來"
JohnsonShih,1 年前,3,不錯散步遛狗好地方，注意注意，小黑蚊特別多，防蚊要自己做好，不然根本沒辦法玩
張振坤,1 年前,5,
漢默丁格,1 年前,5,適合散步的好地方
莫黎兒,1 年前,5,
T Ian,1 年前,5,不錯的休憩地方，有整修過，但感覺沒什麼人。
林耀南,1 年前,3,已清淡了，難得的安靜。
江俊亮太平洋房屋0982-111562,1 年前,4,運動休閒漫遊森呼吸拍照打卡的好所在/免門票大小小孩皆適合踏青的最佳選擇。
曹肇珅,1 年前,4,可以去上面拜拜看看風景
四扣,1 年前,3,普普通通 很熱
張銀富,1 年前,3,休閒好景點
賴君豪,1 年前,5,很美麗，適合拍照打卡，也很適合帶小朋友出遊
daching888,1 年前,5,
柯孟偉,1 年前,4,雖然重新整理過旁邊也有停車場好停車但是假日內部少了攤販感覺沒有甚麼可以逛的，還有許多地方沒有重新整修，新的遊樂器材也沒有開放。
minjen chan,1 年前,5,讚
吳柏山,1 年前,3,
松懋詹仁吉,1 年前,5,
黃相凱,1 年前,5,近員林市區看夜景的好地方👌 …
灰沁,1 年前,5,百果山遊憩區面積還蠻大的 旁邊有兒童設施  上面也有風景區 最上面還有一間廟 風景可以看得更遠
wu Lu,1 年前,3,
陳君,1 年前,4,兒童的溜滑梯安檢還沒過
QING JIN (說的簡單),1 年前,3,
黃思博,1 年前,4,"2022/04/05
悠閒的午後時光
改裝後的百果山公園
採用開放型的空間及視野
對比以前老舊氣息
空間的明亮度提升很多
也少了之前那些攤販的吵雜氣息
天空很容易跟公園連成一線
大自然的感覺真好
但公園的環境，沒有做到比較好的維護
也缺乏垃圾桶的放置

如果有朋友來到這邊遊玩，也請各位協助維護環境，將自己帶來的垃圾帶走，留給這裡美好的環境。

2022年員林市燈會展區
1/30-2/15
每晚5：00-10：00 可來參觀
此地方也是重新修繕後
再次開放的大型戶外空間"
郭昭岐,1 年前,1,"目前遊戲區因疫情變化幾乎都封起來,不能玩了~"
藍楓,1 年前,1,整修後，冷清很多
Fiona Han,1 年前,4,有兩個很長的溜滑梯，還有一個斜坡 ，可以在變滑草，旁邊有公園遊樂設施！
陳靜儀,1 年前,3,
楊韡群,1 年前,5,
Shok Lin,1 年前,5,好玩 有點熱
劉宏宏,1 年前,5,小孩放電的好地方
