name,setTime,star,content
DIVAC,4 天前,5,平日沒什麼人
Ansan An,5 天前,5,
徐貴輝,1 週前,4,
林冬青,1 週前,4,
Hein Chuang,2 週前,4,
王騰,3 週前,4,
Jason Yu,4 週前,5,廁所乾淨舒適。
簡運雄,1 個月前,5,夏季來海邊開車或騎行，可以來此休息一下，看看海景，喝喝咖啡
ch,1 個月前,4,
楊老吉,1 個月前,3,
家華游,1 個月前,4,
dw jum,1 個月前,4,雙週二休息喲~
c j,1 個月前,4,龜山島龜形完整
余忻慶,2 個月前,4,
秦添煌,2 個月前,3,很休閒的地方，坐著看海，喝上咖啡
Ariel,2 個月前,4,
Sophia Zhang,2 個月前,5,緊鄰公路邊，一個小巧靜謐、適合捕捉烏龜身影的好地方。從這裡拍龜山島相當清晰可愛喔！
嗨呀慶,2 個月前,4,"#石城散策

依稀記得開始學習衝🌊的一段時間之後，幾乎看見好浪就想划水追浪下浪，當追幾道體力幾乎都耗盡。也不一定都能追上浪頭…..
～ ～ ～
而後聽著海上local people，
不要急於每道浪都急於下浪
有的時候需要等待·觀察🌊
·選擇下浪向左．向前·向右跑？
認識的前輩們分享的很多海象．當地海域的地型·暗流·礁石．風向…非常多的經驗·衝浪的禮節·海洋知識。
最特別的莫過於
對於人生的哲理與看法！

…

年輕時候只想征服一道大🌊

中年時候反而學會敬畏大海

大叔曾經在低氣壓來臨的時候

一人在雙獅下水後被裂流拉出

在海上漂浮好幾小時才慢慢

緊抓著浪板順流划回岸邊..

多年以後回想仍然膽顫心驚

😱😱😱😱😱⋯⋯

#離岸流
#紀實
#草嶺古道
#石城漁港
#龜山島
#基隆嶼
#敬畏大海"
劉阿傑,2 個月前,5,
郭明煌,2 個月前,4,"石城服務區有停車位和洗手間可以提供遊客休息方便,也有一間咖啡廳,只要低消150元,就可以舒適的邊吃邊喝賞海景.由於舊草嶺隧道南口沒有停車場,可以車停這裡再徒步約5~7分鐘可以到達舊草嶺隧道南口."
Vaster (光點嚮導•等級12),2 個月前,4,1120521我不知道這裏有什麼服務區，現在已看不到所謂的服務區，有的是一間海景咖啡Seaview Coffee以及「台灣好行」公車站牌，不過無妨，我們要騎環狀自行車道，這裏只是起點經過的地方，我們在此看海然後繼續前行。
Vv Huang,2 個月前,4,
Yu Ted,2 個月前,4,"位在宜蘭北邊，快要到其他縣市了。

有地方停車、可以上洗手間、也能看海聽浪聲，不是很多設施，但是一個可以喘口氣的地方。"
MAY Tu,3 個月前,5,少少的停車位，可以短暫休息看看海，有洗手間。
雙子星,3 個月前,5,順遊景點，風景很美，有停車場
吳孟翰（FignoWu）,3 個月前,3,人少好停車 廁所也算乾淨
辜榮傑,3 個月前,4,
鬼才GueiTsai,3 個月前,5,
Blue Kuo,3 個月前,4,"正所謂""石城大海""~(笑)"
洪啟元,3 個月前,5,
冼金漢,3 個月前,5,
Ju Wang,3 個月前,5,很舒服恬靜的海邊休憩站，有飲料甜點炸物供應。
黄建章,3 個月前,3,
Gary Chen,3 個月前,5,
ChienHung Chen,3 個月前,4,
李志雄,4 個月前,5,
Ste S,4 個月前,5,
老吳拖露生活,4 個月前,5,騎腳踏車休息站，有公廁及咖啡廳可以休息。
Watson Sherlock,4 個月前,4,
廖明祥,4 個月前,4,休息的好地方 風景好
Yi-Huang Chang,4 個月前,4,位於東北角濱海公路新北市端，可以遠眺龜山島的休息區。
CHI MING CHEN,4 個月前,5,路過這裡可以停下來休息一下，這裡有廁所供遊客使用。服務區停車場也種了好多花開的很漂亮！
旺事問古歌 More Ku,4 個月前,5,
黃大爺,4 個月前,5,悠閒的環境。
doris yaung,4 個月前,1,
Herb Hu,4 個月前,5,"有趣喔！北部濱海公路也有服務區哩！這裡背山面海，是小客車停車場，同時也有客運站牌，今天就有好多位快樂的郊遊族在此下車拍照。
平面是美麗的咖啡空間，大片落地窗可看海聊天。戶外下階梯可到非常乾淨的洗手間，規劃很好，管理也很有心，按讚！"
Yenwen Tseng,5 個月前,5,景色優美，停車方便，有厠所
KA H,5 個月前,4,
張銘洲,5 個月前,5,風景美
戴章皇,5 個月前,5,
Joseph Stone,5 個月前,4,
Kenneth Shih,5 個月前,4,
張隆,5 個月前,5,
李素碧,5 個月前,5,草嶺環狀自行車道必經景點～
李盛宗,5 個月前,4,
巫秀珠,5 個月前,4,
李俊儀,5 個月前,5,
黃麗卿,5 個月前,5,鬆餅好吃😋 …
Ry Hio,6 個月前,5,
莊小悍,6 個月前,4,
黃嘉蔚,6 個月前,5,
黃建倫（冷冷）,6 個月前,3,"路邊休息站有停車場
旁邊建物有咖啡廳有公廁可以使用
停車場那邊有平台可以看大海跟龜山島還有附說明牌"
Marco Mao,6 個月前,4,小小的一個中途休息站，可以停下來上個廁所，裡面有咖啡廳，如果肚子餓或想喝點東西也能進去買
吳圳柏,6 個月前,5,風景優美
Jasper Lyu,6 個月前,5,北部濱海公路上的的一個休憩的好地方可以遠眺龜山島，個人認為，是一個美麗的地點
Yihtsan Liang,6 個月前,5,風情優
林俊男,6 個月前,4,
黃玟晸,7 個月前,5,
呂中馨,7 個月前,4,
Secret,7 個月前,5,可以看到不同的龜山島樣子，還有藍咖啡漂亮的風景，可惜很容易錯過，現場也很多電動腳踏車，開車的駕駛要更小心，天氣好可以看到很美的龜山島，就如我拍到一樣的！
哥哥,7 個月前,4,美中不足晚上廁所關閉
韋立民,7 個月前,5,
WC Lin,7 個月前,5,風景美
陳慎平,7 個月前,4,
Justin Y,7 個月前,3,
林睿騏,8 個月前,5,
ドドドShin wei,8 個月前,4,
chnchin lee,8 個月前,3,"景色很美有公共廁所
停車位少...不好停車
沒一般遊客可坐休憩的地方
全部圈進咖啡館裡了....
要坐就需進咖啡館裡...."
汪仁和,8 個月前,5,風景很好，廁所乾淨的休息區。
Bear,8 個月前,5,
will HSU,8 個月前,5,海邊很美，可以看到龜山島，有機會應該要來喝個下午茶
憶溢,9 個月前,4,
kidomi Chen,9 個月前,4,觀海欣賞九孔養殖場優美海岸環境，真棒！瞭望海空遠景，胸野開闊豪放感，好地方優美值得你來
Angow Liu,9 個月前,5,
