name,setTime,star,content
敏惠馮,13 小時前,5,
Bert Heuver,2 天前,4,
Michael Lee,2 天前,5,
東風,3 天前,5,大自然景色優美
行腳一二事,3 天前,5,"來到花蓮豐濱沿著海岸線玩真的非常的舒服，
一路看著湛藍的大海，
感覺好開闊，
而且整個豐濱路上景點也不少，
是來花蓮必玩的一條路線。

《花蓮豐濱景點》石梯坪遊憩風景區．大自然的鬼斧神工之美~遼闊海景太迷人
陽光燦爛、藍天白雲下，怎拍都美麗"
冷貓,4 天前,5,是個可以停留走走的好區域，有洗手間可使用，往裡面走還有露營專用區。
Shock Wang,4 天前,4,
陳秀芬,4 天前,4,只要付停車費 就可以開車定點玩
蔡振賢,6 天前,5,
曾小玲,6 天前,5,大自然創作，美極
張雅雯,6 天前,5,
高掱,1 週前,5,
杜俊毅,1 週前,5,
易偉忠,1 週前,5,
邱惠琪,1 週前,5,平日遊客不多，任何視角都是美景，好拍。
新哥life,1 週前,5,有夠美的地方，停車需收費，算便宜
Shiwu Huang,1 週前,4,
Alex Yang,1 週前,4,海岸風景優美
無糖鮮柚綠茶,1 週前,5,
Jiaming CHANG,1 週前,5,世界忽略的美景
Earhot Hsu,1 週前,5,
徐宛琪,1 週前,5,"超級美！！
白天風景美，夜晚星空美！

剛好參加藝術季活動，有機會會再來訪！"
water,1 週前,5,
黃財慶,2 週前,4,
周倍弘,2 週前,5,風景非常的棒！
Kevin Hou,2 週前,5,
wesly Wang,2 週前,4,
exlidu,2 週前,4,"熱到差點中暑，但是值得來一趟的景點，
可以近距離接觸這裡的景觀地形，
有些岩縫會噴浪出來很刺激，觀賞時要注意安全。"
阿平,2 週前,5,停車收費，天氣炎熱，但風景很美，很少見過這景象，海聲很療癒，很值得，有機會會想和家人朋友再來
Josh Chen,2 週前,5,
Vanish Wu,2 週前,5,風景很美
Zoe Yu,2 週前,5,爆熱，但很值得，風景美！
Blessing MK,2 週前,5,入口處有告示牌要收停車費，但今天實際上沒有收，往裡面開，有一些小市集，平日只有幾攤，八月太陽很曬下午來比較好，很美的海岸，與其他地方的海岸不同，值得來看
懿琳沈,2 週前,4,
斷與捨,2 週前,5,
李隆誠,2 週前,3,
鄭周南,2 週前,4,"颱風過後海邊的浪大，所以通往海岸邊的通道全部被圍上柵欄禁止通行只能在觀景平台上遠遠地看著。如果在入口處的地方先告知遊客禁止進入岸邊的話，可能就不會再開進去了。
停車收費平常日要50元，有附發票！"
Lin Pei-yu,2 週前,5,海水冰涼，在炎熱的天氣玩水真是救贖。停車場還有流動廁所解決內急及淡水水龍頭可以稍微沖掉海水，真的很不錯👍 …
alvin yeh,2 週前,5,風景秀麗，散心放風的好地方，唯需要防曬。
盧昱廷,2 週前,5,
徐筠,3 週前,5,
李國瑋,3 週前,4,
Cookie,3 週前,5,超美海景，但要注意風景區內的民宿餐廳是私人的，沒有要消費千萬不要踏進去，因為老闆會生氣
張谷銓,3 週前,5,
宜花東旅遊司導謝明煜,3 週前,5,很療愈的景點， 記得放慢腳步往海邊走走聽聽海浪聲
吳啟宗,3 週前,5,
美侯王,3 週前,5,
S.C. Huang,3 週前,5,
黃敬雅,3 週前,4,
Stephen Sun,3 週前,3,
李崇銘,3 週前,5,可以看到板塊運動產生的痕跡，
陳大哥,3 週前,4,
林紫渝,3 週前,5,
Y Lin,3 週前,5,很美！也不需要走太久
Bravo Chen,3 週前,4,"東海岸特色之一

如果要待在這裡一段時間，天氣好就是要跟太陽🌞和平☮️相處（曬啊🤔⋯⋯）

岩岸白色的沙灘岩石🪨非常顯眼，海景壯觀美麗，白砂岩真的很好看…..

這個風景遊憩園區內蠻大的，還有露營🏕️區可供來花蓮沿海度假⛱️休閒娛樂使用…

對一般旅遊景點有此供喜好露營⛺️度假稱不上是一個勝地，但有完整規劃專屬的露營區….."
方家星,3 週前,3,
黃元成,4 週前,5,
好睡先生,4 週前,5,
Alice Lee,4 週前,5,海景很美！
何世宗,4 週前,3,
Cathy WY Huang,4 週前,5,
楊小靜,1 個月前,5,很不錯的地方…停車場蠻大的
谷哥真心話,1 個月前,5,美
童威爾,1 個月前,5,
吳金池,1 個月前,3,
Sam Chuang,1 個月前,5,好拍 好舒服
高忠義,1 個月前,5,
黃建勝,1 個月前,3,
趙兄,1 個月前,4,很熱很熱
Hsien chu Hsueh,1 個月前,5,
許正長,1 個月前,4,
高鐵漢,1 個月前,3,風化，踩踏；下用幾年，恐成女王頭？
張晨,1 個月前,4,
林茂宇,1 個月前,5,乍看像是到了鹽山
陳平,1 個月前,3,
賴怡良,1 個月前,5,
Wen Shan Yeh,1 個月前,5,漂亮鼠了，但請大家開到最裡面再停車，不然停在門口得在烈日下走很～遠🥹
C MARK,1 個月前,5,距離花蓮市區真的有點遠，夏天真的很曝曬，園區很大，也有洗手間和商家，假日人還是挺多的
Ivy Chen,1 個月前,4,沿途有步道可走走逛逛，單面山值得造訪觀賞特別的火山地質景觀，夜晚適合觀星，因為無光害，夜遊記得帶手電筒。
趙淑雲,1 個月前,5,非常特別的海岸風景，好美，建議不要中午去，很熱
詹心如,1 個月前,5,讚
doris lin,1 個月前,5,"巨石與海洋令人心曠神怡
海景美，地寬敞適合佇足，內有咖啡廳"
林素香,1 個月前,5,
son jack,1 個月前,5,漂亮地點
康康,1 個月前,4,
陳信宏,1 個月前,4,
Shaun Shih,1 個月前,5,自然風景美麗
洪銅遠,1 個月前,3,
Kail Wang,1 個月前,5,風景秀麗
Dillys Chen,1 個月前,3,
Ocean Shu,1 個月前,5,很好拍，只是很熱很熱很熱～
Sayuri,1 個月前,4,"石梯坪是一個非常漂亮的觀光區，可觀賞美麗的海岸線，因夏季太熱，如進入秋天天氣涼爽慢慢地走在行人步道上，也是一種享受❣️
汽車收費門票一台50元，離場時才付費！"
