name,setTime,star,content
J. W.,3 小時前,4,風光明媚心情好。
潘宇翔,4 小時前,5,颱風來前，天鵝都游上岸
Kim Kim,4 小時前,5,很漂亮但夏天不太適合走走 太熱了～
李宥愉,6 小時前,4,散心自在的好去處，還有一整排可以邊吃邊賞湖的地方，附近有停車場（30元/時）現有kitty 可當背景美美拍照
陳Miss,6 小時前,4,
王煒翔,6 小時前,4,
Nur Kasanah,10 小時前,5,
Kayli Chen,19 小時前,5,
邱柏文,19 小時前,4,
李敏,21 小時前,5,停車不太方便，常常爆滿，不然就是要停很遠，走過來，都已經滿頭汗！夏天真的很熱！適合秋天來！
Nivedita Singh,1 天前,4,
Charlotte,1 天前,5,
陳志中,1 天前,5,很不錯
彭寧珊,1 天前,5,天氣好的時候這邊藍天白雲搭配河岸山景很漂亮，夜晚來臨時搭配碧潭吊橋的美麗燈光，同樣的地方可以欣賞到不同風格的美景，週末有空閒的時候來碧潭看看吧。
蕭美鈴,2 天前,5,三麗鷗地景藝術節～碧潭寫生趣，Hello Kitty、美樂蒂及布丁狗和大耳狗喜拿、蛋黃哥依序登場，喜歡地景藝術的朋友，趕快來美拍。
張CHICHI,2 天前,2,不知是否因是非假日，週一沒幾家店家開店，超無聊的風景區、老街
Cheng Kevin,3 天前,4,
Jie Zhen Song,3 天前,5,第一次來，蠻漂亮的，適合走走晃晃
李萬寶,3 天前,5,
王鴻志,3 天前,5,
李健台,3 天前,5,
詹浩雲,3 天前,4,
呂素娟,3 天前,4,
Joseph Chen,3 天前,5,我是這裡的當地人，這裡很適合假日來這裡走走，也可以去旁邊的和美山爬山，山頂可以眺望整個碧潭風景去，這裡偶爾會聚辦兩個月的水舞活動，很壯觀，值得來欣賞。
林富藝,3 天前,4,
趙心瑜,3 天前,3,不要找會下雨的時候去哈哈哈
Peter Wu,3 天前,5,
yu,4 天前,5,"漂亮！
散步完 可以直接去爬和美山步道"
先生張,4 天前,5,環境清幽.輕鬆愉快.停車方便.有店家可放下腳步.吃吃東西.休息一下，好地方。
Chris Chen,4 天前,4,
林芸如,4 天前,5,
Jessie Lu,4 天前,5,
黃復猛,4 天前,4,
蔡雄代,4 天前,5,
廖建和,4 天前,4,
Mr. Sun,4 天前,4,商店街走到底，多了一條碧潭藝術大街，可以悠閒漫步，讓愛神邱比特與您路上相遇😍
aso chen,5 天前,4,
張惠萍,5 天前,4,
羅倫,5 天前,2,檢舉可以解決問題，可是真的有那麼嚴重嗎？
Sophia Trang,5 天前,5,這個地方適合散步、拍照、劃鴨子、騎自行車等。標誌是一座連接兩岸的吊橋。小過道出售食物和飲料，同時欣賞湖畔景色。不時有潑水節和非常有趣的展覽。停車方便，廁所干淨
俞靜偉,6 天前,4,
黃珮修,6 天前,4,
李兆陽,6 天前,4,適合全家親子遊
張坤正,6 天前,4,漂亮
立揚張,1 週前,4,
Tung-Hsiung Chen,1 週前,5,
龍馬先生,1 週前,3,好山好水好無聊
anna may acap,1 週前,5,
James Carl Medenilla,1 週前,5,好地方
Kelly Chen,1 週前,5,騎車休息的好所在
理哲昕,1 週前,5,
Sting Chen,1 週前,4,做為騎自行車的起點，我覺得是相當不錯的。
游賓麗,1 週前,5,
阿鈞,1 週前,5,
Amy Tsai,1 週前,5,好可愛😍 …
孫立慶,1 週前,5,到碧亭喝茶，碧潭全景映入眼簾，消費低廉，無時間限制
Lung kuan Chen,1 週前,4,
洪澤騰,1 週前,5,
jay lee,1 週前,5,愜意
Fan,1 週前,4,假日去人很多也不好停車，建議平日去，划船和逛逛都不錯，幾米的月亮忘記了展到11/13白天和黑夜去都可以，建議清晨和半夜去人才比較少😆
鍾演欽,1 週前,4,休閒旅遊好地方
Uma Christ,1 週前,4,
June Shen,1 週前,5,
D N A,1 週前,5,練習製作 sim
michelle hsu,1 週前,4,
住商陳先生,1 週前,5,
Lin Min,1 週前,4,放鬆和穿過吊橋的好地方。可以上和美步行道（約1小時慢慢步行上樓梯，沒有護欄，下雨要小心）。
趙偉民,1 週前,3,已經沒有以前那麼多遊客了
余卓安,1 週前,5,"線型空間的最大罩門，就是有頭無尾。
碧潭，正是如此：
夜訪水岸尾段，幾已黑暗無光。
但是，我連半顆星都扣不下去！
因為上述缺失，仍絲毫無損
碧潭水岸區的獨特性！"
台灣自由行包車旅遊（小林）,1 週前,4,碧潭湖面漂亮 可以踏腳踏船遊潭
Henry WEN,2 週前,4,
古清漢,2 週前,3,
柏軒王,2 週前,5,縮略語
Chithira Gopi,2 週前,5,
Anderson Huang,2 週前,4,聊天好地方
丁啟文,2 週前,4,
李袁富,2 週前,5,
1155 Chung,2 週前,5,
chienchou Chen,2 週前,4,
林文培,2 週前,5,每次來都是看著人家踩船，自己下來踩，一分鐘後就後悔了，唉還是硬著頭皮踩完，但沒想到風景還可以，遺憾的就是天空不够晴朗，很難得的體驗🤗
Chang Matt,2 週前,4,涼爽的夏天
kathleen,2 週前,5,
WeiLun,2 週前,4,
黄初枝,2 週前,2,東岸天鹅船六號入口好危險我80歲差些從石頭階梯摔下去希望跟7號入口一樣加上扶手謝謝
shih lin Huang,2 週前,5,
蕭MONEY,2 週前,5,
Reno Chen,2 週前,4,
彭新豐,2 週前,5,溪水碧綠，遠山青翠，週邊公共建設完整，廁所清潔，還可坐遊艇。
陳志宏（貢丸老師）,2 週前,5,新店捷運站走出來就到了
椪柑,2 週前,5,
Roxy Lin,2 週前,5,藍天白雲陪襯下的碧綠水潭，小船悠遊其中，很有南洋風情的步道，餐廳、洗手間都很到位。
川井直人,2 週前,5,
ARKILA Lee,2 週前,4,
Waynie Wang,2 週前,4,山明水秀 … 好山好水 只可惜 有跳大媽舞的團體 清晨一大早 製造噪音 音樂放的好大聲 壞了難得的碧潭寧靜的早晨 打擾附近的住家 擾人清夢。 …
Arthur Chen,2 週前,5,
ShinFu Lin,2 週前,5,山水美景
敏瑩李,2 週前,4,很美味，美中不足是店員之間溝通似乎有嚴重不良，常常忘記客人的餐點，互推皮球，弄到客人會不高興！更或是點餐明明說沒有鵝肝，可是卻在隔壁桌點餐聽到還有！真的是傻眼！
amy tommy,2 週前,5,
吳東益,2 週前,5,
Mike Wu,2 週前,4,
diosp120,2 週前,5,
Art Cre,2 週前,4,
wade1012,2 週前,5,
Mert Yang,2 週前,5,
Jia Yin Foo,2 週前,5,想住碧潭有約！
黃怡婷,2 週前,4,"目前有角落生物展⋯⋯超可愛的啦！
怎麼拍怎麼可愛😆😆喜歡角落生物的別錯過了👍
除了角落生物，可以走走吊橋、逛逛小吃、採船看看湖邊景色、又可拍照留念，讚啦！
⚠️每年都有不同主題"
秀湄陳,2 週前,5,很棒的景點⋯台北近郊風景區
張迺楨,2 週前,4,
黃振華,2 週前,5,讚 ！
c434rdd410,2 週前,4,
jason Chen,2 週前,4,親子同遊好所在
Weiqun Heng,2 週前,4,
境幻,2 週前,5,"午後悠閒的走在碧潭河畔
可以做個小船和另一半或是家人一起遊玩 愜意舒適 餓了還可以再附近吃點東西"
NAYOMI KIMURA,2 週前,5,
林（Jason）,2 週前,5,"碧潭為臺灣昔日八大景之一，風景秀麗，位於捷運新店站附近，交通非常便利，我想大部分的臺北人都來過這假日旅遊休憩的好去處。
而且碧潭非常適合情侶或小家庭攜帶孩子過來，因為可以欣賞水景，最近還有可愛的充氣娃娃可以拍照，增添一些情侶的互動與甜蜜。旁邊吃得也超級多，除了水灣咖啡廳，還有米粉湯和排骨飯等小吃可以讓大家前往享用~
碧潭還可以玩Sup！雖然可玩的長度略短，但卻是不需要到北部少數不需要到海邊就可以玩Sup的地方！有機會還會看到有人在滑龍舟呢，那感覺很特別~
然後旁邊還有一座小山可以爬，雖然我沒有爬過，但喜歡山明水秀的人不妨可以去看看，搞不好是一大收穫唷~"
英英美代子,2 週前,5,風景優美
許玲惠,2 週前,5,
金玄燁,2 週前,5,
Jeffrey Hsu,2 週前,5,
張君柔,2 週前,5,
陳盟元,2 週前,5,
王進德,2 週前,5,
Jade Pelchat,2 週前,5,散步的好地方🚶‍♀️🚶‍♀️
鄭庭亞,2 週前,5,
YunYun,2 週前,4,
陳芸恩,2 週前,4,風景很漂亮，適合帶小孩來假日出遊
詹旭麗,2 週前,4,是從樹林騎腳踏車至新店碧潭
JOANNA TSAI,2 週前,5,
lin萍,2 週前,4,
陶茂財（財哥_TMC北極熊）,3 週前,5,夜晚好去處
VIJAYANATH E,3 週前,5,一個非常適合與家人一起遊覽的地方。餐廳價格合理。腳踏船也很有趣。河邊的小路非常適合騎自行車。
steven wung,3 週前,5,
Stephen辛普森 (辛普森),3 週前,5,
박은영,3 週前,5,風景好！有吃的有玩的～
甄娘娘,3 週前,5,適合老少咸宜來遊玩的地方，越夜越美麗，到了晚上的碧潭橋好美，一來再來都不膩。
Ann Wang,3 週前,5,讚
劉茂鴻,3 週前,4,
黃家冠,3 週前,5,河邊步道寬敞，景色宜人。現在有布丁狗等大型充氣玩偶的展出，相當可愛。
劉東宏,3 週前,5,
**木易無香,3 週前,5,"非常值得家庭、情侶來觀光遊玩，白天風景與傍晚、深夜的風景都是截然不同的美。
白雲、晚霞、星空，還有美麗的潭水、天鵝船，都是值得一來再來的約會聖地。

碧潭上面還有一大排各式各樣的料理可供選擇，坐在靠潭水邊的座位看著大橋的燈，享用美味的餐點，人生最大享受莫過於此。"
陳天富,3 週前,5,
Josh Chuang,3 週前,5,"如果要到旁邊爬山
請務必要先 確定路線
插路太多了"
rizki widya Nur,3 週前,5,
Eric Y,3 週前,4,
童明德,3 週前,5,
王玉萍,3 週前,4,乾淨
Evergreen Yeh (無名子),3 週前,5,極適合在假日時來此渡過悠閒的一天
claire princess,3 週前,5,
elsa su,3 週前,5,漂亮好玩好吃
樹枝罐頭,3 週前,5,
Elle,3 週前,4,
L CL,3 週前,5,
高雅卿,3 週前,5,好
Emily Sheng,3 週前,5,很久沒來這裡了，發現比以前的規劃進步很多，可以選擇的水上活動也更多，這次還看到行動書車欸，非常棒，只有一點～太陽很烈，好熱哦！沒什麼遮蔭的地方😅
詹炳昭,3 週前,5,
青海玉樹,3 週前,4,
