name,setTime,star,content
Mei Mei,1 週前,5,免費泡腳池（熱的）
陳通謀,1 週前,5,停車，泡腳，廁所，均方便！
coyote Stark,1 週前,5,
YoonA KA,1 週前,4,免費泡腳池還不錯
劉昱伯,1 週前,3,
伍雅晴,1 週前,5,
Morris Huang,2 週前,5,
小美,2 週前,4,
olive wang,2 週前,4,
凃福銘,2 週前,4,🙂👍 …
俞雁,2 週前,4,
古玉嬋,2 週前,5,
黃凱,3 週前,5,
"素蘭人,不是旅人",3 週前,5,平日來沒什麼人，整點會出水換水（不是太準時），還滿不錯的地方，旁邊就有停車場很方便，可以悠閒來泡腳。
炯銘陳,1 個月前,4,
Panay Chang,1 個月前,4,晚餐過後特地來此地泡泡腳，溫度有分三種，晚風微涼，划獨木舟疲憊的腳踝獲得舒緩，只要付停車費就可以有這樣的享受，非常推薦。
陳金生,1 個月前,5,有分男生跟女生的公共側所，大型遊覽車還可以暫停一下下，放旅客下車上側所
Jane chen,1 個月前,5,很棒的地方
李成訓,1 個月前,3,
shinbiau hsu,2 個月前,5,
Ethan Lee,2 個月前,5,
林照清,2 個月前,3,
Chieh h,2 個月前,5,
黃阿翔,2 個月前,5,休閒娛樂好地方
鄭潔西,2 個月前,5,環境乾淨，水溫剛好。
王證富,2 個月前,5,有溫度不同的池子，可以選擇。
Dong Ying Wang (Leo Wang),2 個月前,5,車子地景廣場停車場，就近免費泡腳，上車自備拖鞋，擦腳布，邊泡腳邊聽街頭藝人表演，自得其樂，泡完小走一段路到湯圍溝小逛一下，回程在亦順軒小小採購伴手禮，快樂返程-20230617
露小茜,2 個月前,3,
曾詩淇,2 個月前,5,準時冒水泡腳好神奇哦…
張俊生,2 個月前,4,
劉宜菁,2 個月前,5,
TAKASHI MIURA,2 個月前,5,這是一個可以免費泡腳的地方。每個足浴盆都有不同的溫度（數字顯示）。營業時間為12:00至22:00。白天遊客多，晚上當地人多。太好了，在礁溪的兩天一夜用了三次。雖是足浴，卻能溫暖全身。來礁溪請用。
Ste S,3 個月前,5,
葉先生,3 個月前,4,
徐其明,3 個月前,4,
薛宇江,3 個月前,5,
葉Jung,3 個月前,4,雖然是免費泡腳池，但氣氛也營造的很好。
丫asong Chiu,3 個月前,4,
吳馥華,3 個月前,4,"為疲憊的居民、登山的旅人
提供了放鬆 舒適 可供選擇溫度 免費 不限時的泡腳池"
許惠菁,3 個月前,5,
Wei A,3 個月前,4,走過路過不能錯過的廣場
王小姐,3 個月前,5,泡腳休息的好地方
城,3 個月前,1,
雅萍謝,3 個月前,5,
洪美珠,3 個月前,5,
Amo,3 個月前,5,有免費泡腳溫泉池的地景公園
minl lin,4 個月前,5,這裡可以休息一下泡一下腳很舒服
Kai Hsu,4 個月前,4,停車方便，空間寬敞乾凈簡單，有三個熱水池一個冷水池，可以在閒暇時來泡泡腳，大部份的時候沒什麼人
chih hsien shen,4 個月前,4,"有四個泡腳池,不錯哦!"
袁立夫,4 個月前,3,
Ivy Chen,4 個月前,4,免費泡腳的地方
陳福星,4 個月前,4,
Huang Elvis,4 個月前,4,
Liyu Mar,4 個月前,3,
木瓜-曾慧龍（木瓜）,4 個月前,5,泡腳好地方
