setTime,star,content,seg_result
2 天前,5,"臺灣祀典武廟又稱大關帝廟始建於明永曆十九年(西元1665年寧靖王爺種植一棵古梅樹矗立在廟後廟門口大丈夫木匾是台南市三大門匾隻武廟是台南市一級古蹟之一
廟後有1烏龜池內有近50隻大小烏龜今有隻烏龜往生廟內人員還為烏龜點3柱香祈福烏龜象徵長壽廟方處理得當",臺灣 祀典 武廟 大關帝廟 永曆 十九年 西元 王爺 種植 梅樹 矗立 門口 大丈夫 木匾 台南市 門匾 武廟 台南市 一級 古蹟 烏龜 50 烏龜 烏龜 人員 烏龜 柱香 祈福 烏龜 象徵 長壽 廟方 處理 得當
5 天前,5,廟內供奉戰神關羽武功和祭祀,供奉 戰神 武功 祭祀
6 天前,5,"111.9.24

台灣唯一祀典武廟
建築設計古典 歷史悠久
供奉關聖帝君觀音佛祖月老文昌等神尊香火鼎盛
心靈沉澱的好去處
環境乾淨
有提供男女厠非常乾淨",111.9.24 台灣 祀典 武廟 建築 設計 古典 歷史 悠久 供奉 佛祖 神尊 香火 鼎盛 心靈 沉澱 去處 環境 乾淨 提供 男女 乾淨
1 週前,5,心誠則靈,心誠則靈
1 週前,5,武廟,武廟
1 週前,5,,
1 週前,5,感恩 讚嘆,感恩 讚嘆
1 週前,4,心誠則靈,心誠則靈
1 週前,4,後面還有四合院式的觀音月老,後面 四合院式 月老
1 週前,5,很漂亮的一間廟歷史悠久處處有驚喜處處有細節,漂亮 歷史 悠久 驚喜 細節
2 週前,5,充滿歷史的建築從進去的關聖帝君再到內部的觀音和文昌神明每個角落都充滿文化的累積值得造訪,充滿 歷史 建築 進去 內部 神明 角落 充滿 文化 累積 值得 造訪
2 週前,5,舒服好磁場的地方在市中心走進祀典武廟就像走入別有洞天,舒服好 磁場 地方 市中心 走進 祀典 武廟 走入 別有 洞天
2 週前,4,整修後恢復往日光彩只可惜廟內仍焚香薰黑國寶,整修 恢復 往日 光彩 可惜 焚香 國寶
3 週前,5,,
3 週前,5,讚讚,讚讚
3 週前,5,"香火鼎盛的台南武廟
建築設計古色古香
台灣唯一祀典武廟",香火 鼎盛 台南 武廟 建築 設計 古色 古香 台灣 祀典 武廟
3 週前,5,今天剛來拜上個禮拜就結婚了,今天 禮拜 結婚
3 週前,5,,
3 週前,5,,
3 週前,5,古廟 參拜,廟  參拜
3 週前,5,,
3 週前,5,,
4 週前,5,,
4 週前,5,很棒的寺廟可以長期停留並擺脫自己的罪惡並祈禱,寺廟 長期 停留 擺脫 罪惡 祈禱
1 個月前,5,"很靈驗的月老
11年前老公來拜拜說希望追上喜歡的人過沒多久就放棄不喜歡他的女孩轉跟我告白事後回來拜月老時才發現說明寫要找男女朋友不要找我我只牽正緣讓我們都嚇一跳後來也結婚了",靈驗 月老 11 老公 拜拜 希望 追上 喜歡 多久 放棄 喜歡 女孩 告白 回來 月老 發現 說明 男女 朋友 正緣 嚇一跳 後來 結婚
1 個月前,5,,
1 個月前,5,常去拜拜能撫慰心靈,拜拜 撫慰 心靈
1 個月前,5,台南行必來這參拜,台南行 參拜
1 個月前,3,我去了不過是在施工所以只看了門口,施工 門口
1 個月前,3,"我給三顆星
是為了讓祀典武廟變成4.5顆星","星
 祀典 武廟 變成 4.5"
1 個月前,5,位在赤崁樓對面一同朝聖,位在 赤崁樓 對面 朝聖
1 個月前,5,非常古典有歷史的廟宇,古典 歷史 廟宇
1 個月前,5,氛圍舒適莊嚴大氣,氛圍 舒適 莊嚴 大氣
1 個月前,5,"祀典武廟又稱臺南大關帝廟主祀關聖帝君
月老廟也蠻有名的可以求姻緣紅線
香火鼎盛是許多人拜拜地點選擇之一心誠則靈神明會保佑一切平安順利
拜拜完也可以至附近景點赤崁樓走走周圍小吃也不少",祀典 武廟 臺南 大關帝廟 主祀 月老廟 有名 姻緣 紅線 香火 鼎盛 許多 拜拜 地點 選擇 誠則 靈神 明會 保佑 一切 平安 順利 拜拜完 附近 景點 赤崁樓 走走 周圍 小吃 不少
1 個月前,5,"心靜 寧靜 安靜
虔誠拜一定靈驗",寧靜 安靜 虔誠 靈驗
