name,setTime,star,content
Ken P,4 小時前,5,
Reinvented To Be Still,7 小時前,5,
Joanne Li,10 小時前,5,
許航鳴,18 小時前,5,
侯,1 天前,5,不是到為甚麼是假日但是很少店開著，不過是個可愛的地方。
簡弘財,1 天前,4,
yuannn CJ,1 天前,4,
Cheng Pin “Aylwin” Chen,1 天前,5,有特色的小巷弄
Party熊,2 天前,5,文青又好逛，小小的街但很熱鬧，好喜歡，彷彿置身國外，每間店都充滿自己的特色
jacky kuo,2 天前,5,"八級在地嚮導評論～
很棒的一條老街
很久以前就想來了。
感覺白天跟晚上的風貌應該是絕然不同。
今天是白天造訪，找一天晚上會再來一趟
雖然短短的一條路可是
每一間商店都非常的有特色
都值得你駐足留下一張美照，
真的是非常適合網美來拍照的地方
而且有一些很特殊的咖啡店 ，文青小店，還有老廟，讓整體添加很多文藝氣息，彷彿置身另一個時空，那畫面真的讓人愛不釋手。。
大約可停留一個多小時，附近是不好停車的。
但是如果搭配附近的國華街吃美食，以及西門淺草廣場和夜市，是相當值得造訪的一條路線,停好車來這邊，你足足可以消耗一整個下午的時間。"
xun xiao,2 天前,5,
Joseph LEE,2 天前,4,日本風，有一些西方殖民在台湾的痕迹，不過没有很長。
Arthur Chao (Arthur),3 天前,5,
spencer yu,3 天前,4,
巴尼亞,3 天前,5,老街風景
Ariel Chen,3 天前,5,
Bo Xuan You,3 天前,5,
young Yang,3 天前,5,
張凱迪,4 天前,5,許多外國客，如果要來這邊，有地下停車場，停靠近水仙宮的位置，上來就是神農街囉！
Ryan lin,4 天前,4,雖是以年輕人文創為主的一條街，但原創性實在是不夠，一堆東西都是到處都有的東西，非常可惜
JeiKy Kim,4 天前,5,已打卡
張睿芯,4 天前,4,
曾睿宏,5 天前,5,
張建白,5 天前,3,
jennifer chang,5 天前,5,台南古街漫遊！
黎,5 天前,5,
歐逸駿,5 天前,5,夜晚神農街別有一番風味
Jade Yang,5 天前,5,很多特色的路邊露天店家，散步，聽歌，感受府城人文的地方
Tony Lin,5 天前,4,
鄧曉陽,6 天前,4,
cello chan,6 天前,4,有日本小街的風味
三斤,6 天前,5,晚上去很好拍 ，很多酒吧也有許多文青小店可以逛，是個可以吃飽飯來散步的好地方呦
Elfie,1 週前,5,
洪小孩,1 週前,5,晚上人潮較少，夜拍好看
Lin Dori,1 週前,5,
陳宏杰,1 週前,5,
Hugo Ars,1 週前,4,可愛的小街道，位於可愛的台南熱鬧的街區，推薦路過
孫譽仁,1 週前,4,漂亮的地方
張維翰,1 週前,4,台南知名老街道，裡面充滿了許多文創市集與店面，夜晚時分更是添增了幾分古色古香的氛圍；整體路段不會太長，假日或有活動的人潮洶湧；附近海安路旁有許多位置方便停車，夜晚海安路也有許多店面可一起逛。
彭鉅樺,1 週前,5,走走逛逛不錯
Brian Chen,1 週前,5,
陳美臻,1 週前,5,很好吃大推
劉俊辰,1 週前,3,
Ching kwong Wong,1 週前,4,
R-J Su,1 週前,4,
徐文龍,1 週前,5,懷古風情的街道商店
Ching Ching,1 週前,5,
楊萱,1 週前,3,下午能逛的地方好像變少了
y8n hae,1 週前,2,
吳岳峰,1 週前,5,神農街夜景是最多遊客拍照打卡景點外，還保留早期木造房子，也轉型商店販售文創商品及展示早期照片順勢解說當時生活動態
54 0,1 週前,4,
鄭美華,1 週前,4,希望像這種有歷史感的建築物，能永續保存和維護。
鄧勝峰,1 週前,5,我的小時候是民國50幾年大概就是回到那個時間這個地方幫我呈現回到小時候的感覺
王翔毅,1 週前,5,
黃文慧,1 週前,4,到台南至少要來逛一次神農街，早上去店面都沒開，遊客較少，但可以拍照！晚上去店都開了，燈也亮了，遊客也多了，不只可以拍照，還可以一間一間去逛，還有巷弄小店可逛！燈籠很多的老建築老巷弄，早上拍照和晚上拍照各有特色，早上去和晚上去都很熱，但是值得一看！
火焰蔡,1 週前,5,"短短一條街，濃濃的文青味
飯後一逛的好去處
可惜深度不足，大約停留半小時到一小時就差不多啦"
邱慶川,1 週前,4,
宋致遠,1 週前,5,濃濃古意的台南小巷弄，入夜後的燈光和燈籠，把神農街襯托得更有古都的味道
Tim Li,1 週前,3,
食客,1 週前,5,
Dhgf,1 週前,5,很有特色的巷子。裡面店家賣的東西都滿好逛的，很多鑰匙圈、懷舊小物、衣服，也有些吃的。
譚毅誠,1 週前,5,
默須有,2 週前,3,一條短短的巷子賣著所有老街都會賣的一樣的文創商品沒有特色。
宋政儒,2 週前,5,晚上可以走走，有一些店可以進去逛逛
何冠德（KT）,2 週前,4,
