name,setTime,star,content
徐煒康,3 個月前,5,
ANDY CHU,5 個月前,4,
Mao Mao,5 個月前,5,"除了千櫻園 百櫻園的櫻花也不遑多讓
雖然佔地比較小 但櫻花密度高 天氣好時還能遠眺雪山山頭"
YINYIN TENG,5 個月前,5,濃綠草地加上盛開的櫻花，比千櫻園靜謐，也比千櫻園更好拍照，大推
洪靜怡,5 個月前,5,放眼望去滿是盛開的櫻花，真的是名符其實的千櫻園！ 密集恐懼者慎入😜😜
Kuei Ching Yang,5 個月前,4,櫻花茂密，非常漂亮。
珠珠,5 個月前,5,福壽山農場的重點、櫻花全開從上看下超美、一幅圖很美很美、有時間真的要全區走走處處美、比千櫻園更美。
明明,5 個月前,5,
QQ柴柴喵,5 個月前,5,
陳文炫,5 個月前,5,
林Alan,5 個月前,5,好美的櫻花，應該還可美麗個10天吧！
Joseph CHEN,5 個月前,4,一年一度賞櫻景點
Long Huang,5 個月前,5,
Angela Huang,5 個月前,5,
bill LAU,5 個月前,4,
David Cheng,5 個月前,5,"百櫻園這邊的櫻花規模相較千櫻園較小，但是很密集，而且地面是青翠的草地，拍起來又是另一種感覺，也是很美的，而且在離開前拍到超美的櫻吹雪，真是太好了🌸
#20230304"
Martin Lin馬汀林,5 個月前,5,
Yingching Chen,5 個月前,4,1120301過去，櫻花開很密。
tes cat,5 個月前,5,
珊珊,5 個月前,5,千櫻園比較多櫻花，但百櫻園人比較少
Jerome Chang,6 個月前,5,"花開花富貴
美麗極了"
Derek Lin,6 個月前,5,照和櫻粉色的櫻花盛開期間，非常的美麗，也非常適合拍照。
王小宏,6 個月前,5,花況不輸千櫻園！很好拍！
施小娟,6 個月前,5,"百櫻園的櫻花花況
算是農場裡目前比較密的"
咏富順,8 個月前,5,美好的大自然環境
Sunshine,10 個月前,5,雖然還沒開花，但風景很美
Jenli Lu,1 年前,5,四季風情不同，值得參觀
賴洸鋐,1 年前,5,
滴慧貴,1 年前,5,111/3/9 福壽山蘋果園後面的百櫻園，風和日麗時真是好風光，3月初春時雪山山頭還覆蓋著未融化的白雪。
Songkai Chen,1 年前,5,很美，人少很幽靜
