name,setTime,star,content
王進寶,6 天前,2,
阿施,1 週前,3,彩繪很有創意
黃雅琳,1 個月前,5,
張arkiyear,1 個月前,5,
蕭智謙,1 個月前,2,看起來沒在維護了，很可惜
林淑敏,1 個月前,5,2023.7.5拍。
食間旅攝Sion,2 個月前,4,村莊內有可愛的小動物會走來走去，不仔細找可是會錯過的。
Jimmy Fan,3 個月前,2,完全沒有水準的彩繪，還斑駁脫漆沒有人保養，這樣的環境要如何吸引人呢？
飛行鳥,3 個月前,5,
Kiki Tsai,4 個月前,1,"旁邊的廟一大早就在吵
擾人安寧"
葉展男,4 個月前,5,
ching hui chen,4 個月前,1,真的沒有期待的多采多姿，拍照的動力全無
sunny huang,5 個月前,5,
劉克治,5 個月前,3,
kansaki ryu,6 個月前,2,沒有完整規劃，走巷子都是在一般人家門口，很尷尬
Joshua H,7 個月前,3,
楊老K,7 個月前,5,
黄俊愷,7 個月前,5,
Rrr,7 個月前,5,"地圖上面的位置是錯的，導航到育民國小或是福寶社區之後慢慢開，看到建築物或是牆壁有不同顏色或是繪圖就已經到了，不然會開過頭

有乳牛的故鄉之稱的福寶村是這裡重要的酪農區，小小的寧靜社區有許多矮房再加上一道外圍牆，這些創意的童趣彩繪讓這裡變得與眾不同，容易吸引別人注意，看到有welcome字樣的可愛牆面時，內心有稍微融化了一些，乳牛彩繪看得出來是小朋友的作品，展現了純真的一面，雖然沒有其他機能性，但對于用心增添環境活力與色彩的巧思，我絕對給予支持與鼓勵"
邱健融（金久）,7 個月前,3,
彭正玲,7 個月前,3,普通
Fajar Imani,8 個月前,5,
張谷雲,8 個月前,5,"建設容易維護難
繼續用心讓更多人看見參與"
傅建銘,9 個月前,3,
Lynn,9 個月前,4,悠閒，慢下腳步！不過福寶公園好像只剩那門牌，進去是人家庭院
da Ja,9 個月前,5,
林經理,9 個月前,4,
Cola CHOI,9 個月前,2,
封靈（被寵壞的瘋癲蠢妹）,10 個月前,5,有來看了一眼
方信元,10 個月前,4,純樸小鎮
社會觀察員,10 個月前,3,很特別的地方
風花雪月,11 個月前,5,
YiZhong Huang,11 個月前,2,感覺沒什麼再維護，鳥鳥的
盧小白,11 個月前,4,可逛一下
MUS流星,1 年前,1,沒想像中好 公園還是私人後院
大叔,1 年前,2,開車看看不會想停車
liest wang,1 年前,3,乳牛彩繪村是由福寶村村長黃耀輝先生與兒子所發起因福寶村飼養兩萬頭乳牛是全國最大的酪農區，村長黃耀輝為美化社區環境，決定將全村原本既黑又髒的圍牆，彩繪上乳牛，呈現福寶村「乳牛故鄉」意象。村長黃耀輝為了打造出乳牛的意象，與兒子一起將村內房舍建築的外牆一面面重新漆上明亮的色彩，並畫上許多姿態各異的可愛乳牛圖案，更把髒亂房屋外牆畫上藍曬圖，使原本髒亂環境煥然一新，成為熱門景點，打響福寶「乳牛彩繪村」的名號。
Alicia,1 年前,5,享受咖啡
Zenny Cheng,1 年前,5,
吳彥傑,1 年前,3,"😎福寶社區的巷道和街道的住家牆壁璧上到處都有彩繪。有卡通.電玩人物等彩繪，但大多以乳牛為主題。
有這麽一個以乳牛為彩繪的村子，我猜這附近應該有多座養乳牛的農場吧？!(我原本以為這兒有一處養乳牛的休閒農場)。
🤠這麽多的彩繪要拍也拍不完因此(育新國小)我也幫它拍幾張。
💖離國小50米處有一座未取名稱的開放式荷花池，經過這裡别忘了順道参觀一下哟~ …"
江小江,1 年前,3,經過可以拍拍照散步~很多圖顏色都褪色了…
老麵,1 年前,4,公園那邊有人住囉，所以我沒有拍照停留
SK Chuang,1 年前,3,
吳建樑,1 年前,3,
JY,1 年前,1,不值得去，彩繪很粗糙，地方沒有任何特色。
彰化縣秀水國中林佳琦,1 年前,3,這裡應該不能說是一個景點了，彩繪大部分褪色，就到了一個一般村落的感覺
Wendi Chang,1 年前,5,
Huang Louis,1 年前,4,很多地方都有彩繪，地方雖然不大，但是很多地方可以拍，非假日比較沒人潮，適合取景自拍也不會拍到別人
陳竑凱,1 年前,2,
林morgan,1 年前,3,導覽地圖簡陋，霧裡看花
劉梅雪,1 年前,3,讚喔
陳岳鴻,1 年前,5,
謝江有妹,1 年前,2,
kar ning Mau,1 年前,3,
garrett0605,1 年前,1,
許咪咪,1 年前,5,❤️❤️❤️
黃偉誌,1 年前,4,
許清煥,1 年前,5,讚
鐘文志,1 年前,4,
李文傑,1 年前,5,
Cheng Mongi,1 年前,2,台灣太多這種彩繪村了，應該再多加一些設施及辦些展覽活動，才能吸引更多人來參觀遊覽。附近有間觀光農場，可以焢窯和烤雞。還有一個小公園可以參觀，可是進入後是別人家的後院。
賴信佑,1 年前,3,
王琪琪,1 年前,5,
高嘉茂,1 年前,3,
黃小心,1 年前,5,休閒的選擇
李承翰,1 年前,4,繪圖部分建議增加區域，某些圖案需要補色，彩繪村適合大朋友小朋友前來參加
吳志偉,1 年前,2,
Yu-Wen Huang,1 年前,5,
cheng winster,1 年前,5,
林Kelvin,1 年前,2,已經有點荒廢沒在經營的感覺。
