name,setTime,star,content
徐朝松,1 週前,5,遙控機無人機飛行場地，免費的。還可以放風箏，散步，發呆，草地躺平，環境整理的很好，風景優美，一點都看不出來以前是萬年不敗的垃圾堆積場。缺點是交通不便，有小型公車經過，但是班次很少。還是要自行開車或騎車。
邱秀勤,2 週前,3,飛空拍機
詹鄭銘,2 週前,4,
郭偷偷,1 個月前,5,
陳風,1 個月前,5,
劉晃吉,1 個月前,4,
Tammy,1 個月前,5,環境清幽很漂亮，草原乾淨❤️適合毛小孩跑跑！
江雅慧,1 個月前,5,
顏莉,2 個月前,5,
Sandy Lin,2 個月前,5,
Xiaoshe ™,2 個月前,5,
Kuo Chou,2 個月前,4,
Manson MR.,2 個月前,5,這裡很適合帶狗狗來，但許多人把狗放到飛行場裡亂跑，人也不顧就待在陰涼處，搞的人家飛機不知怎麼降落，甚至狗跑去鬧操控者害人家差點墜機，還理直氣壯說有人在就不能飛，那你為什麼不去高速公路上蹓狗，然後再說有人在車就不能通行看看
曾俊諺,2 個月前,5,
若,3 個月前,5,超級喜歡🤩🤩🤩🤩🤩🤩 …
莊維宸,3 個月前,5,
林智勝,3 個月前,5,
雲登龍,3 個月前,5,心情愉快
黑咖啡,3 個月前,5,
林順翔,3 個月前,5,
Lucy,3 個月前,3,
RJ L,3 個月前,4,
陳鼎元,3 個月前,5,"有停車場 廁所 遙控飛機機場 滑草場
可以散步 騎腳踏車 滑草
腹地大 空氣好"
李李林,3 個月前,5,
Shieh Vincent,3 個月前,5,
Dylan Chang,3 個月前,4,毛小孩放風的好地方
Bernie Tan,3 個月前,4,
漢宇楊（大米）,3 個月前,5,腹地非常大，很舒適，規劃動線與綠化也做得很好，適合帶野餐墊、遛狗放生毛小孩、風箏、與各種球類！
簡簡澄波,4 個月前,1,
劉德戎,4 個月前,3,平日公園裡沒啥人，但要先經過公墓區，建議傍晚後不要去，正午去晒晒太陽可以，車子好停。
呂河田,4 個月前,4,
Queen card,4 個月前,5,
葉惟玲,4 個月前,3,
怪獸辣椒,4 個月前,4,
秀,4 個月前,5,
心心,4 個月前,5,
陳安居街,4 個月前,3,
張志忠,4 個月前,5,
Gene Chen,4 個月前,4,
劉三有,4 個月前,5,在偶然中曾經看見有人在這邊拍婚紗照，也曾看見有人在這邊玩遙控飛機，真是一個安靜又不受打擾的地方，但是來這邊還是須要是須要膽量够大
Yunlan Lon,4 個月前,4,
國華廖,4 個月前,1,
