name,setTime,star,content
曾令德,1 天前,4,
Matthias Hansen,2 天前,3,您可以輕鬆駕車四處遊覽並看到一切。
智麟,6 天前,5,保留下來的新竹東門，在夜晚看起來很宏偉壯觀！
陳弈宏,6 天前,5,
TaWei Chien,1 週前,5,路過
fgy rtgh,1 週前,3,
幻影翱翔,2 週前,5,不知道為啥廣場要做成下沉式的，不怕淹水嗎，還是說新竹沒什麼雨。
王愷屹,2 週前,5,漂亮的古蹟，美化市容。
Joseph Yen,2 週前,5,
Marlon Correa,2 週前,5,在東門附近欣賞日落。還喜歡時尚區和夾娃娃機場所。
六其木夕丁,2 週前,4,欣賞老城小巷，感謝雙十字路口車子的禮讓！
韋瑋,4 週前,5,散步新竹，過去總往城隍廟走，熱鬧的街市讓肚腹收穫滿滿。近期在「或者書店」店員推薦下，此次傳統經典廟口小吃之旅暫歇，嘗試新浪潮的人文走讀路徑，甚至選擇落腳在竹塹城迎曦門附近。行經整治後的護城河親水公園，夜間河道上的裝置吸引我駐足，驚喜發現燈飾閃爍彷如兔子跳躍，點亮童心，讓夜晚靈動了起來。對應有著紅磚外牆、顯得可愛小巧的新竹美術館，新竹州廳氣勢宏偉；曾經是台灣最大市場的東門市場，繁華落盡之後，青年進駐引領新生，不讓人失望。親水公園底是處於東門圓環中心的古城樓，被車水馬龍包圍著的東門，迎曦兩字在日光照射下，顯得靜謐、閒適。
黃庚婷,4 週前,5,"歷史古蹟
東門城
前有古人
後有來者"
TED HUANG,1 個月前,5,
黃世志,1 個月前,5,
4 11,1 個月前,5,無意間經過.夜間看起來還算漂亮
洪勨,1 個月前,4,
AdminElly Adventure,1 個月前,5,台北市美麗的地方
陳清駿,1 個月前,4,完工於1829年，是新竹市的城市象徵、國定古蹟。現在前面圓環改為表演廣場，晚上氛圍也是不錯，可以來走走看看。
鄭逢偉,1 個月前,5,
黃薰慧,1 個月前,4,
羅翔翔,1 個月前,5,
許耀中,1 個月前,4,"#LocalGuides
20230702_HipHop舞蹈年度成果發表會16：00正式開始！
20171223_白天與夜晚，果然有聖誕節的氣氛!
20170521_古蹟遺址，來到這邊何不停下來拍個照呢!!!"
Jay C Lee,1 個月前,5,漂亮的大門和旅遊景點
巫薇芳（巫薇芳）,2 個月前,5,拜託當地單位繼續保留下去
簡明山,2 個月前,5,古老的城門交通的樞紐大圓環
許福量,2 個月前,4,
Kaamei H. Kuo,2 個月前,5,
朱宸序,2 個月前,4,很好逛
謝哲擎,2 個月前,5,"晚上獨自一個人經過拍照！
旁邊就有高樓，額外不一樣的場景"
Amy,2 個月前,4,新竹有名的東城門，整修的很漂亮，想走進去看，但不知道怎麼過去
Shuhan Yu (shy),2 個月前,4,
bonnie_foodaily,2 個月前,5,
楊麗文,2 個月前,5,
albionmarch,2 個月前,5,
