name,setTime,star,content
百騰鄭,1 個月前,5,在廬山社區發展協會的專業旅遊團隊帶領之下，我們先是體驗60度左右的野溪溫泉，再來認識賽德克族對於河岸植物利用的知識，以及能夠從容地渡過湍急的水流、爬過河岸大小不一的岩石，最後抵達菁英瀑布，放鬆心情享受大自然的鬼斧神工。
東川蔡,3 個月前,5,在冬季，瀑布的寬度與高度都恰恰好，很適合拍照。後面溪畔的岩石感覺非常堅硬，搭配柔水，形成剛柔並濟的畫面！很棒
胡陳評,3 個月前,5,
Ez Ra,3 個月前,4,
Brary,4 個月前,5,
白明弘（聖雲）,4 個月前,5,有點年紀的適合在前面溫泉區，瀑布那邊最後要爬石頭有點難度
老邪,4 個月前,5,非雨季再來，美！
Ytl L,4 個月前,5,
吳言重,4 個月前,3,
陳威廷,4 個月前,4,"美麗的瀑布
右壁上還有小小的溫泉露頭
離精英溫泉15分鐘而已"
陳皇君,5 個月前,5,"很親民的瀑布
但是前往還是必須小心安全
大自然非常美麗
要用尊敬的心前往
小五的孩子也可以輕鬆到達到達"
王嘉榆,5 個月前,5,超讚
林佑勳,6 個月前,5,"距離精英溫泉約十多分鍾
平緩好走 可以沿岸行走不需涉水
風景漂亮 有深潭可以玩水
右方有高繞路越過瀑布"
謝佾廷,7 個月前,5,壯觀！石頭有點滑要注意
賴秀芬,8 個月前,4,
William Tseng,9 個月前,4,
eric chang,9 個月前,5,朔溪要帶好裝備，溪邊可找地熱溫泉♨️
楊慧玲,9 個月前,4,沿著野溪，一路逆流而上，溯溪時要小心溪水的深淺度，底部是否滑動？抵達上游頂端，就是美麗壯觀的瀑布。
林進旺,10 個月前,4,"下切精英溫泉道路 狹窄陡峭
超險急彎 自駕務必注意安全
入口停車 旁有新建嶄新橋樑
涉溪過膝前行 務必裝備齊全
野溪溫泉燒燙 簡易泡腳粉讚
前行約15分鐘 即可到達瀑布
但是過溪石頭濕滑 注意確保
找個有經驗的夥伴 引導帶領
目前水量可下到瀑布前玩水
值得花一下午的時間探索"
黃惠君,10 個月前,5,
蘇釗義,11 個月前,5,路程算短又好走的景點！需橫渡溪流多次！一定要穿防滑鞋！路上會經過一大片溫泉♨️！可惜水溫太高 不能泡
周柏岑,1 年前,4,
詹俊彥,1 年前,5,算是個很好親近的瀑布
Pong Yung Nieu,1 年前,5,夏天就是要來這玩水～
YC Lu,1 年前,4,水太大，無法過去。路又小又陡，最近在修河堤，許多砂石車，會車超可怕。建議找接駁。
陳宥銓,1 年前,5,"2022.5.1
開車可以到，但橋邊停車位子有限，不然要停付費的私人地
當天去溫泉還有！
溪水水量還好，大石頭很滑推薦穿溯溪鞋去。
地板有地熱所以溫溫ㄉ"
林芳蘭,1 年前,5,"好友揪來廬山秘境朔溪和泡野溪溫泉，前一天在民宿就量好大家的救生背心和朔溪鞋的尺碼，也提供了頭盔，早餐後大家全副武裝開心跟著教練和助手前進，有點年紀的我們是有些興奮又害怕，嘗試渡過川流的溪水，又上上下下大石頭，才到瀑布區，自然壯觀的環境讓人讚嘆不已！
接著穿過樹林來到雙層攔沙壩，好美的彩壁，壯觀的流水，大家一起濕身搶拍照，非常值得一遊！"
Joanna & Easen,1 年前,5,"很好走的到瀑布
從吊橋走過去大約30分鐘左右可以到
不過會經過需要攀爬繩索的地方
抵達之前要沿著山壁涉水
水不深大約只到小腿而已
涉水走到那邊也不用三分鐘"
小方糖,1 年前,5,很簡單容易到達的瀑布
蔡雲康,1 年前,5,"2022/01/18
大自然真的很美
就算已入枯水期
精英瀑布水量依然充沛宏偉
雖然當日有飄著小雨
導致水量些微上漲水質變混濁
溪水也是不用到3秒馬上寒冷刺骨"
ms,1 年前,5,可以欣賞到很漂亮的瀑布，團體一起過溪會比較安全，是夏天很棒的體驗！
Kiwi L,1 年前,5,
李河潔,1 年前,4,私密景點，名稱「葛拉魯」
美語愛格特,1 年前,5,美麗的景色
Rick Lin,1 年前,5,"2021/10/10
今日來朝聖精英瀑布，很漂亮的瀑布。
先經過精英溫泉，溫泉目前在溪的對面，大概有4、5座♨，前輩們先做好的溫泉區。
要到精英瀑布一共過溪水3次，越後面水越深（最深深度大約在我的大腿，我的身高175公分，給各位參考！！

建議要去玩水的朋友們，可以穿溯溪鞋或防滑的涼鞋，因為，溪中的石頭多少還是會滑。

*****今日詢問當地的人，因施工的橋，還沒驗收完成，所以下去的路是被管制的，汽、機車就別下去囉！*****"
Diego Chen,1 年前,5,要注意好像已經沒有對外開放了
方鈞顥,1 年前,5,很美很壯闊的瀑布！從精英溫泉走來還要涉水一段，但相當值得！可惜當時有點爬累了水又湍急，沒有下去瀑布泡水，建議車敢開的話可以直接一路下山開到溫泉旁，已經有建設相當大的停車場可以停，惟山路很狹窄會車困難
洪小婉,1 年前,5,"大自然的力量～真的好壯觀
不止有美麗的瀑布
還有天然的溫泉♨️
真心希望來這邊遊玩的朋友
能愛惜這個覓境
把您製造的垃圾、隨手帶走
這樣才能可以留給下一代⋯下下一代
一個優美的聖地"
Anh Đức nguyễn,1 年前,5,
Saminathan R,1 年前,5,步行幾分鐘後景色不錯
TheRita,1 年前,5,"美麗的瀑布，
需要溯溪前往
溪旁有很多溫泉
一邊溪水很冰、一邊溫泉很燙
有趣的體驗！"
Ray Wen,2 年前,5,
沈祐謙,2 年前,5,7月中去，地形因前陣子的大雨改變不少，溫泉池被沖開，崩壁前的樹林也東倒西歪，但微解封能出去踏青，這樣的一切就很幸福了🙂 …
Chen Allison,2 年前,5,"目前為施工狀態，建議等工期過後再去。
真的要前往的朋友，可以把車停在別處再步行下去，不要開到施工的橋頭，也不要下溪床，避免影響工程。
（缺水的狀態非常好走，雖然溫泉變小但還是很棒）"
吳帷酩,2 年前,5,
Zoe Chen,2 年前,5,漂亮
棠,2 年前,5,
