name,setTime,star,content
柔柔owo,1 天前,5,
芭,1 天前,5,
Yuxiang YEH,2 天前,5,
許永宗,3 天前,5,
璟廸,3 天前,4,
游光志,3 天前,4,
Elvis Cheng,4 天前,3,
潘惟仁,1 週前,5,貓很逗趣
葉琦珉,1 週前,3,
A-Gor,1 週前,4,
美食獵人,1 週前,3,來一次就好
colo chen,1 週前,5,導覽介紹的很棒，值得一聽，有些家長放任小孩在紙教堂裡玩非常不恰當
Yiling Tsai,1 週前,1,如果不是喜歡拍照的人，個人建議不要進去，沒什麼東西好看的，蚊子超多而且很兇猛，門票70元抵消費20元像是幌子，感覺是先把商品售價拉高再抵消費。
Jerome Chang,1 週前,4,適合帶小孩參觀，門票能折抵20元，其實後面還有池中表演平台（入口附近一小門），但是都沒什麼人前往
Levi CHIU,1 週前,3,很無聊的景點
fanny jo,1 週前,3,
Amanda Hu,2 週前,5,蝴蝶造型燈極美。全紙建築有特色。
方,2 週前,4,
jason tsal,2 週前,4,
謝小美,2 週前,5,
ocean LAI,2 週前,1,10多年前有來過，很美～但今天帶朋友來發現跟以前不一樣，蓋了奇怪很醜的販賣部在裏面，破壞美感！如果是做復育，願意多進山裡玩也不需要花70元來被騙！總結：環境很人功、醜、賣的產品…沒用心～
lgogl Chen,2 週前,3,紙教堂普普通通 看不太出來教堂外觀
Choukri王萍,2 週前,5,很用心的經營！我有看到 紅蜻蜓⋯⋯
楓葉紅,3 週前,4,草長太長，蚊子多，櫃台服務人員很友善，貓咪很有愛。
sun Queenie,3 週前,4,"🌱下雨天還是可以去的景點

有教育意義的地方
生態很好，可以賞植物、蝴蝶🦋

定時有解說
介紹紙教堂的由來

入場費70可以抵抵銷20元"
洪緒源,3 週前,3,
陳碩宏,3 週前,5,
craig huang,3 週前,5,
木聖羅,4 週前,3,
王子妮,4 週前,5,很適合全家人一起去，可讓小朋友認識大自然
吳司宇,4 週前,5,
覃孟雄,1 個月前,4,"環境優雅自然蝴蝶成群,但是唯一缺點蚊子很多"
Feihuzai Afei,1 個月前,5,Dome其實不算是教堂，不過裡頭的「希望之燈」與路寒袖的詩，賦予了這個場所承載祈願的誠摯與肅穆，與教堂一樣神聖。
張安然,1 個月前,4,"到埔里，要來這裡走走；風景不錯；建議要非假日來。
停車可以開進來，左手邊有民宅50圓～
主人也很熱情，老人家停這裡也方便～"
Lena,1 個月前,5,
廣哥朕在忙,1 個月前,5,
飄飄鈴,1 個月前,3,
吳金圳,1 個月前,5,很棒的導覽解說。
魷魚愛痴,1 個月前,3,"蚊子太多、場地也不大、拍拍照還ok,賣冰淇淋的商店都不會詢問客人發票是否要存載具、就直接把它印出來、很傻眼、出來旁邊有一家在賣百香果的小攤販、他們家的百香果很甜很好吃"
謝賓果,1 個月前,3,
柯阿珂,1 個月前,5,暑假期間教堂內還是熱，小賣部有賣冰棒，注意⚠️站著不動或是坐著，小黑蚊立刻來叮咬！防蚊液不可少。
Emma,1 個月前,3,
翠華呂,1 個月前,4,
忠裕Chen,1 個月前,5,
吳晨瑀,1 個月前,5,
謝文生,1 個月前,4,值得一遊(含荷花池)
Eugene Yang,1 個月前,4,"在尼娜巧克力城堡之後我參觀了紙穹頂，因為它就在附近。

教堂內部色彩繽紛，充滿活力，彩繩從屋頂一直延伸到地面，還陳列著一些藝術品。還有一個小池塘，可以去散步。

有一個彎曲的小餐館。參觀紙穹頂需要支付少量入場費。

參觀可在15分鐘內完成。這是一個如果你在那裡可以參觀的地方，但在我看來不是必須參觀的地方。"
Pi Qi Yang,1 個月前,5,票價70元值得，因為去的時候接近閉園時間，沒什麼逛，下次早點在去一次❤️
許蹦蹦,1 個月前,5,哇塞，紙教堂超多漂亮的蝴蝶的，也有導覽講解紙教堂和生態區，門票不貴，有興趣可以來逛逛走走。
Ilana Lin,1 個月前,5,有趣 生態
賴小真,1 個月前,4,
K.H Ho,1 個月前,5,"上週日7/9去紙教堂做家庭旅遊，園區鳥語花香也很乾淨，運氣很好看到很多的蝴蝶飛舞，兩個小孩看到都很開心，紙教堂也跟我8年前看到的印象一樣很美，園區整理得十分完善，值得推薦大家一遊~讚!!

另外，這次遊玩有個小插曲，在離開南投回家的路程上，發現小孩不慎將滑板車遺留在紙教堂園區停車場，但車子已經開到苗栗了，所以當下打給紙教堂的服務人員請求協助，服務人員在這麼炎熱的天氣下，還很熱心的專程去停車場尋找並將滑板車領回到服務處，也願意幫我們將滑板車打包寄回林口家裡，我們內心真的萬分感動也十分感激服務人員的幫忙~這樣的美景+高水準的服務態度我想說給""六顆星""都不為過!! 再次感恩~感激~相關同仁的幫忙!!! ^_^"
朱金龍,1 個月前,3,
Wendy Chin,1 個月前,5,孩子的生態世界
Purin purin,1 個月前,5,"售票櫃檯有貼心提供防蚊液
逗留約一小時都沒有被小黑蚊咬
雖然景點有段時間了
但悠閒和愜意感用金錢買不來
被蝴蝶圍繞著
不知不覺的就很放鬆
賞花賞自然處處都是風景"
許聖協,1 個月前,5,超讚適合國小高年級 國高中生能把書上知識結合生活經驗的地方
Matt Huang,1 個月前,3,能看的東西少。
Jean-René Forté,1 個月前,4,
楊士元,1 個月前,3,
蕭弘宜,1 個月前,4,
嚴小明,1 個月前,5,"本來只是為了殺時間而去的景點，一開始還想說一個人要70有點貴qq
但進去了才發現裡面別有洞天
售票亭另一邊的花叢飛滿蝴蝶（應該是夏季限定？）
真的很讓人驚艷"
NaNa,1 個月前,3,門票70，可抵消費，停車費另計，園區很小，是一個生態園區，但環境略顯髒亂，當天廁所螞蟻很多，現場跟網路照片有落差。
steve dai,1 個月前,3,
Hsuan,1 個月前,5,需要入園門票！ 固定時間有免費園區導覽！ 生態豐富 夏季 蝴蝶超多  荷花盛開！
