name,setTime,star,content
清羅,1 週前,4,
李啟源,2 個月前,4,情侶約會好地方暗暗的方便聊心事
Kodoisho Huang,3 個月前,5,行人步道與機車便道，夜晚有路燈照相，高速公路過往，有驚鴻一瞥的體驗!
譚台安,3 個月前,5,
tetchie bendana,5 個月前,3,
陳淑姣,5 個月前,4,
Taiji,5 個月前,3,
莊清漢,6 個月前,4,很美的風景
小弟李,6 個月前,5,
Cadgis Liu,8 個月前,4,
大牌,8 個月前,5,以前的綠美 橋是草屯通往南投的橋樑 現在縣政府把它改為綠美 橋美麗又好看晚上燈光很漂亮 也可以說是南投縣的新地標
鄒茗卉,8 個月前,5,適合放煙火、遛狗、散步、運動、吹風坐著看著風景及高速公路放空，沒什麼遮蔽物，太陽大建議不要來
黃武田,9 個月前,5,"覺得很棒，它是行人及機車專用橋，人走在橋上與機車不相關（ 除非你要橫過橋面）所以很安全！
~ 傍晚在堤岸上走路，空氣好，且有可能可以欣賞到美麗的夕陽與霞光喔~"
刘信兴,9 個月前,5,晚上點燈後很美
王豐良,10 個月前,5,
大牌阿舅,10 個月前,5,晚上 橋上 的燈光特別 五彩繽紛 可說南投縣的新地標 特別漂亮
Edwin Chen,1 年前,5,
張小心,1 年前,5,
Jingyi四寶媽,1 年前,5,行駛國道3號剛好經過(･ω･)つ⊂(･ω･)
張家進,1 年前,3,橋樑的色彩太差了吧！一點美感都沒有
汪汪,1 年前,5,
evin k,1 年前,2,釣魚看風景
吳嘉文,1 年前,5,
Kun-Cheng Chang,1 年前,5,
jayson chang,1 年前,3,就是悠閒，南投燈會在附近，夏天好熱
Smile Liao,1 年前,5,
YH zou,1 年前,5,適合散步放鬆的地方，，只有兩輪車能上橋。惟垃圾有點多，希望用路人能夠有多點公德心，共同維護整潔。
Ti Zhen Wang,1 年前,5,黃昏時來綠美橋散步，（機車/腳踏車通行）車流量不多，景色宜人。
Johnson Chen,1 年前,5,夕陽雙人斜影
何月,1 年前,5,
Yung-Chang Chen,1 年前,4,直接看維基百科：綠美橋是南投縣境內一座多目標鋼拱景觀吊橋，總長280公尺。位於中興新村往南投市的軍功橋右側，地處於南投市軍功里，橫跨貓羅溪。 綠美橋命名的由來，是源自於鄰近橋的平和國小學生投票而來，當年有羽美橋、綠美橋、虹美橋、彩虹橋選項，經全校學生票選，因綠水（貓羅溪）相伴，故綠美橋名字沿用至今。 綠美橋建於1997年，中間設有機車道，兩側有行人賞景步道可眺望貓羅溪畔景緻，橋頭有牧童騎牛公共藝術，象徵「走過從前，迎向未來」。夜間橋上燈火通明光彩奪目。
張洺荏,1 年前,5,地標
Chien-Pin Chen,1 年前,5,
陳俊帆,1 年前,3,
盛元蕭,1 年前,4,
林長宏,1 年前,2,莫名其妙，朋友的引導，來到這裡綠美橋，橋上只能機車通過，開車的我要回到南投市區浪費的12分鐘
Taraxacum Liu,1 年前,5,重要橋梁
洪弘志,1 年前,4,
何清信,2 年前,2,
黃愛倫,2 年前,3,
余沚臻,2 年前,5,太漂亮了超棒的
小寶貝,2 年前,3,
李榮晉,2 年前,2,不美橋
廖尾子,2 年前,3,
忘川河,2 年前,4,傍晚運動的好地方 地勢平坦好走
嬋鸞黃,2 年前,4,
East Long Cai,2 年前,5,
陳鵬方,2 年前,4,
亡靈王,2 年前,4,這是藍色了不是紅了…不喜歡以前的比較好
徐耀深,2 年前,5,清新，只能是機車，單車行駛，還有是行人，這很特別。一般很多橋樑是禁行機慢車，甚至有些只是禁腳踏車，好像這類的人群繳稅別較少，有些心情在這大大轉變，感覺開心。
爽文國中黃俊豪,2 年前,4,還OK。
MengZi Hung,2 年前,4,
林群雄,2 年前,5,
嚴明鋒,2 年前,4,
鍾春吉（小鍾）,2 年前,3,牛牛   不見了.....
chen ivan,2 年前,3,老橋改為機車專用的觀光橋
溫淑萍,2 年前,3,綠美橋應該用原來的紅色比較顯眼， 高速公路上 很明顯的可以知道南投到了
施先生,2 年前,5,南投地標，橋設計之美
笑紅塵,2 年前,5,南投市的地標，只不過可惜的是目前鋼纜有鏽蝕情形，市公所已暫時封閉通行等待整修！
蔡世明,2 年前,3,
陳大大,2 年前,4,漂亮的橋
張源堡,2 年前,5,美
Pao,2 年前,5,好
陳彥伊,2 年前,4,"綠美橋旁的高速公路下能有親子遊樂器材會更好，不怕日曬雨淋，小朋友都可以來活動。
這樣南投人有河道散步外的選擇，說不定還可以吸引外縣市來踩點"
林江山,2 年前,3,整修後变好一點!
Roger Lee,2 年前,5,2020整修過. 比以前好看多了.
羅振明,2 年前,4,
南投小江,2 年前,5,
鄧棋麗,2 年前,3,
王準,3 年前,5,南投地標
