name,setTime,star,content
陳人豪,22 小時前,2,遮蔽物太多加上高壓電塔擋住導致看太不到完整的市景、騎腳踏車會經過就好開車騎車可以不用特地來
Peggy Chen,4 天前,3,可眺望關山鎮，可惜場所沒維謢，本次到還很多蜻蜓跟飛蟲，有點害怕
Simon Chang,1 週前,5,夜景好
sean lee,2 週前,4,"是關山環鎮自行車道的一站,位在關山真的制高點，可以俯看整個関山,可騎車至此,開車從關山火車站一路開過來即達,車位不多。前幾年要收費,目前也不收了。"
飛驒貪吃獸,2 週前,5,居高臨下，可以一覽整個關山鎮，涼亭裡稍微髒了些，且視野有些被樹木遮住了，走下去一層視野更好唷！
Wei Yuan,2 週前,5,可以一覽整個關山鎮，下過雨後風景非常乾淨漂亮，是騎腳踏車來的好地方👍 …
logi chiang,3 週前,5,
Emily chung,1 個月前,5,😊
楊允誠,1 個月前,5,
謝素香,1 個月前,4,環鎮自行車道路的最高點，居高臨下，全鎮一覽無遺，田園、小鎮風光被環山圈圍，藍天白雲彷彿置身在仙境
陳心,1 個月前,5,
Yang Han,2 個月前,5,"2023/06/28
這邊並非暫停營業只是沒有收費而已！
很棒喔！只是車子不好停。
今天平常日所以可以隨便停～～～很棒！
廁所有電但是沒水"
吳弘基,6 個月前,5,
WU steven,6 個月前,3,被鐵塔破壞了整個景致
詹平滿,6 個月前,5,2023／01／25舊曆年初四，帶著一家老小來關山環鎮騎腳踏車，留下美好時光記憶
王彥翔,2 年前,5,"Google 上的這個點，開車沒辦法抵達
綜看評論，似乎只有騎腳踏車(環鎮自行車道)才能到。
還請網友無私提供路徑。
2021.08.17"
黃煥昌,2 年前,5,下雨過後來最好
esor huang,2 年前,5,關山是個很適合騎腳踏車的地方，有專屬的環鎮自行車道，起點處也有許多腳踏車出租店，並且方便停車。
Zhung Di Lac,2 年前,4,
Pei Ling Chen,2 年前,2,"十一月去的時候
就剛好遇到階梯封閉
可惜"
楊敬人,2 年前,3,
farsheng,2 年前,5,俯瞰整個關山，阡陌縱橫的田野
翁家楠,2 年前,5,美麗又容易到達的地方，還有洗手間。
易尚樺,2 年前,5,"環視整個關山鎮的好地方
旁邊就是廁所
直接來這裡吃便當喝咖啡看風景真不錯
現在沒收費了
只是公所沒啥收入
經費不足人員裁撤
請大家要幫忙維持整潔乾淨"
母國熙,2 年前,5,很棒的腳踏車路途景點
Yuan Chang,2 年前,5,
蔡安祥,2 年前,3,
盧秀龍,2 年前,4,
Roxy Chou,2 年前,5,輕鬆美麗的小鎮
Xavier Cck,2 年前,4,視野超好，自行車道超讚
WinnLee1980,2 年前,3,傍晚吃完飯步行到下方，感覺現場久久沒有人管理的樣子。。。
Tilung Su,2 年前,5,
Nina Chiu,2 年前,4,"舒適的登高望遠點
散步很棒"
田丁子良,2 年前,5,
WEICHUN YEH,2 年前,4,視野開闊
Oliver Wu,2 年前,3,沒有維修 沒辦法走上去
姚加程,2 年前,5,
鍾煥良,3 年前,4,
吳志祥,3 年前,4,
熊大旅遊趣,3 年前,1,"導航帶的入口區已經封閉
可能只能走環山自行車道才能到"
黎建宏,3 年前,5,晴天來會更漂亮
Snowman Chen,3 年前,4,
Alice Weng,3 年前,5,於市區內會看到「縱關日月亭」的指示牌，但山下入口處已被圍住不給進入，後來騎環鎮自行車道自然就經過了，幾年前來這段是要收費的，現在已可暢遊整圈
wing Sun,3 年前,5,超級ㄗㄢˋㄗㄢˋㄗㄢˋㄗㄢˋㄗㄢˋㄗㄢˋ的啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦
Cathy Chen,3 年前,1,已封閉
吳思璇,3 年前,3,要從自行車道上去，然後上去會有點被電線影響視野，但還是滿美的
Henry Lin,3 年前,3,是一個可俯看整個關山鎮的置高點。可開車至底部，再登高。或是騎腳踏車到達。
徐昌宏徐昌宏,3 年前,3,
吳冠德,3 年前,1,又一個花大錢，後續沒有維護的政績。
Ching Yao Chen,3 年前,4,
劉訓成,3 年前,4,
阿超,3 年前,5,來關山要來騎車喔！！
真陽歡迎瀏覽社群貼文,3 年前,3,景色確實遼闊，直線遠眺都蘭山脈，唯設備年久失修，距離關山市區僅3分鐘車程，亭子下方有木棧步道可往上走，屬於環鎮自行車步道的一部分，但是從木棧道走上去的請小心木棧板有些已經不穩。山區的小黑蚊也兇猛，公廁尚乾淨，有桌椅可供遊客休息。需自備抹布擦拭。
王關中,3 年前,3,
Slash Wen,3 年前,4,鳥瞰花東縱谷
高連芳,3 年前,4,
Pjvvn lin,3 年前,5,登高觀上平原小鎮之美，步道好行
Mao Jung Wang,3 年前,3,
Eddie Huang,3 年前,3,"自行車道的中段制高點
視野還不錯
但設施覺得有些欠缺維護"
陳文豪（阿拉薩卡拉巴薩）,3 年前,3,
江欣柔,3 年前,5,
Fanesatiara Tiara,3 年前,2,
林榕森,3 年前,5,漂亮
林美花,3 年前,3,觀景居高臨下很不錯，但設備沒整理顯得有些荒蕪
毛銘義,3 年前,5,
孫揚文,3 年前,5,環境優美，視野極佳，空氣超清潔，位於關山環鎮自行車道最高位置，值得您一覽勝景
劉紹忠,3 年前,4,中途的小景點
呂金旺,3 年前,5,
史提凡,3 年前,5,每次來關山，一定會騎腳踏車來這，沿途乾淨的水跟新鮮自然的空氣，再這裡看看遠處的綠色稻田，都是我最喜歡吃的關山米啊！
徐寶承,3 年前,5,
