name,setTime,star,content
Damian Siu,1 週前,3,竹林和瀑布的場景不錯。
黃川榮,1 週前,2,目前是無噴發狀汰，只是曾經有過是泥火山的痕跡。
Yi-Huang Chang,1 週前,5,屬於到訪者不多的私房景點。
李知諺,1 週前,5,
羅文彤,1 週前,5,
brad chen,1 週前,5,"非常優美的步道，國際級的竹林步道，由鎮公所委託 東富禪寺 傳開師父 規劃管理及整理的。

羅山竹林步道，使用花蓮在地的大理石板造景。連接茅草小屋，大片草地，把羅山大漁池，羅山泥火山，遠眺羅山瀑布，幾個景點串流 連接起來。

羅山有 有機的農作物，有機泥火山豆腐，有機豆漿，以及竹炭產品。羅山村是很美的景點，田間小路非常的優美。是值得一訪的地方。
拜訪完羅山，可就近到訪 富里農會買當地的各式當地農產品。那裡也有很可愛有趣的稲草 大猩猩 恐龍等動物造景 及 花海。可供打卡。"
ming lin,3 週前,4,沒有遊客的私房景點
黃春綢,3 週前,3,
姜玉麟,1 個月前,4,
ChungLi Lee (阿秝),1 個月前,5,泥火雖然沒有什麼，但是旁邊的竹林步道越來越讚了
Carol如,1 個月前,5,
王勝志,1 個月前,5,風景優美
6塊錢,2 個月前,2,
Glas Sudu,2 個月前,2,有點無趣的景點，真的要說的話，有啦，可以遠眺羅山瀑布，然後就沒有了。
荷風人文婚紗,2 個月前,5,
楊若蕙,2 個月前,2,
winner king,3 個月前,1,不用來了，什麼都沒有
黃金水,3 個月前,2,
鄭振榮,3 個月前,4,
Peter Penn,3 個月前,3,不是很大，不過還是有一個洞在冒泡泡
楊明貴,4 個月前,4,
林秀英,4 個月前,3,很可以去走走🚶🚶🤭 …
郎人,4 個月前,5,不錯的地點，又可拍到羅山瀑布，難得花蓮富里可以看到泥火山，旁邊的竹林又可優閑的漫步在林中，好棒的環境哦。
王玉雪,4 個月前,4,可以跟羅山瀑布、羅山大魚池一起同遊
TzuYu Chen,5 個月前,4,很優美的環境，泥火山小小的，會發出冒泡聲，適合悠閒的走走逛逛。
吳桂禎,5 個月前,3,
楊東益,5 個月前,4,
黃嘉勳,5 個月前,4,
霓,6 個月前,5,"位於台九線旁的一個小景點，除了六十石山看金針花之外，也能安排到這裡走走。
整個羅山遊憩區其中一個景點，會先經過一片清幽的竹林，道路盡頭有停車場，經過羅山大池塘就能看到，自然景觀的奇異現象，一片泥地有好幾處冒著泡泡的泥漿池，地下天然氣從泥漿中咕嚕冒出來。解說牌中說冒出的瓦斯是可以點燃的。
泥漿含有天然的鹽滷，附近農家取用這個滷水沈澱後製造溫泉豆腐，口感偏硬，還能提前預約DIY的活動，增添更多特色。
附近是稻田和大池塘，天氣好的時候，還能遠眺羅山瀑布，從台九線繞進來走走看看，也是很推薦的。"
何奕廷,6 個月前,5,
陳律竹,6 個月前,5,一進去時接待人員 很熱情的招呼  還主動幫我們拍照 雖然舊了一點但是很有親切感  不過要是停車場要提早或是櫃檯時可以主動詢問有沒有停車  第一次出去時不知道要代幣
yn Huang,6 個月前,3,迷你的型的泥火山，倒是旁邊的竹林步道另有一份意致
tsao wen wei,6 個月前,5,
Alex Chen,6 個月前,5,有種置身武俠場景的閒適感！
郭寶珍,6 個月前,3,
徐韜,6 個月前,5,
黃建中,7 個月前,5,這湖水及其周邊景色優美！值得一看！
史努比,7 個月前,5,環境清幽  散歩很舒服
iPad iPad,7 個月前,4,"很小的泥火山，希望能有公德心
旁邊有個鐵桶很煞風景"
CL Chang,7 個月前,3,只有兩坑不好看，但有做步道好行走。
范玉惠,7 個月前,4,很悠閒的自然環境，步道完善。
vickie chang,8 個月前,4,整理的很好的休憩景點，泥火山噴泉很小但有趣
Yushan Kaku,9 個月前,3,
AL,9 個月前,4,"是個小景點就在路邊,在停車場停好車後沿大池走一小段就可以看到泥火山和遠處瀑布.可以順道一遊,待5-10分鐘就足夠了."
陳小祥,11 個月前,4,
李介雄一山環保,11 個月前,4,"特殊地質，很多人不曾親眼目睹
像鍋煮沸的濃湯，殊不知冒出來帶有甲烷氣體"
陳俊男,11 個月前,5,"Good, 可能沒有預到大噴發期，有看到泥漿冒泡，稍嫌不夠壯觀

——

羅山遊憩區以泥火山景觀、手工豆腐、羅山瀑布聞名，來到羅山遊憩區，不僅可以親自體驗用泥火山的滷水來製作豆腐，還能到附近的羅山大魚池眺望羅山瀑布，沿著步道走則可欣賞泥火山的奇觀與特有的濱海植物，感受大自然的奧妙。
羅山大魚池
羅山瀑布為海岸山脈斷層地形所形成的一個瀑布，高約120公尺，分上下兩層，水量豐沛，氣勢驚人。從遠方眺望可看見羅山瀑布猶如一道細細的銀鍊，懸掛在青翠的山壁之間，再向西眺望花東縱谷平原，羅山有機村純樸的田園風光更是一覽無遺。
羅山遊憩區暨遊客中心羅山瀑布
在羅山瀑布附近的泥火山，當地人稱為「鹽坪」，噴出來的泥漿不但含有瓦斯，同時也帶有鹹味。因此羅山村的居民們，很早就知道收集從泥火山噴出來的瓦斯做為燒水煮飯的燃料，也利用泥火山的滷水製作手工豆腐，做出來的豆腐口感綿密、紮實，成為來羅山必品嘗的一道美食。"
張謹濠,11 個月前,5,
Rong Yih Wang,11 個月前,5,
Blue,1 年前,4,倒影很美 小景點
陳顯輝,1 年前,3,地理教材
Mike Huang,1 年前,4,羅山大魚池 拍起來不錯看
魏麗苹,1 年前,4,有小小的步道可以走走逛逛，泥火山只剩小小兩窟，大部分的地方都是乾枯枯的
Leo Wei,1 年前,4,
百里莫璃,1 年前,5,導航設定羅山大魚池即可，小小的景點，有看到泡泡冒出來，聲音很可愛
後山阿爹（hanlin）,1 年前,5,泥火山的噴氣孔面積不大，看起來就像一灘黃泥巴。羅山大湖有湖光山色之美，步道環湖輕鬆易走。遠處路旁週邊商家有販賣滷水豆腐，不妨品嚐。附近還有羅山瀑布，形態優美，步程很近。
KIWI SUN,1 年前,5,風景漂亮
黃凱祥,1 年前,5,
Robert Lien,1 年前,5,今天量少
