name,setTime,star,content
JERRY LEE,3 小時前,5,
爆爆・彤彤 l 多元創業的療癒師WYnn,8 小時前,5,
銘峻,1 天前,5,
Yi-Ru Lin,1 天前,5,
大餅,1 天前,4,
查查,3 天前,5,
Yi-Jean Lu,3 天前,3,"又一村
賣一些手作文創商品，及幾家餐飲。"
劉玉潔,4 天前,4,地方不大，但店家感覺都有特色
廖婉伃,5 天前,5,推推，花蓮必訪景點
Alice Hu,5 天前,4,覺得可以規劃多一點可逛的市集擺設
Sammi Huang,6 天前,5,
SL C,6 天前,4,
林書旭,1 週前,4,
黃于凌,1 週前,3,店家不多，因太晚來店家多數都休息了，但適合拍照
plus 7,1 週前,5,
YU Sam,1 週前,5,不錯的文創地方
Jacky Chen,1 週前,5,"雖然只是短短的巷子
路過的話可以停下來看看
對面就是停車場十分方便"
Yu-Ting Wang,1 週前,3,
Wanyu Huang,1 週前,5,今日剛好順路來看，滿不錯的，有舉辦音樂會
Mr. SIAO,1 週前,4,
林欣翔,1 週前,5,
鍾佳宏,1 週前,5,真的是小而巧的文創產業，很chill 很喜歡，剛好遇到雨剛下完人不多，超好拍
陳志中,1 週前,1,兩分鐘就離開了
陳永聖,1 週前,5,地方雖小，但是物品還蠻多的
林麗珍,1 週前,5,
陳曉玲（Ling）,1 週前,5,很小……大約十家店……就沒有了
Chung Ya-Ya,1 週前,5,"很小的文創區但卻很溫暖我的心❤️
#被療癒了"
翁振育,2 週前,5,小小的空間，但蠻喜歡的，可以放慢步調緩慢走一趟！
UC Chen,2 週前,2,
黃浚銘,2 週前,5,
Cory Liu,2 週前,5,偶然發現到的小文創市集，麻雀雖小五臟俱全可以拿來形容他，走文青路線，吃的比較少主要是一些生活中的小品類，地方不大大慨3分鐘就可以走一圈，當然你要慢慢走慢慢逛的話也可以啦！
All,2 週前,5,
Elaineluby,2 週前,5,夜晚小旅行，散步、吃點心，還可以聽歌唷！
DAVIDOFF (david),2 週前,5,真心不騙！全台最小的文創園區，小巧富趣味，用餐、喝飲料、選購小飾品。這兒有位玉石達人，有問必答，不用介意非買不可。來這裏逛逛，捧人場也是另類加油。
許宇承 yucheng,2 週前,4,
Tina Chang,2 週前,4,有點像花蓮版的審計新村/四四南村，不大，一下子就可以逛完，傍晚人很多，商店有廁所可以借用
銅門國小曾聖明,2 週前,5,安靜的
CHIA SHENG LEE,2 週前,5,
Jacky Chu,2 週前,4,一個小文青的地方，許多人在那邊賣著不同的物品，有空可以去走走
黃俊睿,2 週前,5,
YUYU LU,2 週前,1,好小，感覺政府沒有整理規劃好
魚魚站起來,2 週前,5,
王學英,2 週前,3,"吃飽,  走走看看, 那裏有1個小男孩 自己純手工做的手鏈可以看看哦, 很不錯哦"
王鴻勳,3 週前,4,很懷舊的地方
侯盛仁,3 週前,5,
吳柏宗,3 週前,5,腹地不大但整理的很有特色，不少特殊小攤賣著平常不常看到的商品，價錢也相對平實。
游智傑,3 週前,4,
余奕龍,3 週前,5,蠻有特色的地方，都是一些手工製作的小物及食物，算是一個小型的市集
韓特_Hunt.LiuEric_小艾,3 週前,4,
Candice L,3 週前,5,
Alina Huang,3 週前,5,
戴坤和,3 週前,5,
A C,3 週前,5,村長很熱情 整體感覺很好有活力
楊惠玲,3 週前,5,
潘仁浩,3 週前,2,剩幾家而已
JH CHEN,3 週前,4,"對面就有停車場
也不貴 有點像是小型審計新村
算是老宿舍改建的文青市集"
Stephen Sun,3 週前,3,
阿買碰碰,3 週前,5,好拍
林傳倩,3 週前,4,
Chuan Chien Lin,3 週前,4,
Squall G,3 週前,5,微型小巧的市集
鄭宇智,3 週前,5,雖然有點小，但東西都很精緻
Chia Fang Hsu,4 週前,4,平日下午到訪，有開的店家攤販和觀光客都不多，園區範圍非常迷你，但選物品項還不少，村長健談有理念，可刷卡可Linepay ，文青小據點
吳敏芳,4 週前,5,台灣最迷你溫馨市集
IRENE Guo,4 週前,5,"小小的文創區
不論是村長還是店家都好熱心❤️"
小川川,4 週前,4,
鄭周南,4 週前,4,短短小文創市集，走進去大部份都是一般販賣的商品。屬於文創的東西大概只有店家的廣告文宣&招牌上的標語。
Henry chuang,4 週前,4,很有文青色彩的一條小街，可惜復地比較小很快就逛完了，但好在附近停車很方便。
劉雅慧,4 週前,5,店家不多，迷你文創園區。店家都很熱情招呼客人。
傳說的潛水員,4 週前,5,"園區雖然很小，但是充滿樂趣，
每個攤位跟店家都超級熱情，
不會只想推銷，而是把你當朋友聊天"
Gabrielle Kuo,4 週前,5,"小小的文創園區，很舒服。
攤位之間很熱情，有冷氣店面可以逛，小東西很有趣！"
YU-CHING CHIANG,4 週前,4,園區蠻小的 十分鐘可以逛完😂 …
Hung-Yuan Cheng,4 週前,3,
Chia Yun,1 個月前,4,很小很快可以逛完
リョウ,1 個月前,5,
楊小靜,1 個月前,5,"今天是瘋台天…幾乎都沒開，但是晚上的電燈💡還是很美！
下次天氣好時再來一次！😁 …"
ZZ SU,1 個月前,5,滿有氣氛的
ChiaMin T,1 個月前,3,
桂懇傑,1 個月前,5,"原為菸酒公賣局的舊宿舍，荒廢多年後改造為一個小小的文創園區，也讓數十間的老屋再次活化起來。
這裡跟老郵局宿舍改造的博愛特區有些相似之處，範圍都不大也頗有文青氣息，晚上點燈後的街廓頗有一番風情。"
吳洛瑜,1 個月前,4,
T. Clare,1 個月前,5,拍照的好地方
Marsic Lin,1 個月前,4,
林建華,1 個月前,5,
鄭世雄,1 個月前,5,"2023,7,23（星期日）早上9點28分，對面就是收費停車場。
太早來了，攤位老闆娘說我們是第一批的遊客，很多商家還沒營業，只好逛一下就好。
隔壁（想你電台）咖啡廳，也還沒營業，還有（水牛公園）順便拍照留念。
下一站：花蓮文化創意產業園區"
陳雅惠,1 個月前,4,
wang ru,1 個月前,4,
侯光宇,1 個月前,5,
Kevin Yang,1 個月前,4,溫馨的文創市集
湯雅筑,1 個月前,5,
曾,1 個月前,5,
Iris Cheng,1 個月前,5,
林志豪,1 個月前,4,短短的巷弄，濃濃的文青。
陳建銘,1 個月前,5,
鐘智文,1 個月前,5,室內冷氣夠冷 👍 …
Peter Hsiao,1 個月前,4,文創小物好好買
羅湘婕,1 個月前,5,
蕭月美P366770@gmail.com,1 個月前,3,攤位少了點，很快逛完🤣
王靜雯,1 個月前,5,
曾柏華,1 個月前,5,讚喔
張小佳,1 個月前,4,
一粒拍拍走IG:dalin209,1 個月前,5,"又一村文創園區
20多年的舊宿舍群改造而成的文青景點🪑
兩排約8戶的連棟建物組成
這邊很像我們台中的審計新村😂
目前進駐約9間不同店家品牌
有美食可以吃，還有市集可以逛👏🏻
剛好很不巧，這天來周三是全園區公休日😅

想你電台+又一村文創園區+花蓮文化創意產業園區，這三個地方很近走路就能到，可以安排在一起

景點美食分享歡迎追蹤「一粒拍拍走」
IG：dalin209"
李亞錚,1 個月前,5,村長好熱情，每位攤友也都很熱情！雖然小小的，卻充滿活力的地方❤️
賴秀員,1 個月前,4,
David Lin,1 個月前,5,小市集，最裡面有賣辣椒店，建議可以買來嘗試看看，風味獨特好吃😋
nian Nian,1 個月前,5,"非常棒的小市集
賣的手作很有質感
村長超級和善而且非常有親和力"
Jerry Lee (小蟹),1 個月前,5,
風格正強_電風先生,1 個月前,5,👍👍👍 …
i o u,1 個月前,3,看過其他類似文創，覺得可以再精緻一些🤔
Dayday Ca,1 個月前,4,文青+文創 微商圈
Chen Richard,1 個月前,3,
S Chu,1 個月前,3,
Hennessey Liu,1 個月前,5,
vy I,1 個月前,5,
Pamela Wang,1 個月前,3,上午11點左右，沒什麼店，沒什麼人。只有熱....
Ni,1 個月前,2,地方偏小，但很多在地餐廳，路過可以來逛逛，對面有停車場
順宜李,1 個月前,3,還不錯，就是太小了！
劉威佐,1 個月前,5,
謝錦榮,1 個月前,3,
駱慶瑞,1 個月前,1,
Wei-Chih Yeh,1 個月前,5,
廖竟妤,1 個月前,5,"花蓮其實，已經玩了不少地方，這次，又發現一個新的點，本以為是眷村改建，後來詢問文創區內的村長（補教業退休人員，花了三年時間和上千萬費用，將廢墟再重新整理），才知，原來是菸酒公賣老宿舍再活化，讓荒廢了許多年後的資產，重新翻修整建，注入一股新的力量，白天的文青情懷，每個角度都適合讓網美拍個盡興，聽說晚上還有街邊小市集，聚集了許多文創小攤（不少店家是斜槓青年，白天有正職，晚上或週末才進駐，帶給此村新的色彩），早上（一樓店面有賣牛肉麵、清粥、咖啡、冰品...）、夜晚的氛圍很是不同！
最喜歡靜靜地品嚐，店家想要傳達出的幸福感，說著自己品牌的故事，用溫度讓又一村，重新開啟另一個感動！（推薦右邊第一間冰店，點了檸檬椰果雪花，老闆娘想要保留父母親給的愛，將香蕉冰和在地小農的水果做融合，兩種交融，碰出新生命！）"
李建銘,1 個月前,5,
SooHee Han,1 個月前,5,
亞筠鄭,1 個月前,5,
江小玉,1 個月前,5,有很多文創小店，每個小角落都很美值得造訪留影喔
Joe Wu,1 個月前,3,店家少，除非順便經過，不用特地去
徐慧,1 個月前,5,小小的文創存，感覺得到村長用心經營，村子的氣氛也很文青親民，很喜歡
Benson,1 個月前,5,很不錯 舒適
吳孟蓮,1 個月前,3,
林祈辰,1 個月前,5,很小很酷 可以用文化幣！
hendi widyakso,1 個月前,4,
Elsa Tseng,1 個月前,5,小小的街頭、復古風格。
Ya-Ching Chang,2 個月前,4,就是文創市集~東西少少，但有地方可吹冷氣小休息挺不錯！
倪F09701067,2 個月前,5,非常短小的一條馬路，但馬路兩旁佇立著濃厚眷村味風格老宅與販售各式文創商品
Yen-Fu Lin,2 個月前,4,小市集，但整體氣氛不錯。
Lin Bella,2 個月前,5,
逸,2 個月前,5,"花蓮新景點，短短的一條市集，佈置的很文青
販售的東西還算多樣，有手作飾品、包包、麵包、農特產品等等，還有餐廳跟冰店
期待未來擴大範圍，變得更好逛"
立羽巾凡,2 個月前,5,"花蓮文創附近的又一村
許多文創攤位以及店家"
Paula Hsu,2 個月前,5,
AbinLee,2 個月前,4,
路怡潔（Tiffany）,2 個月前,4,2023/06/22 人潮意外不多 逛起來舒服 少少店家但氣氛蠻可愛放鬆
劉振宇,2 個月前,4,有童年的回憶
張小玲玲,2 個月前,4,許多文創商店，好逛
莊渝蓁,2 個月前,5,讚！^⁠_⁠^
BD Jin,2 個月前,5,可愛 溫馨 店家也都很願意分享
Alysia Yang,2 個月前,4,
MCR Vanilla,2 個月前,5,
chia wu,2 個月前,4,全國最小文化園區，去的時候人不是很多，有一兩間店沒開，小東西很多，喜歡老房子本身的感覺，我覺得這個文化園區雖然小小的，但氛圍很好，有村長在管理的樣子，只是商品感覺很難讓人購物起來
Anson Kuo,2 個月前,3,"慢旅的步調，不慌不忙 細細品味
如同走進時光機，
令你有回到(構)去的感受。

老眷村的住宅 與 巷弄，行走其中
特別有感覺。

老味道的建築，容納了手作/文創等產業店家
如同注入了新的生命力一般
讓這些一般除了修繕維護作靜態展示的老空間
被賦予新生一般。
能再被人們利用的建築與空間
延續了生命..
也避開了年久失修的頹圮被拆除窘境

老眷村 舊口味 新手作 看似不相干的元素
用另一種方式傳承著不同年代的文化."
詹阡佑,2 個月前,5,晚上到那裡很有氣氛
Martin Li,2 個月前,5,是個很有文化氣息的地方
詹PEI HUA,2 個月前,5,"2023/06/09
很文青的小園區
每間店都長得很有特色，也有賣一些手作品
如果單純逛的話，差不多15分鐘就可以逛完了，裡面也有販賣一些炸物跟餐廳
只是當天去的時候都沒開🥲🥲"
優儀Anne,2 個月前,3,手工藝品雖美，雖各有千秋但價錢都不便宜！不喜手藝者可以不用過來溜達 😂😂
藍云廷,2 個月前,5,
c.h. Hung,2 個月前,3,
謝汶罄,2 個月前,5,
Sunny Wang,2 個月前,4,遊走、休閒、拍照的好地方！
蔡佳伶,2 個月前,4,
謝琳,2 個月前,5,"放慢腳步👣
悠哉的逛逛很放鬆 …"
lucy huang,2 個月前,4,"地方不大 東西有特色
但是去的時候有些店家沒開"
JiaQing Wang,2 個月前,5,
zi-feng Xiao,2 個月前,4,"小小的幾步路，卻很有味道。
喜歡帶朋友來感受一下這裡。"
莊秀菊,2 個月前,4,
郭玟吟,2 個月前,5,
李慧文,2 個月前,4,
阿賓,2 個月前,5,雖然來的時間是平日一大早，店家都還沒開，但這裡的環境很文青，很殺底片的造景，晚上來造訪勢必別有一番風味。
Frank Liu,2 個月前,5,可愛的地方，有很多優質小店，值得一逛
Linyu Chiang,2 個月前,5,超棒的文創園區 尤其是右邊最後一間“村長辦公室” 每次去都驚豔無比 辣椒醬非常道地 還有好多小農及手作商品 每次都沒空手回家呢
Nicole Hsieh,2 個月前,4,"短短一小條 只有幾間店家
可愛"
JAY f,2 個月前,5,"充滿文青氣息的園區
晚上來應該更美"
sabrina chiu,2 個月前,4,走走逛逛，適合拍照，但台灣的文創幾乎是天價
Leon Chen,2 個月前,5,
Sharon Tong,2 個月前,3,
deer. deer,2 個月前,4,
shihyu Lin,2 個月前,5,"2023/02
有各種特色小店
跟文創園區一起來不要錯過"
羅明生,2 個月前,4,
黃凱祥,2 個月前,5,
Toh CJ,2 個月前,5,冷巴庫～o(^▽^)o
簡晟杰,2 個月前,5,
Zach Chang,2 個月前,4,一個小小的巷口，裡面滿漂亮的，不過因為是平日所以大部分的店都是關門的狀態，有機會再假日前往
PEI-YUN,3 個月前,5,"範圍雖然不大但非常好拍又好逛，對面就有停車場很方便。
受到許多可愛店員的幫助，充滿溫度的市集，非常感謝：）"
Porcorosso,3 個月前,5,
戀上,3 個月前,5,文創 拍照好去處
Martin Lin,3 個月前,4,"新規畫的眷村改建，走自然風沒有冷氣
真的會....熱翻"
Honey Chen,3 個月前,4,"雖然這個文創園區只有一條小小短短不用3分鐘就能走完的街道，但卻是小而美的小小文創園區

每個商家都能感覺到很用心在經營，每個商家也都努力打造出自己的風格，所以每個商家都很好拍照，當然，商家經營的商品也很有可看點

希望日後能慢慢讓這個文創園區規模更大，能讓有心創作的藝術家都能有露臉的機會"
平安,3 個月前,3,
Lolo Liao (Lolo),3 個月前,5,今天在村長辦公室消費，村長非常活潑幽默親切，真的很開心🙂 …
草莓蜜桃,3 個月前,5,村長好可愛😍非常親切！！！大家要來找村長買東西喔！
小逸,3 個月前,5,有趣的文青小街，路口的豆花不錯吃
謝竣傑的燁燁,3 個月前,4,這個地方蠻小但飲料好喝
陳文聰,3 個月前,5,
Hui-Chun Yeh,3 個月前,5,很可愛的小地方
張嘉云,3 個月前,5,感謝村長辦公室～5/19熱心冒雨協助救毛孩，提供簡易雨遮給路倒的小貓咪躲雨😭也感謝廖先生幫忙聯繫動保，貓貓已順利送至動物之家！店內很溫馨有文創小物推薦光臨！ …
ICHEN TSAI,3 個月前,5,
Chang Chi,3 個月前,5,小小的可愛市集，很多文青小店，好買好逛！
王淑鈴,3 個月前,5,小規模市集
wan chun,3 個月前,5,
徐維鍊,3 個月前,3,
kevin jr,3 個月前,5,
S W,3 個月前,5,小而美，對面就有停車場好停車
Winnie Lin,3 個月前,4,東西沒有很豐富 可以再新增多一點小店
鄭小豪,3 個月前,5,舒服聊天的好地方
蔡宇群,3 個月前,5,規模小，但精緻
wi Li,3 個月前,4,"很多漂亮小物,好拍~"
yaju wen,3 個月前,5,
Tzuming Cheng,3 個月前,5,地方不大，但很好拍
Alice Yang,3 個月前,5,
陳素勤,3 個月前,5,
陳善珠,3 個月前,4,
Vincent Yang,3 個月前,3,
下雪的世界,3 個月前,2,很小的一個點，真的沒看出有什麼特色，順路看看可
Golden Meow,3 個月前,3,"氣氛不錯,有皮具/木製品/特產選購。"
黃郁捷,3 個月前,5,
Danny Chen,3 個月前,4,
張羣奇,3 個月前,5,又一村對面有停車場，停車方便。裡面是類似審計新村的文創園區，裡面的手作點心都非常棒！店員也都熱情招呼，真的很有度假的感覺～～村長家有廁所提供旅客，附近還有花蓮文創園區可以一並逛逛👍 …
徐其弘,3 個月前,3,
閻麗蓉,3 個月前,3,
趙柏達,3 個月前,2,有夠小的= =
Lama Tea,3 個月前,3,
黃齊正,4 個月前,5,有溫度的創意園區
李哈哈,4 個月前,5,
吳錦鋒,4 個月前,5,
徐銀登,4 個月前,5,題材多親子活動好地方
Cindy Tseng,4 個月前,5,
Wen wen,4 個月前,4,小小的市集，可以來逛逛，蠻有人情味的
A U,4 個月前,5,
SsuYu Lin,4 個月前,4,小小的一區 配合燈光蠻美的 裡面有些文創的點～也有一些手作創意商品 不過真的就一條街而已⋯⋯一下子就走完了😂 …
W Lin,4 個月前,3,小小的地方
余進富,4 個月前,5,
張惠娟,4 個月前,3,沒幾間加上又小，很快就走完了！
Teemo (Teemo),4 個月前,4,小小精緻的文創小市集
孫明楠,4 個月前,5,
孫立勳,4 個月前,5,文創與老房子碰撞的火花，雖然不大，但可以悠閒的閒逛，細細品味老房子獨特的味道
林欣慧（麻花辮）,4 個月前,3,很小的老屋再創據點，有眷村的氛圍。來這裡點一道小甜點，和老闆們聊聊天，一下子就可以回到60-70年代的時光。
翁雯柔,4 個月前,3,
周宇光,4 個月前,5,夜晚的文創園區有不同的風貌🥰😊 …
高寯蒝,4 個月前,5,有特色的小聚落，對面就有停車塲，有機會可以來逛逛走走小禮物或餐飲，假日會比較熱鬧。
陳湘茹,4 個月前,3,
周辰辰,4 個月前,3,
默,4 個月前,4,"懷舊小巷。
早上感覺沒有晚上有氣氛！"
幻白夜,4 個月前,4,"有一半的店都沒開～～
好可惜啊～～下次再來看看😁"
何柏澐,4 個月前,4,
滄雪陳,4 個月前,4,
林慧美,4 個月前,5,
Enid,4 個月前,3,不小心晃到的地方，很可愛，不過可能太早店家還不多
黃溫良（william）,4 個月前,5,
Grace Wang,4 個月前,3,
李查,4 個月前,4,無意間發現的好地方，真的很有文創感，不用太早來，因為太早店家還沒完全開，每個地方都有不同的感覺，很有巧思，可以激發不同的創新思維喔！
陳乾元,4 個月前,3,
高郁晴,4 個月前,5,很可愛，有一些手作小店
moo pppqqq,4 個月前,5,
曹恩瑜,4 個月前,5,很美的文創市集~
潔,4 個月前,5,感覺晚上比較熱鬧
蔡瑋竑,4 個月前,4,
張家銘,4 個月前,5,眷村的文創市集，環境優美
就是管子,4 個月前,1,
邵柏仁,4 個月前,4,文青拍照新景點。
張凱鈞,4 個月前,4,晚上是個很舒適的文創市集，整個園區不大，但有著溫暖的感覺。
孟憲華,4 個月前,3,
angel Yeah,4 個月前,5,
Vivian Lin,4 個月前,5,村長很直爽...也很可愛
簡啟瑞,4 個月前,4,很多在地風格的手工文創商品，這裡離花蓮文創很近，後方有斑馬公園，附近有特力屋還有遠百，以這裡為中心為起點，可以同時逛好幾個個地方。
Kevin Huang,4 個月前,5,
施凱傑,4 個月前,5,
whc yy,4 個月前,4,
BT,4 個月前,4,
Lu Lynn,4 個月前,3,不大，市集品項雷同性高，可惜
JOG Kong,4 個月前,5,
Ching En Tung,4 個月前,5,走在園區裡很舒服
Aileen Wu,4 個月前,4,
Jesse Tsai,4 個月前,5,
Wendy Q,4 個月前,5,很棒
陳小龜,4 個月前,3,
Cheng-Wen Yao,4 個月前,3,園區比較小，有空可以來看看喝咖啡
美慧,4 個月前,4,很多小市集，自創商品，賣翡翠玉石的姐姐很客氣~
