name,setTime,star,content
Luke Wu,1 個月前,4,"風光明媚，可惜落雨松尚未夠茁壯，期待未來再訪.

p.s.照片裡拍攝的確實是雲山水夢幻湖沒錯，不知為何Google map推薦的標示地點差距這麼多，感謝提醒。"
愷哥旅遊,1 個月前,5,體驗原住民的活動，好玩又有趣！
黃薇臻,1 個月前,4,
賈汶澄,1 個月前,4,
陳依鍾,1 個月前,5,"今天體驗當一天18歲的阿美公主

一提到花蓮阿美族，大家立刻聯想到豐年祭，以及曼妙的舞姿與輕快歡樂的歌聲，阿美族人開朗、樂觀、主動而親切的態度予人深刻的印象。一群原住民朋友為讓大眾更能深入體驗阿美族傳統文化與原住民好客的熱情，有感於此，我們成立了~花蓮縱谷傳奇~阿美公主/勇士體驗營-美麗的傳說應該和世人一同快樂分享、感動體驗、延續傳承，體驗最精采.獨特.多元豐富~阿美族豐年節文化體驗。"
陳衍吟,2 個月前,5,謝謝公主跟山羊哥熱情安排及招待
陳麟祥,3 個月前,4,認識原民風味及習俗。
許國祥,3 個月前,5,
李秀敏,3 個月前,4,
Yunhung Tseng,8 個月前,4,
李志明,9 個月前,5,"颱風天的天氣總是那麼的使人煩躁與鬱悶！！
但～～在體驗的過程與互動之下  大家是那麼的活潑與開心
感謝山羊哥的主持與工作人員的帶動
讓全員浸淫在歡笑快樂之中！！
謝謝大家的用心！！"
葉致宏,10 個月前,3,
馮家駿,11 個月前,5,
蔡靜宜,1 年前,5,"感謝山羊哥與美麗的公主
行程讓大家玩得很盡興
讓大家很稱讚"
冠丞,1 年前,3,設備簡陋，初看覺得很不值得，但是原住民的熱情還是不錯的
Arthur Hsu,1 年前,5,
早上好中國,1 年前,5,山羊哥最棒
蘇.,1 年前,5,山羊哥最棒
張國祥,1 年前,5,體驗原住民文化的好地方
陶敘丰,1 年前,3,
老司機的旅遊勝地,1 年前,5,
張瑞彬,2 年前,4,大部份阿美族煮法，鮮魚加鹽烤，稍鹹些，但不難吃。
ʏᴜɴ,2 年前,5,"有斑鳩、烤山豬肉、各種野味😳
大家都很熱情～跳舞～唱歌🎤
溪水好乾淨哦，裡面還有魚在游 …"
joyfulannie joyfulannie,2 年前,5,
Harmmer Indl Corp,2 年前,3,
Merlin Li-Yen Ho,2 年前,3,
RANDY WEI,2 年前,5,"🏹️ #花蓮縱谷傳奇阿美公主勇士體驗營
體驗在地原住民文化的好地方，從情人帶到串珠體驗，到搗麻糬和放竹炮，原民舞蹈到射箭，很在地化的體驗行程，十分多元文化體現的半天！
如果時間允許，還能體驗原住民風味餐，有烤乳豬和其他烤物。
🏹️ #花蓮縱谷傳奇阿美公主勇士體驗營
🏠#住址：97445花蓮縣壽豐鄉池南路五段88號
⏰#營業時間：08:00-21:00"
黃順雄,2 年前,4,
Pearl Lin,2 年前,5,跟著易遊網來到此感受阿美族的熱情，吃飽飽、跳開懷、嗨翻天，可惜沒有小米酒。
IRENE lee,3 年前,5,
黃河魁,3 年前,5,休閒出遊好去處。
ragesh nath,3 年前,5,
李昱承,3 年前,5,
白茶,3 年前,4,
郭國鐘,3 年前,4,
Chen Alex,3 年前,5,
潘美枝,3 年前,4,
李魁訓,3 年前,4,
陳基清,3 年前,4,"風景太美了，詩情畫意的情境
來此一趟，保證感情升溫～"
陳光正,3 年前,4,
甩丫乾,3 年前,5,體驗 體驗 體驗
Amyaloha Lin,3 年前,5,
miaoshan chien,4 年前,4,
邱奕錡,4 年前,2,
呂國華,4 年前,3,
蘇信安,4 年前,5,
Liang Yumi,4 年前,5,
朱志昇,4 年前,5,好地方 海底生態豐富 下去要小心
民眾,4 年前,3,"2019年7月
感覺很多房子，是有步道，只是...不確定要看什麼
這是我第二次來，雖然還是有很多樹，但感覺更""觀光""了...

今天太陽很大，可能更適合陰天有風的時候來逛
小黑蚊很多，記得防蚊液和長袖長褲"
Frank Liang,4 年前,4,
neri Lian,4 年前,5,
123 Hkp,4 年前,1,小黑蚊太多
陳弘祥,4 年前,2,普普
宋仁欽,4 年前,5,
曾秋蕉,4 年前,5,
王紹瑋,4 年前,4,
詹國義,4 年前,4,
謝聰敏,4 年前,1,
鄭曉風,4 年前,3,
chiang edward,4 年前,4,
DF東鋒,4 年前,3,
林雅雯,4 年前,4,走走看看不錯，但是小黑蚊太多了！
余佳政,4 年前,5,
周明昌,4 年前,4,風景很棒
Daisy Cheng,4 年前,3,整個園區環境優美，唯一缺點小黑蚊很多
洋銘胡,4 年前,5,非常適合全家大小去的好地方
卡通動漫,4 年前,4,
陳美惠,4 年前,5,利用舊有鐵道（糖廠鐵路）改造成景點可散步遊玩，晚上有商家像夜市不會雜亂，花蓮商圈在這裡，接近文創館。
yi wen wang,4 年前,1,
朱清榮,4 年前,4,
