name,setTime,star,content
Rick Cheng,1 天前,5,美麗的風景
岳杉,1 天前,5,
Alberta Hsiao,3 天前,5,很原始～路上還有鴨鴨😆
Steven Li,4 天前,5,棒
陳順利,1 週前,4,
We yap Tsai,2 週前,4,
漫漫,4 週前,5,來這邊走走整個心情好
Ta ko,1 個月前,4,
徐千雅,1 個月前,5,
The first TUN OF,1 個月前,5,停車很貴
陳靜,1 個月前,5,"這裡真的超美的，可惜來時正好下雨，而且愈下愈大，不然可以拍照拍很久，很值得來
若開車到這裡要小心，因為路小，一路是陡下的"
許奇龍（靈魂）,1 個月前,3,
辛筱臻,1 個月前,5,謝謝蘇老闆提供那麼美的地方讓大家拍照 和欣賞美麗的落羽松 希望大家也能維護一下環境
CN Huang,1 個月前,4,目前沒有預期可以看到落羽松，單純到此一遊。
巫薇芳（巫薇芳）,2 個月前,4,"目前一片都是翠綠色的也是很好看
水裡也可以看到鯉魚悠游
不過小黑蚊超級～超級～超級多
記得穿長袖"
東,2 個月前,3,
Tiffany Lee,2 個月前,5,濛濛細雨中的落羽松莊園，別有一番詩情畫意浪漫之美🌲 …
黃文華,2 個月前,5,
wen chen,2 個月前,5,很美很漂亮，停車位也不算少，裡面也有吃的
陳世新,2 個月前,5,
日日,3 個月前,5,
葉育君,3 個月前,5,
QQ賴,3 個月前,5,園區非常漂亮，免門票，老闆太佛心了
忠誠嘉康,3 個月前,4,
蔡名君,3 個月前,3,"如果沒有搭付費接駁車，那路程不太適合有小孩、老人同行，會比較辛苦且要一直注意路況，爬波、塵土飛揚且人車爭道。

台3線迴轉非常危險，大家要多多注意路況車況。
裡面人工化多，假日人潮多也不好拍照，建議平日來，車子可以停裡面。"
Ruby Chiu,3 個月前,5,風景很美
何振賢,4 個月前,4,風景優美，場地很ok！拍照、打卡、網美景點，一次搞定了！
Yu-Tyan Yen (葉郁田),4 個月前,3,還不錯
俞鵬銘,4 個月前,4,
曾盛源,4 個月前,4,春天落羽松綠油油又是另一種美。
范宗勝,4 個月前,5,
William Chu,4 個月前,4,景色宜人，心曠神怡，落羽松種植數量多，有多處觀景台，可看俯看園區及觀賞鴛鴦戲水，景點佔地廣，園區遍佈新栽植樹木花草，很值得走走。
俞鵬銘,4 個月前,4,
徐姵翎,4 個月前,5,全家大小一起出遊，特別有感
Frank Lin,4 個月前,5,
林再傳,4 個月前,3,
魯小小,4 個月前,5,很漂亮
黃泰誠,4 個月前,5,"片片黃羽，樹樹秋色，
層林盡染，夢幻斑斕；
繽紛彩林倒映碧湖中，
雁鴨比翼悠遊愛相隨！"
安柏,4 個月前,5,"是個很美 整理很好的園區🌹
不過這季節真的已是落羽松的後期🍂
但空氣清新 地點也非常偏僻唷！難怪是秘境🤣 …"
教練日常,4 個月前,5,"非常忘憂的秘境
坐在那裡時間一下就過了
進去的路有點不好走
但是不長"
姚小姐,5 個月前,2,落羽松沒了
陳耀淦,5 個月前,5,
潘玉環,5 個月前,3,
孫麗君,5 個月前,5,
ChihCheng Jen,5 個月前,5,很漂亮，不過從停車場走到落羽松要十幾分鐘，中途有收費的接送
蔣美貞,5 個月前,5,三灣落雨松好空氣好美景，拍照好美的風景
陳曉萍,5 個月前,5,水喔
Julie,5 個月前,5,
熊熊想起,5 個月前,5,香腸好吃又便宜，用木頭烤的很香很特別！！！！
劉定良,5 個月前,5,
kevin Lee,5 個月前,5,"拍照好地方，落羽松已經變色了！

趁元旦假期，去欣賞吧！"
李萍,5 個月前,5,
E ric,5 個月前,5,
Cheng,5 個月前,3,
10 5410,5 個月前,5,很漂亮的落羽松秘境，假日不太好停車
霜淇淋,5 個月前,5,錯過季節，樹葉都掉光了，會找時間再來
鍾先生,5 個月前,5,
Yi-Cheng,5 個月前,5,
Wú qíhóng,5 個月前,5,秘境
Saminathan R,5 個月前,5,在正確的季節訪問時總是很好
林煌禮,5 個月前,4,
johnny tan,6 個月前,5,隨便拍都好看的景點
LIGHT LIAO,6 個月前,4,不是旺季，人潮少，適合野餐，約一小時左右可逛完
鄭亦汝,6 個月前,5,
Oo Ooo,6 個月前,4,
鄭香麒,6 個月前,5,
彭冠凱,6 個月前,5,地主很用心整理環境
Eric,6 個月前,3,花還未開有點可惜
米寶,6 個月前,5,好美的地方 有美好的回憶
Lotus Huang,6 個月前,5,
亦賢,6 個月前,5,"疫情前,曾與朋友到訪此地，拍照看風景不錯"
廖貝克,6 個月前,2,觀光客太多了，又弄一些很俗氣的景觀
Shun Chih Chiang,6 個月前,5,
PO-HSIU LIN,6 個月前,5,
陳程琳,6 個月前,3,時間不對、哈哈哈
徐智鍾,6 個月前,3,
L L,6 個月前,5,超美的景點！吃的喝的也都有的買！
小布,6 個月前,4,不錯的景點 但還是要靠運氣XD
徐浚祐,6 個月前,5,
蔡哲西,6 個月前,5,
賴銀光,6 個月前,5,
忘世麒麟張凱堯,6 個月前,4,
PingHao Chen,6 個月前,4,"比以前來更乾淨完備了⋯⋯停車需要注意
安全。不用門票但需要停車費！
台3彎道車多！行走路口需注意！南下路口在左邊！迴轉要往前無雙黃線地方安全。"
Brian Lu,6 個月前,5,
AKIRA WU,6 個月前,5,
林典蔚,6 個月前,3,停車不要停前方，要收費，後面有免費的，開進去就是了
黃詠瑀,6 個月前,5,還不錯，有很多鳥類
陳聖元,6 個月前,3,
謝光禮,6 個月前,4,
陳嬋悠,6 個月前,5,
范瑞琴,6 個月前,4,
志忠黃,6 個月前,4,"環境整理得很乾淨
但外面的停車收費有比較貴"
黃佩琪,6 個月前,4,
連阿妹,6 個月前,5,美
王英倫,6 個月前,5,
中古車理財專員,6 個月前,5,
Lily,6 個月前,4,
Roy Shen,6 個月前,5,很可惜季節已經過了，否則可以感受在對的季節這裡會是個優美勝地。
陳鶯菊,6 個月前,5,真的很水
吳君豪,6 個月前,4,最佳賞松季節是12月
海鮮蛋黃麵,6 個月前,5,"人潮滿多的
路很狹小要注意安全
車子一直開到底會經過攤販
有一個停車場收費都是$100
才不用走路走太久😂

小黑蚊爆多 ！！
防蚊液跟藥膏帶齊
如果有帶小孩
可以帶點餅乾麵包
以免在那邊餓肚子

附近攤商有一家賣天山雪蓮
口感很特別 很值得買來品嚐"
Wen Chen,6 個月前,4,
Ianwang,6 個月前,5,"即便季節不對 依舊相當漂亮的點
也很好抵達 就在台三旁而已
這麼棒的點免費參觀（開車的話 要停車費
真的只能五星吹捧
----
2023/1/15二訪
這次季節時間完全對了
超級無敵美
但唯一小抱怨的點是
一時腦波弱
在很早的停車場被騙進去
要走好一大段路才到園區
裡面還有很多個停車場的說"
毛毛,6 個月前,5,
Linda Lin,6 個月前,4,
施育淇,6 個月前,5,
范煒堃,6 個月前,5,
Da Bai,6 個月前,5,風景怡人，可以散散步，看看薑母鴨丶燒鵝等水鳥在水中悠遊
Min Huang,6 個月前,5,最美時間是每年12月中到12底。但還是很美不同風味
ehome,6 個月前,5,"本來以為很悠閒輕鬆走
從停車處走進去就要走一段遠路
路小車多 不好閃
園區的涼亭很高 從下走上去也是汗流浹背"
Chao-Tun Liu,6 個月前,2,
林鼎欽11,6 個月前,4,"需付100停車費

園區蠻大的
記得帶防蚊液"
張新哥（新哥）,6 個月前,4,此地景觀美.走路平安順道.山及路邊種多花植.四周及山上花美景觀點設計多點.讚賞
湯唯笙,6 個月前,5,讚👍 …
leo g,6 個月前,4,
鄭梅.梅子,6 個月前,4,拍照休閒爬山的好景點。🤔 …
陳捷峰,6 個月前,3,"先說停車，走公路到靠近入口時，不要懷疑就直接開進去。因為外面停車場距離要看到落羽松還有一大段，不論是裡面的停車場或是公路旁的停車場，都是收100元。
若是停外面的停車場再走下去，因為坡度很陡千萬小心。

先補充落羽松觀賞季節：每年冬季12月到1月份，落羽松會隨著氣後漸漸變色，由澄黃轉紅。
除了停車是強制收費外，攤販就是自由選擇，園內觀賞是免費的。年初五去看基本上葉子都已掉光。每個季節有每個季節的美，不特別計較的話可以給到4顆星。"
Popo Danial,7 個月前,4,現在已經掉光了，剩下樹枝了，明天再來吧。
塗學賢,7 個月前,4,"台三線101k山谷內的落羽松林規劃的很巧思,只可惜本人造訪非最佳時機,沒拍下美景."
TofuTofu,7 個月前,5,
吳夢珊,7 個月前,4,"地主無償的提供場地給觀賞，其環境不錯，不同季節來得話，風景也會不一樣
也有建設涼亭，讓人觀賞"
洪信煒,7 個月前,5,
巫協森,7 個月前,4,這是個不錯的戶外走走的好景點，地方廣，有落羽松，涼庭景觀，十分不錯，值得體驗。
Ms Chou,7 個月前,4,
阿文,7 個月前,5,"機車雖然停需要30塊但離裡面很近
個人覺得還行"
Chien-Hsiang Hung,7 個月前,5,很漂亮，路不會太難走，付個停車費
Tim Lin,7 個月前,4,
yy chen,7 個月前,5,
蔡心恬,7 個月前,4,
楊承昊,7 個月前,1,"停車會被騙錢 會一直引到你進去停車
當你一停下去就會被收費
而且沒有任何標示"
翁祖坤,7 個月前,4,
