name,setTime,star,content
十三少,1 天前,5,山上可看到海
徐鏡瀚,4 天前,5,放空舒壓的好地方
黃瑞明,4 天前,4,好風光
shengben wu,4 天前,4,風景美
Bryan Shu Shu,5 天前,5,"值得一去的地方
从主干道上去，可以骑摩托车或开车。
在这种情况下，我建议您选择高车，而不是低车。
或者，您也可以在山间漫步。
这里的景色美不胜收，非常适合拍照留念。
推荐理由

It is worth a visit.
You can go up from the main road by motorbike or by car.
In this case, I recommend choosing a high car rather than a low one.
Alternatively, you can take a walk through the mountains.
The views are breathtaking and perfect for taking photos.
Recommended reasons"
Yovan Lutfi Arya,1 週前,5,
Mr. Chiang,1 週前,4,
謝星星,1 週前,4,
Max Jao,1 週前,5,
婷婷,1 週前,5,
趙可樂,1 週前,5,💯💯 …
陳阿富,2 週前,5,風景漂亮，視野開闊。
a901922001,2 週前,5,導航不要直接定這 會開到沒路 要從樹梅觀景臺對面進來 單向通行要會車 騎車來比較適合
傻眼貓咪誒,2 週前,4,
Hoo Ricardo,2 週前,5,廢棄雷達站，可眺望整個東北角海岸
菜朝,2 週前,5,很棒的地方，就騎車有段石頭路要小心點
林煜修,2 週前,5,登高望遠可以遠眺福隆海邊還可再從福隆海邊看回來
劉川賦（無邊新手村村長）,3 週前,5,真的是仙境，但是車子要到上面來真的需要點技術，遇到會車比較需要有互讓的精神
浪人老爸,3 週前,5,
來翔張,4 週前,5,空拍超美的
阿興謝,4 週前,4,
you shin wu,1 個月前,5,
Galen Chai,1 個月前,5,帶毛孩步行上去的 視野無敵遼闊 永生難忘的經歷
mike lai,1 個月前,5,
Lifen,1 個月前,5,"瞭望360度山海美景
在「草山雷達站」眺望台、平台發現的美景～
用不同高度與角度，看見整片大景，喜歡戶外、自然美景的我，放鬆身心與充分日照的好地方！"
陳儀鴻,1 個月前,5,
林林林kufu,1 個月前,5,景色美 放鬆好地方
momo stle,1 個月前,5,騎機車可達讚啦
Mac Chen,1 個月前,5,
名字太難取了,1 個月前,5,
郭銘杰,1 個月前,4,
黃永福,1 個月前,4,
游文忠,1 個月前,4,
pen tsai,1 個月前,5,
yang deven,1 個月前,5,心曠神怡，太陽有點大 就是了 哈哈哈
郭宣孟,1 個月前,5,
abetong pakitongkitong,1 個月前,5,一個非常放鬆的地方，絕對值得一遊……越野路很短，但可以輕鬆進入，只是要小心，因為這裡的一些道路很滑。
kevin wang,2 個月前,5,
小土土不吃土,2 個月前,5,"真的不建議低底盤的車子前來，機車也建議125以上來比較方便，真的上來的路會很陡，後面準備到達雷達站的地方，相當難走，不過景色超級優美！不枉我辛苦上來🤣

建議天氣好再來！機車也可以先檢查好再來，以防顧車🤣距離雙溪車站上山20分鐘的距離而已，只是後面都山路不好走"
林星宇,2 個月前,5,
Jason Suen,2 個月前,3,
陳汝昌,2 個月前,5,
胡昭英,2 個月前,5,
Tsan-Lieh Kuo,2 個月前,5,
allen liu,2 個月前,5,
酒男洋,2 個月前,3,
allen lin,2 個月前,4,可以直接開車從草山戰備步道直接到雷達站，也可以經金和舊道經草山東北峰道雷達站。
家凱,2 個月前,5,"已經越來越多人知道這個地方囉～但這裡也沒有這麼容易到達，所以人也不會很多。
導航梅坪觀景台後從旁邊入口進入，可以開車也可以騎車，但速度請放慢，因為也有人會走這裡爬山。
路況還算好，幾乎都有水泥鋪路，後段變成石頭路。途中還會經過本山地質公園燦光寮古道半屏山步道入口。
今天是騎重機來，最後一小段上觀景平台是碎石子路請小心不要倒車了，汽車的話不要開上來，今天看到一台車硬開上來，最後一段路底盤直接撞爛。
頂部視野開闊，綿延的山峰像是抹茶一樣，配上遠處的海，以及天空，真的心曠神怡。還有一些類似雷達的東西。"
陳宏基,2 個月前,5,
Ann Chou,2 個月前,4,
陳江明,2 個月前,5,居高360度視境，棒🎉 …
李小山,2 個月前,5,路況還不錯 視野可遇不可求
高永宏,2 個月前,5,展望一級棒
李德仁,2 個月前,5,發呆放空好地方
Vanness Hou,3 個月前,5,涼爽的地方
Jay Chen,3 個月前,5,
簡宇瞧,3 個月前,3,路途不太方便 開車前往要注意安全
吳進財,3 個月前,5,爬山健走的路線
薛剛智,3 個月前,4,"海拔713
我個人覺得只適合機車騎上來
有些路段無法讓車輛相會
路況有幾段石頭路不好騎

風景超優"
李瑋奇,3 個月前,5,
吳進財,3 個月前,5,五分山在旁，視野遼闊，經常有霧
不良大叔,3 個月前,5,好風景
Min-Tsun Kuo,3 個月前,4,到這邊的路後段不好走，路幅不寬，不好會車，天氣狀況不好掌握，但平台這邊視野很好。
Chris Yu,3 個月前,5,開闊的平台 360度的視野 山海美景盡收眼底 從九份 金瓜石 雙溪 牡丹上來皆可 山裡優美清淨的秘境
育鋒林,3 個月前,5,
Joyce Liu,3 個月前,5,視野開闊山海美景盡收眼底，最後路徑不易會車，途中蜿蜒山路很美，也有很多山嶺古道可以挑戰。
Walter Su,3 個月前,5,超寬闊視野，滿滿大平台！
