setTime,star,content,seg_result
1 小時前,5,,
4 小時前,5,,
14 小時前,4,,
23 小時前,5,,
1 天前,5,以前知道金門有莒光樓今天來體驗埸景確實管理非常妥善及保護古蹟確實有價值唷,以前 知道 金門 莒光樓 今天 體驗 埸景 管理 妥善 保護 古蹟 價值
1 天前,3,就是記念先人的地方,記念 先人 地方
1 天前,5,很不錯,不錯
1 天前,5,毋忘在莒,
1 天前,4,,
1 天前,4,,
1 天前,4,,
1 天前,5,"3樓有胡璉將軍的回顧展與他所拿到的勳章展示及生平介紹
從3樓平台看金門大橋的夜景真的很美",3樓 將軍 回顧展 拿到 勳章 展示 生平 介紹 3樓 平台 金門大橋 夜景
1 天前,4,,
2 天前,5,,
2 天前,5,很棒 很有歷史的建築 風景優美,歷史 建築 風景 優美
2 天前,4,,
2 天前,5,,
2 天前,5,"莒光樓莊隆嚴謹的建築金門很重要的精神地標裡面有著很多當年的史料文物展示但是建築物本身的設計會讓你有感

如果在金門多待幾天我會想在不同的時間早上傍晚晚上去參觀莒光樓",莒光樓 莊隆 嚴謹 建築 金門 重要 精神 地標 裡面 很多 當年 史料 文物 展示 建築物 設計 有感 金門 不同 時間 早上 傍晚 晚上 參觀 莒光樓
3 天前,4,很棒的餐廳.菜好吃,餐廳 好吃
3 天前,5,主要是來找回憶的,回憶
3 天前,5,,
3 天前,5,,
3 天前,5,晚上來更美,晚上
3 天前,5,晚上去別有一番風味但是金門晚上真的蠻恐怖的有的地段都沒路燈超級暗,晚上 風味 金門 晚上 恐怖 有的 地段 路燈
4 天前,4,,
4 天前,5,,
4 天前,5,夜景,夜景
4 天前,3,,
5 天前,5,,
5 天前,5,,
5 天前,5,乾淨風景優美,乾淨 風景 優美
5 天前,4,,
5 天前,4,金門必訪景點之一,金門 景點
5 天前,5,晚上搭配燈光的莒光樓個人覺得比較好看,晚上 搭配 燈光 莒光樓 覺得 好看
5 天前,5,,
6 天前,5,,
6 天前,5,,
6 天前,3,"普普通通   有到周邊可以順遊
裡面的大姐很親切
一些照片做成時光膠卷還不錯",普普通通 周邊 順遊 裡面 大姐 親切 一些 照片 做成 時光 膠卷 不錯
1 週前,5,,
1 週前,5,莊嚴 漂亮 風景好,莊嚴 漂亮 風景
1 週前,5,,
1 週前,5,遊金門必去景點,金門 景點
1 週前,5,"到金門最喜歡吃完晚餐後帶上朋友們到莒光樓看夜景可以看到金門大橋小金遠遠的廈門
又是一個殺記憶體的好地方",金門 喜歡 吃完 晚餐 帶上 朋友 莒光樓 夜景 看到 金門大橋 小金 遠遠 廈門 記憶體 地方
1 週前,5,有名的莒光樓,有名 莒光樓
1 週前,5,很多珍貴文資,很多 珍貴 文資
1 週前,5,,
1 週前,5,,
1 週前,5,,
1 週前,5,來金門一定要來具有歷史意義文化價值的地方莒光樓青年白日勳章1949古寧頭戰役1958八二三砲戰莒光樓也有說明建設性的胡璉將軍的生平事蹟,金門 具有 歷史 意義 文化 價值 地方 莒光樓 青年 白日勳章 1949 古寧頭 戰役 1958 八二三 砲戰 莒光樓 說明 建設性 將軍 生平 事蹟
1 週前,5,,
1 週前,5,,
1 週前,4,,
1 週前,5,金門之旅必遊之地之一,金門
1 週前,5,"美麗的建築值得一遊
胡璉將軍指派建設莒光樓的匾額是用當時的阿兵哥名字所提
這點歷史以來的大人物　沒有幾個能做得到","美麗 建築 值得 將軍 指派 建設 莒光樓 匾額 當時 阿兵哥 名字 提
 歷史 以來 大人物 沒有"
1 週前,4,一生必須要造訪的地方歷史上的記憶,一生 造訪 地方 歷史 記憶
1 週前,5,,
1 週前,5,,
1 週前,5,夜晚的莒光樓別有一番風味,夜晚 莒光樓 別有 風味
2 週前,4,來三次了 必遊景點,景點
2 週前,5,金門地標可以遠眺海洋,金門 地標 遠眺 海洋
2 週前,5,,
2 週前,5,很有歷史感的莊嚴建築設計,歷史感 莊嚴 建築 設計
2 週前,5,"到訪日期2023.04.02中午
這座歷史建築建於西元1952年用以表彰在金門歷次戰役中英勇官兵之事蹟樓高三層每層皆有不同的展示主題最著名莫過於胡璉將軍的青天白日勳章了
優點
1欣賞金門大橋的好位置
2免門票
3金門指標性地標
4 3樓有免費望遠鏡可以看到廈門
缺點
1樓地板面積不大對歷史沒有興趣的朋友不到20分鐘就可以逛完了
展示內容
1樓主樓展示區風獅爺民俗物品傳統聚落金門高粱酒金門鋼刀
2樓展示區金門人文風景照片
3樓展示區胡璉將軍展示免費的望遠鏡遠看廈門
定點解說服務時間
920102011201330143015301630173019002000 2100
總而言之如果您是第一次來金門這是必到的行程並且一定要登上莒光樓遠眺金門風光莒光樓做為金門的精神象徵以中國傳統建築的作法將傳統城樓放在現代建築的基座之上締造一項獨特建築美",日期 2023.04.02 中午 歷史 建築 西元 1952年 表彰 金門 歷次 戰役 英勇 官兵 事蹟 不同 展示 主題 著名 莫過於 將軍 青天 白日 勳章 優點 欣賞 金門大橋 位置 門票 金門 指標性 地標 免費 望遠鏡 看到 廈門 缺點 地板 面積 歷史 沒有 興趣 朋友 20 分鐘 逛完 展示 內容 主樓 展示區 民俗 物品 傳統 聚落 金門 高粱酒 金門 鋼刀 展示區 金門 人文 風景 照片 展示區 將軍 展示 免費 望遠鏡 遠看 廈門 定點 解說 服務 時間 01 53 016 30 173019002000 第一 金門 行程 登上 莒光樓 遠眺 金門 風光 莒光樓 做為 金門 精神 象徵 中國 傳統 建築 作法 傳統 城樓 現代 建築 基座 締造 獨特 建築
2 週前,5,,
2 週前,4,,
2 週前,5,,
2 週前,5,出色的,出色
2 週前,5,個金門最著名的景點那麼肯定是莒光樓  作為金門地標與精神象徵稱其為初訪金門的必訪景點也不為過古色古香的莒光樓共有三層每層設有不同展示主題其中最著名展品為胡璉將軍的青天白日勳章此外登上三樓還能俯瞰整個景區美麗海景與高樓林立的廈門盡收眼底,金門 著名 景點 肯定 莒光樓 作為 金門 地標 精神 象徵 金門 景點 古色古香 莒光樓 設有 不同 展示 主題 著名 展品 將軍 青天 白日 勳章 登上 三樓 俯瞰 景區 美麗 海景 高樓 林立 廈門 盡收眼底
2 週前,5,這裡展覽才發現有金門不錯的地方如果不知道要去哪裡建議第一天來這裡就知道接下來要去哪裡了有廁所有停車場滿不錯,這裡 展覽 發現 金門 不錯 地方 知道 哪裡 建議 第一 這裡 知道 哪裡 廁所 停車場 不錯
2 週前,3,,
2 週前,3,,
2 週前,5,白天可用望遠鏡眺望遠方夜晚燈光下不同風情.,白天 望遠鏡 眺望 遠方 夜晚 燈光 不同 風情
2 週前,5,,
2 週前,3,,
2 週前,5,當天早上去超級冷不過莒光樓真的很漂亮,當天 早上 莒光樓 漂亮
2 週前,4,,
2 週前,5,,
2 週前,5,莒光樓是金門的重要地標我喜歡它在夜晚的感覺有種放鬆的心情還可以遠眺金門大橋及廈門五光十色的霓虹燈,莒光樓 金門 重要 地標 喜歡 夜晚 感覺 放鬆 心情 遠眺 金門大橋 廈門 五光十色 霓虹燈
2 週前,5,,
