setTime,star,content,seg_result
49 分鐘前,4,下雨天就不太好逛,下雨天
59 分鐘前,5,,
2 小時前,4,,
3 小時前,5,,
4 小時前,5,,
4 小時前,1,,
5 小時前,5,超級酷的 vibey 地方你可以找到很多可愛的商店電影院和一個露天區域來放鬆我在台北最喜歡的地方之一,地方 找到 很多 可愛 商店 電影院 露天 區域 放鬆 台北 喜歡 地方
6 小時前,5,,
6 小時前,4,,
7 小時前,5,我度過了一段非常輕鬆的時光四處閒逛看看漂亮的商店看看海報,度過 輕鬆 時光 閒逛 看看 漂亮 商店 看看 海報
8 小時前,5,,
8 小時前,3,公園古色古香但令人失望因為除了茶點沒有什麼特別的,公園 古色古香 失望 茶點 沒有 特別
9 小時前,4,有很多不同類型的東西的攤位,很多 不同 類型 東西 攤位
10 小時前,5,,
12 小時前,5,,
15 小時前,5,,
20 小時前,4,,
23 小時前,5,,
1 天前,5,,
1 天前,5,,
1 天前,5,,
1 天前,4,,
1 天前,3,我對那些出售小手工藝品但售價相當昂貴的商店感到有點失望一些有趣的兒童動畫與廣告宣傳相比我期望更好,那些 出售 手工 藝品 售價 昂貴 商店 感到 失望 一些 有趣 兒童 動畫 廣告 宣傳 相比 期望
1 天前,5,不錯 ,不錯
1 天前,5,,
1 天前,5,很適合帶小朋友,適合 小朋友
1 天前,5,,
1 天前,5,,
1 天前,3,,
1 天前,5,,
1 天前,4,,
1 天前,5,適合閒晃野餐遛小孩or毛小孩的好地方,適合 閒晃 野餐 小孩 小孩 地方
2 天前,5,,
2 天前,4,逛逛走走看展的好去處,逛逛 走走 去處
2 天前,5,放鬆舒適的地方,放鬆 舒適 地方
2 天前,3,,
2 天前,5,場地偏小比較不適合大型展覽,場地 適合 大型 展覽
2 天前,4,,
2 天前,5,,
2 天前,5,,
2 天前,5,,
2 天前,3,尚可,尚可
2 天前,4,,
2 天前,5,,
2 天前,5,"大草皮很適合野餐
今天跟朋友從早上九點一直待到下午四點
還有希望廣場可以買小農蔬果 原住民餐食
整體很放鬆愜意",大草皮 適合 野餐 今天 朋友 早上 九點 待到 下午 四點 希望 廣場 蔬果 原住民 餐食 整體 放鬆 愜意
2 天前,5,,
3 天前,5,,
3 天前,4,,
3 天前,4,,
3 天前,5,,
3 天前,4,,
3 天前,4,,
3 天前,5,街頭藝人的表演非常精彩,街頭 藝人 表演 精彩
3 天前,5,,
3 天前,5,,
3 天前,5,,
3 天前,5,逛街,逛街
3 天前,5,東西超多 很好逛,東西
