name,setTime,star,content
Yuhsien Yang,14 小時前,5,
Bear,1 天前,5,"很幸運的遇上了平靜的海,這裡有免費停車場相當不錯,也有一些小攤販販售食物飲料,可以當前往台東之前的一個休息站,下車看風景休息一下"
曉楓,2 天前,5,
謝孟君,2 天前,5,讓人放鬆
廖閎淯,2 天前,5,悠閒自在的地方，喝咖啡賞美景！
田錦郎,3 天前,5,
黃永森,3 天前,5,
r Lion,3 天前,5,好美的海景
劉達貴（阿答藝術）,3 天前,4,享受著海岸的美
莊小美,4 天前,5,原本是個超美拍的地方，硬生生的不把水放滿，昨天台東不是下大雨淹水嗎？😭😭😭 …
鄭榮輝,4 天前,4,
JD陳,5 天前,5,
Yi Da Song,6 天前,5,優美的公路，優美的海岸線，即便天氣再熱，也要在這裡看好看滿，順便在吹吹海風，唯一覺得比較可惜的一點就是不是颱風前來，不然應該海岸線更美。（海景美到閃瞎自己的雙眼）
Chia-hui Yu,1 週前,5,
孫錦坤,1 週前,4,"一
s-……一'"
林久勝,1 週前,5,"日期:2023/08/21
縣市:台東縣太麻里鄉
地點:華源觀景台
天氣:晴而多雲
說明: 漫遊在華源海灣，位於中央山脈與太平洋之間，是觀賞日出的絕佳地點，天氣好時也可看見綠島與蘭嶼，一碧如洗的天空，配上平整遼闊的沙灘，不用出國也可以享受身在南國的熱帶氣息，慢步在沙灘上聽海浪的聲音，看美麗的藍天碧海，享受太平洋海灣之美"
林泳湶,1 週前,4,
珍妮美,1 週前,5,
edi chn,1 週前,5,好美😍 …
紀沛晴,1 週前,5,
王富聰,1 週前,5,
曾傑翔,1 週前,5,美麗的海灣；居高觀海甚美！
smileybacon笑臉培根,1 週前,4,風景很美
Anthony Wen,1 週前,5,"1. 美麗的台東藍
2. 台東南下台9線，或南迴經台9線北上入台東，
必經的休憇點
3. 打卡，休息，拍照，買些釋迦吃"
大翰欸,1 週前,2,其實蠻無聊的 就只有一個愛心盪鞦韆可以拍照…
King Chang,1 週前,4,
陳時斌,1 週前,4,
黃懋誠（吖輝仔）,1 週前,4,
王俊琪,1 週前,5,
翁薘宬,1 週前,5,
吳忠青,1 週前,3,
Dylan Chang,1 週前,5,
meibo chen,2 週前,5,"最愛的台東藍
晴朗的天空襯的海天一色，太陽的照射下，整個海面如鑽石般閃耀
停車方便，可以順著旁邊小路走到沙灘
它的美，值得親臨其境"
郭德銓,2 週前,5,路過可以停下來拍拍照的景點
