name,setTime,star,content
Honda Kuo,1 週前,5,優閒的走路拍照
王志豪,1 週前,5,
丁丁,1 週前,3,
般若,2 週前,4,
慧慧,2 週前,3,很無聊
傅俞翔,2 週前,4,"彩繪很有特色.
遊客不多，很好家."
熊霸天,3 週前,5,很好看的彩繪！有融入當地可特色！
Irene Lai,4 週前,3,
林日生,1 個月前,5,
王昱祥,1 個月前,4,
豬五郎,1 個月前,3,
林協春,1 個月前,4,
shane kun,2 個月前,4,
郭姵萱,2 個月前,5,
蔡忠誠,2 個月前,5,好
Ancheng Liu,2 個月前,4,3D彩繪清晰逼真，很有立體感。
Liu Leo,2 個月前,5,3D佛陀像是一大特色，會隨觀看者位置彷彿自動旋轉著注視你，警惕諸惡莫作。
yongcheng Lin,2 個月前,5,好拍好玩停車方便！
莊正彥,2 個月前,3,
高文祥,2 個月前,4,沒有遮蔽需注意防曬
Mao Hui Yu,3 個月前,5,"很有趣、也很有創意，值得來一趟！
在下午太陽變小比較不熱，可慢走慢逛，再去堤防看夕陽👍🏻 …"
李貓,3 個月前,5,
Chi,3 個月前,5,很特別的雕塑像，其實他是靜止不動的，隨著鏡頭的轉動，他的眼神好像一直注視著你
王秀連,3 個月前,5,
張中成,3 個月前,5,
MIKA咪卡,3 個月前,3,比起常見的彩繪社區，這裡的繪圖與喔熊是別的地方比較看不見的，飯後來這裡走走拍照不錯，不過沒什麼遮蔭處
lonechyi huang,3 個月前,3,沒啥內容
瘋白馬,4 個月前,5,
李先生,4 個月前,4,
林玉玲,4 個月前,5,鄉下地方美化社區帶來人潮、到鄰近廟宇走走吹吹海風是散步悠閒的好去處。
洪Jessie,4 個月前,3,"比想像中小很多，而且非常偏僻，附近也沒什麼景點跟攤販，可以停車後走路去拍拍照。
只適合路過當休息散步的景點，不適合特地前往拍照。
拍完可以去港口吹吹風拍夕陽，只是附近真的很冷清，好處是可以下海灘保證沒人~"
sheng fu yang,4 個月前,5,一牆一畫
julie kuo,4 個月前,3,
柏仰,4 個月前,5,
曾木清,4 個月前,3,
詹juan juan,4 個月前,5,第2次到訪，很用心的社區
鍾孟任,4 個月前,5,"雖然不是很新 但保存很完善
很多大型壁畫 值得拍照留念"
Jun Meng,4 個月前,5,
簡正銘 2022,4 個月前,4,
王志宏,4 個月前,4,悠閒好時光
劉俊正,5 個月前,4,
瑞林陸,5 個月前,4,繪畫水準蠻高的，值得過來觀看，可惜遊客不多，如果有美食小吃就更好了
吳振盛,5 個月前,5,讚讚讚
張仕杰,5 個月前,5,
游喜多,5 個月前,5,彩繪真的很棒，走走拍拍，看到很原始的三合院，還有魚民曬蝦肉，不一樣的體驗值得再來。
Hsiaowai Wu,5 個月前,4,
Shaoen行走台灣 紀錄鐵道美景,5 個月前,5,
王文宏,5 個月前,3,
張魚魚,6 個月前,4,一個淳樸的村莊 彩繪圖案，讓這小村莊顯現一種不一樣的呈現
123 123,6 個月前,5,
林柏宇,6 個月前,4,
黃瑞芳,6 個月前,5,
吳榮山,6 個月前,5,
朱宥銘,6 個月前,4,真有才
劉建宏,7 個月前,5,新奇有趣又可以溜小孩拍照消磨時間，類似尋寶遊戲，值得推薦
黃錦燕,7 個月前,5,
謝貞萍,7 個月前,5,
林大豆,7 個月前,3,"就是看看彩繪
逛一圈這樣而已～
沒什麼規劃～"
吳進安,7 個月前,4,
呂元宏,7 個月前,4,
郭宗旻,7 個月前,4,
林吉祥,7 個月前,4,
胡金星,7 個月前,5,
周俊成,7 個月前,5,
蔡長君,7 個月前,5,
尤冠偉,7 個月前,4,
YaYa,8 個月前,5,很棒的地方，很好拍
洪坤宏,8 個月前,5,很特別的寧靜村莊，毫無商業氣息，喜愛拍照的人值得來走走
何輝家,8 個月前,3,景點
Minnie Lin,8 個月前,5,
南宮恨,8 個月前,5,
莊文芳,8 個月前,3,
陳世杰（jay）,9 個月前,4,
Cola CHOI,9 個月前,4,
沒有風哪有雨,9 個月前,5,漁村的小地方，滿溫馨
蔓藤花紋,9 個月前,5,你可以看到各種3D繪畫。牆上、地上畫的圖畫相當多，有圖形的、有搞笑的、還有各種大大小小的圖畫。這是一個3D畫村，畫面正面畫有觀賞路線和拍攝方向。他們的共同點是一張可愛的黑熊的照片，這是某種東西的象徵嗎？
盧BOSS,9 個月前,3,壁畫畫的生動 自然而且很美麗，但量太少。很可惜！
