name,setTime,star,content
eppp8ster,1 個月前,3,
游世傑,1 個月前,5,
Stanley Chen,2 個月前,5,崙頭土地公廟及落羽松廣埸，休閒場地寬廣，有飲水機可補充水份， 假日有小攤販聚集， 可觀海、賞飛機起降、賞落日，是五酒桶山非常棒的休息地點。土地公廟後方是山海之路的起點，可通往愚公花園。
邱獻堂,2 個月前,3,
Charles Huang,2 個月前,2,可
Helene,4 個月前,5,好地方！！
戴永信,6 個月前,5,
Linda Huang,8 個月前,3,
林明崑,9 個月前,5,五酒桶山步道崙頭土地公廟前廣場土地公廟為廟中廟
廖智勇,10 個月前,5,
劉昭暉,11 個月前,5,
cheng chin yen,1 年前,4,
L,1 年前,1,假日蜿蜒小路會車困難，山上一位難求，所謂廣場沒有幾棵落羽松，根本不算景點
陳呆呆,2 年前,3,
簡瑋良,2 年前,4,雨天景色特別景緻！田園好風光
李仕豪,2 年前,3,
愛立刻,2 年前,3,今天天氣不錯 只是沒有看到什麼落羽松 有在賣 霜淇淋 水果 咖啡
藍秀貞,2 年前,5,
陳德成（國際志工）,3 年前,4,路邊的小驚喜
99 sungching,3 年前,3,
許忠信,4 年前,5,前人種樹後人乘涼。
郭湘齡,4 年前,4,"起霧的五酒桶山
也好有fu💜 …"
Yannyih Wu,4 年前,2,
johnny0976 hwang,4 年前,4,
kenyu Chen,5 年前,4,與三五好友在此泡茶，聊天，看機捷的最佳場地
Peculiar Zeal秋,5 年前,3,蚊子有點多
