name,setTime,star,content
IOKO SA,4 天前,4,
orange,4 個月前,4,
逸華,6 個月前,5,
彭國良,6 個月前,2,"冬天沒有作物,腹地不大"
淮哥,6 個月前,5,
H Tracy,7 個月前,4,"可以帶小孩來跑跑, 來的時候沒人 所以空曠的環境可以盡情躺在柏油路的享受上方藍天白雲的風景,  路旁有農作稻田-也可以一次觀賞+追趕一群停駐的候鳥一次飛上天空的快感!"
陳時儂,7 個月前,5,"❤️台灣僅有種植『蕎麥』的鄉鎮 ，盛開期間雪白一片有如覆蓋一層白雪，一眼望去繁星點點相當夢幻迷人.
👀第一次看到蕎麥.柔媽問柔妹蕎麥和水稻🌾有什麼地方不同..柔妹很棒說出好幾個不同點..讓哥覺的自然生態就是最好的教科書..

馬丁爸&柔妹的攝影旅遊
愛依賴婚禮攝影 / 台北 桃園  新竹 台中 嘉義 台南 高雄 離島"
wenHiung Lin,7 個月前,4,
李宗杰,8 個月前,4,
蔡曉薰,8 個月前,5,
kar ning Mau,8 個月前,4,
Box Wei,8 個月前,4,
楊老金,8 個月前,3,
Yu-hsin Ting,8 個月前,3,
宋佩芬,8 個月前,4,
張應欽,8 個月前,5,
喬瑟夫,8 個月前,5,蕎麥田開闊風景迷人
林靖恩,8 個月前,5,"停留時間：5～10分
車子不建議開進去，不好出來，蕎麥花田內的道路為死路"
陳育琪,8 個月前,3,
黃皇僥,8 個月前,4,
小魚,8 個月前,5,阿祖老家附近，每年12月初到中有著一大片的蕎麥田配著一線天的藍天與夕陽真的非常棒！不用到北海道就有此美景！加上旁邊有一大片粉紅色的美人樹搭配真的很好拍！可以買個二林香酥的高麗菜餅 拍完照後一邊吹著微涼的風看著大片白茫茫的蕎麥田在粉紅色的美人樹下享用美食美景！強推！
邱世敏,8 個月前,4,
陳小東,9 個月前,5,
王玉榕,9 個月前,5,
Angelin Lin,9 個月前,5,1125盛開，美
縣立香田國小丁至璋,9 個月前,5,讚
Yin Chen,9 個月前,5,前往二林吃午餐時順道經過的經典，很適合拍拍照。人不多相當不錯！路旁還有美人樹可以拍，也相當漂亮！
柯志文,9 個月前,4,鄉間道路自行車道旁的野櫻花蠻漂亮，可惜發現得太晚，11月中旬去時已開始凋謝
愛拍攝,1 年前,4,
黃哲豪,1 年前,5,"美人樹粉色花海超吸睛，
蕎麥花白色點點頗新奇"
伊瓦爾（伊瓦爾）,1 年前,5,
_yang H.,1 年前,2,收割完了，目前種稻米，也許稻米成熟拍照也不錯。  造訪時間111.03.27
Mike Tung,1 年前,2,一個開玩笑的觀光景點......
林品昇,1 年前,5,在地好景觀
