name,setTime,star,content
李秋華,19 小時前,5,👍
Sherry (Sherry),4 天前,5,"小朋友非常喜歡
導覽解說很棒！體驗很有趣！"
張栢瑋,4 天前,4,
董恩慶,4 天前,4,解說生動簡潔
希由,5 天前,4,"推薦跟著導覽走
一邊體驗還可以抓昆蟲"
程伊庭,5 天前,5,人員很專業，態度很好！非常推薦親子活動
0911PL,6 天前,5,"場地不是說很大，但是內容很豐富，適合帶小朋友去認識蝴蝶和甲蟲，徒手摸毛蟲和蝴蝶，甲蟲，肯定是不可多得的感受和體驗，馬路的對面是停車場，如果遇到下雨，園區還可以讓你開車進園區來接小孩。
小朋友超喜歡裡面的DIY部分，塗鴉，串項鍊，串手環，都很不錯。"
關心永遠在,1 週前,5,
黃資婷,1 週前,5,有專業導覽人員的解說，會對昆蟲產生好奇跟喜愛，幾乎每隻昆蟲老師都會拿給你觸摸和拍照，真的是小朋友的昆蟲天堂！很值回票價，館區雖然不新，但收獲很多知識
colo chen,1 週前,5,可以近距離接觸昆蟲，導覽人員很用心
CHING-YI WU (吳狗仔),1 週前,5,帶小孩去觀賞昆蟲的好地方，還沒入園，外面就有很多種類的蝴蝶，進去建議要參加導覽，導覽員解說還不錯，跟小朋友互動很多，還可以讓超大蝴蝶停在手上仔細觀察，也有其他昆蟲也是放手上或是觸摸體驗，小孩都看得非常開心，很值得去，而且樓上還有更多美麗特殊的蝴蝶館藏，真的不錯
J David,1 週前,5,"在過去的 20 年裡，我們參觀了這個博物館大約 5 次，我很高興看到博物館正在蓬勃發展。有足夠的停車位。買完門票（120新台幣）後我們參觀了室外的蝴蝶園。
大約每小時都有一次博物館之旅。大堂設有禮品店，展示著手杖、甲蟲、蝎子等生物。導遊打開了幾個箱子，讓孩子和家長拿著某些生物。我兒子拿著一隻手掌大小的活大力神甲蟲和一隻歌利亞甲蟲感到很興奮。二樓是多個標本盒展示。大約一半是來自世界各地的甲蟲，一半是蝴蝶。出去時，您可以在咖啡廳享用餐點和咖啡或茶。我們是周六下午去的，有幾十位客人。我想這週會比較安靜。"
Yao kai Lu,1 週前,5,這邊有很多平常在外面野外沒辦法看到的昆蟲，整點導覽很有趣，可以摸到昆蟲實體，小朋友值得一遊～
立明曾,1 週前,4,
錢錢,1 週前,5,這裡面老師教學非常認真，而且有非常多的活體昆蟲，小朋友非常開心，應該算是全台灣數一數二的昆蟲館了！
林雅文,1 週前,5,
pei pei,1 週前,5,門票大人$150，小孩$120（門票沒有抵消費，免費停車塲），每個整點都有解說講解，工作人員很親切，都會讓每個小朋友體驗昆蟲🐛放在手上，非常適合帶小朋友來喔！還有咖啡廳的鬆餅🧇很好吃～這裡可以待2-3小時，小朋友的遊戲區需再加油一點😂不過小朋友很喜歡這裡👍
林大鈞 Matt,1 週前,5,
Sam,1 週前,5,很棒的地方，推薦一定要參加導覽，可以摸到很多小昆蟲！
大衛杜夫,1 週前,5,非常棒的景點，解說也很詳細，非常完整的蝴蝶生態，園區雖然不大，但是內容非常豐富值得一遊。
Jackal Wang,2 週前,5,帶小孩去不錯，生態導覽場次多而且詳細，可以接觸昆蟲，門票值得
YuJr Tsai,2 週前,5,喜歡昆蟲的小孩或大人必訪！可以近距離接觸還有專業的解說，絕對不虛此行！
Eric Lee,2 週前,3,
君毅陳,2 週前,4,
謝小美,2 週前,5,
gua C,2 週前,5,每年都會拜訪幾次，遇過好幾位導覽員，都很專業又親切，喜歡抓蟲的小孩在身心靈上都會得到滿足
陳怡潓,2 週前,4,
Allie Lin,2 週前,5,很好的親子場地 一定要聽整點導覽，可以和蝴蝶 昆蟲互動，會放在手上，還可以看標本 ，買昆蟲回家，非常好的寓教於樂
黃佑富,2 週前,5,
Eric Lin,2 週前,5,"很棒的體驗
感謝🙏余老先生的付出和創立這麼豐富又具教育性的地方，讓我們熱愛昆蟲的人可以來參觀和體驗👍👍😘 …"
葉芝欣,2 週前,5,"館內昆蟲多
可近距離觀察
三歲小孩在那也能玩得很愉快"
久億培隆,2 週前,5,"這是一個有百年歷史的蝴蝶昆蟲館，館裡有蝴蝶生態保育園區，更有蝴蝶標本無數，雌雄同體的蝴蝶不稀奇，甚至還有鎮寶的稀世珍寶，值得親身造訪。
第一次造訪，除了小孩子開心，更讓自己感到十分的開心。全體員工的服務態度讓人感到十分喜悅，高興之餘讓原本與小孩約定不買甲蟲回家養的我改變了主意。值得帶小孩子一起看看甲蟲的世界。"
王世傑,2 週前,4,
許小偉,3 週前,5,"身為中部人卻是有了兩個寶貝後才第一次到木生。
雖然園區有歲月的痕跡但是導覽人員的熱切及豐富的蝴蝶和其他昆蟲仍然讓人值得推薦。
每小時一次的導覽除了詳細的解說還可以和昆蟲來一次親密的接觸。
有喜愛昆蟲的小朋友絕對不可錯過。"
Allen Chen,3 週前,5,
Jerry Li,3 週前,5,
佘雅苓,3 週前,5,
梁富生,3 週前,4,
Ya Wei Lin,3 週前,5,很多昆蟲，有導覽解說，可也接觸到活體也有標本，很適合帶小孩來！
Nina Huang,3 週前,5,去過一次，現在回想覺得真的不錯。因為我剛去完嘉義新大昆蟲館 😂。
陳碩宏,3 週前,5,詳細介紹各種昆蟲
Tanya Wang,3 週前,5,導覽蝴蝶園，昆蟲館，好好玩！
戴御凌,3 週前,3,
Line Jason,3 週前,5,
徐秋香,4 週前,5,
