name,setTime,star,content
王惠美,1 週前,5,"澎湖縣湖西鄉 龍門漁港➡️日軍上陸紀念碑➡️裡正角沙灘
藍天白雲搭配小巧漁港，太陽光灑在水面上感覺俐落舒服，往山上走的目標是裡正角沙灘，在地人說是秘境沙灘，不去瞧瞧怎麼可以呢？
路上會經過日軍上陸紀念碑，內有新舊兩座碑，本碑為有關日軍侵台最早的紀念碑，太晚不適合到此處喔！
澎湖有太多美麗沙灘，會到這裡是因為裡正角沙灘是個冷門景點，包場的感覺特別好，靜靜觀浪、靜靜聽海、靜靜沉思，靜靜到底是誰啊？這麼囉嗦…🤣🤣🤣🤣🤣"
林郁婕,3 週前,4,
華碩翻譯社,1 個月前,5,
李榮祥,1 個月前,3,
mikka,1 個月前,5,很喜歡這裡的海邊，很漂亮，但一定要做好防曬，真的太熱了
老晁,1 個月前,3,澎湖有許多美麗的沙灘與海灣，這裡當然也是其中之一，不過地點偏遠，對於短期旅遊的人而言還有其他更優的海灘可以選擇，此地CP值不是很高。
Shanni Hsieh,1 個月前,5,秘境！
張仁杰,1 個月前,4,
Koopa,1 個月前,3,
張明彥,1 個月前,3,
jason yeh,1 個月前,5,環境優美的沙灘
劉幸德,2 個月前,5,秘境來的
梁史蒂芬,2 個月前,4,風景秀麗，退潮後有一大片潮間帶可以踏查。但如果要來這邊戲水就不太合適了，因為附近沒有更換或沖洗衣服的地方，且沙灘前其實為一片大小石頭遍布的潮間帶，戲水可能會被劃傷。
張坤仁,2 個月前,5,"非常安靜的地方
十幾年前曾在這邊待過很多天
躺沙灘耍廢通常不怕打擾
旁邊潮間帶還有石蚵可以挖來吃
照片上阿伯就來挖的"
Alex,2 個月前,5,
蔡明倫,2 個月前,5,
黃媛媛（莉奈）,2 個月前,5,"很美很適合玩水😍
但是路有點小條🤣
可以包場～"
楊越屏,3 個月前,5,安静~
廖小秀,3 個月前,5,
林宏達,3 個月前,2,
李東晏,3 個月前,5,
M. Nissa,3 個月前,4,這就像一個秘密海灘。
Han Lin,3 個月前,5,
Sheena Lin,3 個月前,5,
楊雨蘋,3 個月前,5,
陳小東,4 個月前,5,超祕境沙灘
林棟棟,4 個月前,5,尚未有人潮的景點拍照好拍風景優美沙灘乾淨舒適
羅比,4 個月前,5,"冷門好景點
具有歷史價值的一個美麗又安靜的沙灘
希望不會有太多的遊客破壞這裡的寧靜"
賴永商,5 個月前,4,比龍門沙灘乾凈
浪花朵朵,6 個月前,5,
歐政霖,6 個月前,5,
Y.C. Chen,7 個月前,5,不遜於老梅的綠石槽。
juoyuan wu,7 個月前,4,"導航在這邊會失靈
沿路上是別人的先祖居所
但是感覺是個不錯的釣魚點"
shelby lung,9 個月前,4,"這裡細沙夾雜很多琉璃片/石，
是玻璃碎片，看來很美，
但會讓人憂心海洋生態的破壞，
這裡沒什麼人，
玩玩水拍拍照還是很棒的~~"
薛婷方,10 個月前,5,
Eason Chen,11 個月前,4,
歐弟,11 個月前,4,隱蔽的小沙灘
旅.天邊TOUR HORIZON,11 個月前,3,
林泓志,11 個月前,5,海天一色
GooHater,11 個月前,4,
沛叡陳,1 年前,5,
Pasdear_papago,1 年前,5,這個是我看到澎湖覺得非常美的海岸之一，海的顏色蔚藍帶有漸層感，真的彷彿置身在國外一樣，超美超療癒的🥰大家有到澎湖記得到裡正角看看海，這裡很少人像世外桃源一般！
蔡金發,1 年前,5,沙灘小小的，但是海水很乾淨、清澈。
熊窩露紀,1 年前,4,
白永楨,1 年前,3,"兼具沙灘和礁石，景色不錯、沙質細，但海岸線短
路線不好找，沒有公廁和淋浴間, 停車處旁有先人居"
吳怡君,1 年前,5,
皇詩詩大王殿下,1 年前,5,
michelle lin,1 年前,5,"退潮來的時候可以看到魚跟海參
日落也很漂亮"
遊戲過敏的Timmy提姆,1 年前,5,可以抓海參跟海星 讚讚
吳幽境,1 年前,5,小巧的沙灘，但有礁石
陳金生,1 年前,4,
謝有恆,1 年前,5,
Mandi小涵,1 年前,5,
Peter,1 年前,5,不錯的沙灘，水都很乾淨
顏文彬,1 年前,5,"乾淨
適合看日出"
Sky Ng,1 年前,5,
blue tunnel,1 年前,3,最東部的沙灘，除了潮間帶其實沒必要特別來，太遠了
李冰冰,1 年前,5,遊客不多，可以好好坐著放鬆，但是很熱。
小涵Mandi,1 年前,5,景不錯，就是沙灘垃圾太多。
小涵Mandi,1 年前,5,可惜垃圾太多
洪文欽,1 年前,4,
Dunsung CHANG,1 年前,5,心曠神怡 放空片刻 再此當一個時間旅客
芋頭不好吃香菇亦然,1 年前,5,垂玉跟我說有比基尼辣妹 但這是謊言
Leung Kit,1 年前,3,
Aerolle Ameer Mitra,1 年前,4,很棒的海景！該地區有點欠發達，但其他方面都很漂亮！
陳佳華,1 年前,5,
Jing yun Li,1 年前,4,比較少人會到的沙灘，裡正角沙灘位於龍門202線直走到底，此處景色特別，安靜不易被打擾的環境，有時帶點小吃喝杯咖啡很適合，但無公廁，也沒垃圾桶，稍微可惜
施耀宗,1 年前,5,
鄭浩源,1 年前,5,如此美麗的沙灘。
何昭慶,1 年前,5,
